table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_all_full_time_employed_10_median_salary,field_all_full_time_employed_10_se,field_tenured_median_salary,field_tenured_se,field_tenured_10_median_salary,field_tenured_10_se,field_not_tenured_on_tenure_track_median_salary,field_not_tenured_on_tenure_track_se,field_not_tenured_on_tenure_track_10_median_salary,field_not_tenured_on_tenure_track_10_se,field_not_tenured_not_on_tenure_track_median_salary,field_not_tenured_not_on_tenure_track_se,field_not_tenured_not_on_tenure_track_10_median_salary,field_not_tenured_not_on_tenure_track_10_se,field_tenure_not_applicable_median_salary,field_tenure_not_applicable_se,field_tenure_not_applicable_10_median_salary,field_tenure_not_applicable_10_se
8154,r001,All fields,All fields,,,,1,75000,500,110000,500,87000,2000,119000,1500,87000,1000,100000,1000,65000,1500,92000,3000,65000,500,99000,2000
8154,r002,All fields -> Male,All fields,Male,,,2,76000,1500,115000,1000,90000,2500,120000,500,90000,500,100000,3000,64000,1500,99000,3000,65000,500,103000,4000
8154,r003,All fields -> Female,All fields,Female,,,2,75000,1000,102000,2000,85000,3000,110000,500,82000,1000,96000,3000,70000,2500,85000,3500,65000,1000,91000,2500
8154,r004,All fields -> Science,All fields,Science,,,2,72000,1000,108000,2000,84000,2500,114000,2000,85000,1000,98000,2000,65000,2000,88000,2500,64000,1500,95000,3000
8154,r005,All fields -> Science -> Male,All fields,Science,Male,,3,73000,1500,111000,2000,85000,2000,120000,2500,88000,1500,100000,2500,62000,2000,95000,5500,65000,1000,100000,2000
8154,r006,All fields -> Science -> Female,All fields,Science,Female,,3,71000,1500,100000,500,80000,2500,107000,2500,80000,1000,89000,3000,67000,2500,82000,2000,63000,2000,90000,1500
8154,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,65000,500,109000,500,77000,6500,122000,4000,85000,2000,105000,2000,60000,500,88000,3000,60000,500,90000,2500
8154,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,65000,1000,115000,4000,78000,13500,126000,4500,91000,3000,106000,4000,59000,500,92000,5500,60000,1500,100000,6500
8154,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,65000,1000,100000,1000,74000,10000,119000,4500,79000,2000,100000,3500,61000,3000,85000,3000,60000,1500,85000,3000
8154,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,93000,2000,129000,7500,88000,3000,135000,4500,99000,1000,104000,17000,88000,4500,125000,33000,81000,3500,99000,4000
8154,r011,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,4,95000,4000,135000,6000,88000,4500,139000,4500,99000,1500,117000,17500,86000,8500,146000,24000,81000,4000,98000,8000
8154,r012,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,4,90000,4000,110000,6000,90000,9500,116000,6000,95000,6500,S,S,89000,13500,82000,30500,81000,9500,101000,5500
8154,r013,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,75000,2500,100000,1000,82000,10000,104000,3000,87000,4000,85000,14500,66000,3000,79000,4000,70000,6000,74000,4000
8154,r014,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,4,75000,3500,102000,2500,89000,13000,105000,5000,87000,4000,75000,15000,65000,3000,77000,3500,66000,7000,75000,5500
8154,r015,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,4,75000,4500,91000,4000,72000,12000,97000,5500,84000,7000,85000,31500,71000,3000,85000,16000,75000,7500,71000,10500
8154,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,67000,1500,105000,1500,73000,6000,110000,500,79000,1500,91000,5500,61000,2000,84000,5500,60000,3000,99000,4000
8154,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,4,68000,1500,109000,3000,76000,10500,112000,4500,79000,2000,96000,5500,61000,2500,89000,5000,60000,2500,105000,7000
8154,r018,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,4,65000,2500,95000,4000,65000,9500,104000,3500,76000,3500,81000,5000,60000,3500,75000,2500,62000,2500,89000,5500
8154,r019,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,77000,3000,103000,3000,78000,4000,107000,3000,75000,3500,78000,4500,78000,5000,99000,8000,74000,4500,99000,1500
8154,r020,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,4,72000,2000,108000,3500,83000,9500,112000,3000,73000,2000,78000,9000,65000,7500,115000,8000,68000,4500,99000,3000
8154,r021,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,4,80000,3000,100000,1000,74000,5500,102000,4000,78000,5500,77000,5000,80000,3500,88000,7500,78000,4500,100000,3500
8154,r022,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,80000,1000,109000,2000,85000,3500,112000,3000,84000,2500,86000,7000,65000,4500,81000,4500,73000,3500,99000,5500
8154,r023,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,4,83000,2000,114000,4000,86000,10000,117000,3500,88000,2500,85000,7500,58000,2500,89000,6500,78000,6000,109000,8500
8154,r024,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,4,76000,2000,100000,1500,84000,6500,105000,3000,80000,2000,85000,8000,69000,3500,75000,6000,68000,2500,85000,5500
8154,r025,All fields -> Engineering,All fields,Engineering,,,2,88000,2500,128000,4000,98000,2000,137000,4000,95000,1000,105000,3000,65000,4500,107000,8000,70000,3000,110000,5000
8154,r026,All fields -> Engineering -> Male,All fields,Engineering,Male,,3,89000,2500,129000,3000,99000,1000,136000,4500,95000,2000,103000,4500,65000,2500,108000,7500,70000,3500,113000,10500
8154,r027,All fields -> Engineering -> Female,All fields,Engineering,Female,,3,85000,3500,120000,8500,88000,4500,139000,8500,95000,2000,110000,12000,69000,6500,103000,15500,69000,6000,98000,6500
8154,r028,All fields -> Health,All fields,Health,,,2,82000,1500,117000,2500,98000,8000,119000,3000,79000,3000,97000,6000,87000,4000,119000,11500,72000,5000,108000,5500
8154,r029,All fields -> Health -> Male,All fields,Health,Male,,3,72000,3000,119000,7500,90000,20000,129000,14500,75000,3500,85000,23000,81000,13000,109000,12500,59000,4000,116000,15500
8154,r030,All fields -> Health -> Female,All fields,Health,Female,,3,84000,1000,115000,3500,98000,8000,118000,4000,82000,2000,97000,7000,89000,4000,128000,11500,79000,6000,100000,8500
