table_id,row_id,rank,baccalaureate_institution_,black_doctorate_recipients,institutional_control,2018_carnegie_classification,hbcu_status
7142,r001,na,All black doctorate recipients,24689,na,na,na
7142,r002,na,U.S. institutions,21851,na,na,na
7142,r003,na,Foreign institutions,2220,na,na,na
7142,r004,na,Unreported ,618,na,na,na
7142,r005,1,Howard U.,403,Private,R2: doctoral universities,Yes
7142,r006,2,Spelman C.,383,Private,Baccalaureate colleges: arts and sciences focus,Yes
7142,r007,3,Florida A&M U.,340,Public,R2: doctoral universities,Yes
7142,r008,4,North Carolina Agricultural and Technical State U.,268,Public,R2: doctoral universities,Yes
7142,r009,5,Hampton U.,254,Private,R2: doctoral universities,Yes
7142,r010,6,Jackson State U.,252,Public,R2: doctoral universities,Yes
7142,r011,7,"Southern U. and A&M C., Baton Rouge",220,Public,M1: master's institutions - larger programs,Yes
7142,r012,8,Morehouse C.,218,Private,Baccalaureate colleges: arts and sciences focus,Yes
7142,r013,8,"U. Maryland, College Park",218,Public,R1: doctoral universities,No
7142,r014,10,"U. North Carolina, Chapel Hill",211,Public,R1: doctoral universities,No
7142,r015,11,U. Florida,196,Public,R1: doctoral universities,No
7142,r016,12,"U. Maryland, Baltimore County",193,Public,R2: doctoral universities,No
7142,r017,13,"U. Michigan, Ann Arbor",185,Public,R1: doctoral universities,No
7142,r018,13,Xavier U. Louisiana,185,Private,M3: master's institutions - smaller programs,Yes
7142,r019,15,Florida State U.,174,Public,R1: doctoral universities,No
7142,r020,16,Morgan State U.,161,Public,R2: doctoral universities,Yes
7142,r021,17,"U. Illinois, Urbana-Champaign",149,Public,R1: doctoral universities,No
7142,r022,18,"U. Virginia, Charlottesville",141,Public,R1: doctoral universities,No
7142,r023,19,Tuskegee U.,136,Private,M2: master's institutions - medium programs,Yes
7142,r024,20,U. Southern Mississippi,131,Public,R1: doctoral universities,No
7142,r025,21,Tennessee State U.,128,Public,R2: doctoral universities,Yes
7142,r026,22,"Louisiana State U., Baton Rouge",126,Public,R1: doctoral universities,No
7142,r027,22,Michigan State U.,126,Public,R1: doctoral universities,No
7142,r028,24,Clark Atlanta U.,123,Private,R2: doctoral universities,Yes
7142,r029,25,"Rutgers, State U. New Jersey, New Brunswick",118,Public,R1: doctoral universities,No
7142,r030,26,Harvard U.,117,Private,R1: doctoral universities,No
7142,r031,27,Mississippi State U.,114,Public,R1: doctoral universities,No
7142,r032,28,Temple U.,113,Public,R1: doctoral universities,No
7142,r033,29,Cornell U.,110,Private,R1: doctoral universities,No
7142,r034,29,Georgia State U.,110,Public,R1: doctoral universities,No
7142,r035,29,Stanford U.,110,Private,R1: doctoral universities,No
7142,r036,32,North Carolina Central U.,109,Public,M1: master's institutions - larger programs,Yes
7142,r037,32,U. Georgia,109,Public,R1: doctoral universities,No
7142,r038,34,Oakwood U.,108,Private,Baccalaureate colleges: diverse fields,Yes
7142,r039,35,"Ohio State U., Columbus",107,Public,R1: doctoral universities,No
7142,r040,36,North Carolina State U.,106,Public,R1: doctoral universities,No
7142,r041,37,"Pennsylvania State U., University Park and Hershey Medical Center",105,Public,R1: doctoral universities,No
7142,r042,38,"Texas A&M U., College Station and Health Science Center",103,Public,R1: doctoral universities,No
7142,r043,39,Alcorn State U.,102,Public,M2: master's institutions - medium programs,Yes
7142,r044,39,Prairie View A&M U.,102,Public,M1: master's institutions - larger programs,Yes
7142,r045,41,Norfolk State U.,101,Public,M2: master's institutions - medium programs,Yes
7142,r046,41,U. Pennsylvania,101,Private,R1: doctoral universities,No
7142,r047,43,"U. South Carolina, Columbia",100,Public,R1: doctoral universities,No
7142,r048,44,"U. California, Berkeley",99,Public,R1: doctoral universities,No
7142,r049,45,Duke U.,98,Private,R1: doctoral universities,No
7142,r050,45,"U. Texas, Austin",98,Public,R1: doctoral universities,No
7142,r051,47,"U. Alabama, Birmingham",97,Public,R1: doctoral universities,No
7142,r052,48,U. Memphis,95,Public,R2: doctoral universities,No
7142,r053,49,Alabama State U.,94,Public,M2: master's institutions - medium programs,Yes
7142,r054,49,"CUNY, Hunter C.",94,Public,M1: master's institutions - larger programs,No
