table_id,row_id,source_of_funds_full_path,source_of_funds_level_1,source_of_funds_level_2,source_of_funds_level_3,source_of_funds_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field__change_2018_19
3056,r001,All R&D expenditures,All R&D expenditures,,,1,65274,65729,67013,67199,68550,71736,75134,79014,83496,5.7
3056,r002,All R&D expenditures -> All federal R&D expenditures,All R&D expenditures,All federal R&D expenditures,,2,40768,40142,39446,37961,37847,38771,40224,41836,44455,6.3
3056,r003,All R&D expenditures -> All federal R&D expenditures -> DOD,All R&D expenditures,All federal R&D expenditures,DOD,3,4814,4908,5023,4927,5090,5313,5635,5894,6655,12.9
3056,r004,All R&D expenditures -> All federal R&D expenditures -> DOE,All R&D expenditures,All federal R&D expenditures,DOE,3,1866,1955,1876,1806,1710,1770,1815,1813,1939,6.9
3056,r005,All R&D expenditures -> All federal R&D expenditures -> HHS,All R&D expenditures,All federal R&D expenditures,HHS,3,22995,21916,21211,20298,19994,20657,21620,22829,24413,6.9
3056,r006,All R&D expenditures -> All federal R&D expenditures -> NASA,All R&D expenditures,All federal R&D expenditures,NASA,3,1423,1331,1332,1329,1418,1491,1406,1516,1645,8.5
3056,r007,All R&D expenditures -> All federal R&D expenditures -> NSF,All R&D expenditures,All federal R&D expenditures,NSF,3,5140,5276,5393,5127,5120,5113,5205,5270,5331,1.2
3056,r008,All R&D expenditures -> All federal R&D expenditures -> USDA,All R&D expenditures,All federal R&D expenditures,USDA,3,1006,1094,1092,1061,1119,1207,1222,1184,1221,3.1
3056,r009,All R&D expenditures -> All federal R&D expenditures -> Other,All R&D expenditures,All federal R&D expenditures,Other,3,3524,3663,3519,3413,3396,3220,3322,3330,3251,-2.4
