table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_graduate_students_rank,field_all_graduate_students_total,field_all_graduate_students_science,field_all_graduate_students_engineering,field_all_graduate_students_health,field_master_s_students_rank,field_master_s_students_total,field_master_s_students_science,field_master_s_students_engineering,field_master_s_students_health,field_doctoral_students_rank,field_doctoral_students_total,field_doctoral_students_science,field_doctoral_students_engineering,field_doctoral_students_health
3542,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,690117,453691,164004,72422,-,408228,259795,91939,56494,-,281889,193896,72065,15928
3542,r002,All institutions<sup>a</sup> -> Georgia Institute of Technology,All institutions<sup>a</sup>,Georgia Institute of Technology,2,1,14091,10433,3637,21,1,10691,9136,1534,21,17,3400,1297,2103,0
3542,r003,All institutions<sup>a</sup> -> Johns Hopkins U.,All institutions<sup>a</sup>,Johns Hopkins U.,2,2,11402,6795,3024,1583,2,8420,4890,2304,1226,23,2982,1905,720,357
3542,r004,All institutions<sup>a</sup> -> Columbia U. in the City of New York,All institutions<sup>a</sup>,Columbia U. in the City of New York,2,3,10332,6439,3093,800,3,7803,4569,2494,740,27,2529,1870,599,60
3542,r005,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,4,9890,5038,4271,581,8,5303,2329,2595,379,1,4587,2709,1676,202
3542,r006,All institutions<sup>a</sup> -> U. Southern California,All institutions<sup>a</sup>,U. Southern California,2,5,9756,5645,3305,806,4,7140,3986,2576,578,26,2616,1659,729,228
3542,r007,"All institutions<sup>a</sup> -> U. Illinois, Urbana-Champaign",All institutions<sup>a</sup>,"U. Illinois, Urbana-Champaign",2,6,8650,5671,2725,254,10,4531,3072,1321,138,4,4119,2599,1404,116
3542,r008,All institutions<sup>a</sup> -> New York U.,All institutions<sup>a</sup>,New York U.,2,7,8533,6464,1431,638,6,6587,4855,1169,563,45,1946,1609,262,75
3542,r009,All institutions<sup>a</sup> -> Texas A&M U.,All institutions<sup>a</sup>,Texas A&M U.,2,8,8177,4696,3306,175,14,3857,2144,1634,79,2,4320,2552,1672,96
3542,r010,All institutions<sup>a</sup> -> Arizona State U.,All institutions<sup>a</sup>,Arizona State U.,2,9,7874,4647,3082,145,9,4902,2720,2092,90,24,2972,1927,990,55
3542,r011,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,10,7772,4795,2060,917,12,4180,2342,1279,559,10,3592,2453,781,358
3542,r012,All institutions<sup>a</sup> -> Liberty U.,All institutions<sup>a</sup>,Liberty U.,2,11,7588,6512,0,1076,5,7045,5969,0,1076,137,543,543,0,0
3542,r013,All institutions<sup>a</sup> -> Purdue U.,All institutions<sup>a</sup>,Purdue U.,2,12,7050,2772,3902,376,23,2989,939,1870,180,6,4061,1833,2032,196
3542,r014,All institutions<sup>a</sup> -> Pennsylvania State U.,All institutions<sup>a</sup>,Pennsylvania State U.,2,13,6882,4422,2274,186,21,3353,2077,1192,84,12,3529,2345,1082,102
