table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_level_5,_b_field_of_doctorate_b_hierarchy_depth,field_all_doctorate_recipientsa,field_temporary_visa_holders,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
7545,r001,All fields,All fields,,,,,1,52250,17638,31674,2856,100,3022,2431,21333,1088,376,468
7545,r002,All fields -> Science and engineering,All fields,Science and engineering,,,,2,41356,15259,23906,2166,66,2553,1459,16235,834,283,310
7545,r003,All fields -> Science and engineering -> Agricultural sciences and natural resources,All fields,Science and engineering,Agricultural sciences and natural resources,,,3,1223,477,695,44,4,40,30,538,12,10,17
7545,r004,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",,4,807,340,440,24,0,23,16,355,5,6,11
7545,r005,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Agronomy and crop science",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Agronomy and crop science,5,69,27,42,4,0,2,0,34,0,2,0
7545,r006,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Animal sciences",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences,5,160,66,88,2,0,3,0,81,1,0,1
7545,r007,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Food science and technology",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology,5,175,94,77,4,0,6,6,57,0,2,2
7545,r008,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Plant sciences",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences,5,152,57,88,5,0,7,3,69,0,0,4
7545,r009,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Soil sciences",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences,5,79,36,42,1,0,3,4,30,1,2,1
7545,r010,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Veterinary biomedical and clinical sciences",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences,5,78,30,44,4,0,1,2,34,1,0,2
7545,r011,"All fields -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Agricultural, animal, plant, and veterinary sciences nec",All fields,Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences","Agricultural, animal, plant, and veterinary sciences nec",5,94,30,59,4,0,1,1,50,2,0,1
7545,r012,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,,4,416,137,255,20,4,17,14,183,7,4,6
7545,r013,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental science,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Environmental science,5,117,46,66,5,1,5,4,46,2,2,1
7545,r014,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental/ natural resources management and policy,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Environmental/ natural resources management and policy,5,78,37,37,2,1,6,2,25,0,0,1
7545,r015,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forestry,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Forestry,5,74,28,44,2,0,3,4,33,0,1,1
7545,r016,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources conservation and research,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources conservation and research,5,74,13,56,6,2,2,4,37,2,1,2
7545,r017,All fields -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources and conservation nec,All fields,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation nec,5,73,13,52,5,0,1,0,42,3,0,1
7545,r018,All fields -> Science and engineering -> Biological and biomedical sciences,All fields,Science and engineering,Biological and biomedical sciences,,,3,8259,2067,5876,571,13,700,269,4001,214,52,56
7545,r019,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",All fields,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",,4,1348,426,882,82,1,98,40,618,34,7,2
7545,r020,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry",All fields,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biochemistry,5,417,141,262,24,1,22,12,191,9,2,1
7545,r021,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry and molecular biology",All fields,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biochemistry and molecular biology,5,263,79,182,15,0,20,12,125,8,1,1
7545,r022,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biophysics",All fields,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biophysics,5,206,87,112,9,0,14,1,81,6,1,0
7545,r023,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Molecular biology",All fields,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Molecular biology,5,260,54,199,20,0,26,9,133,8,3,0
7545,r024,"All fields -> Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry, biophysics, and molecular biology nec",All fields,Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology","Biochemistry, biophysics, and molecular biology nec",5,202,65,127,14,0,16,6,88,3,0,0
7545,r025,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",,4,563,252,296,23,1,65,10,175,11,6,5
7545,r026,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Bioinformatics",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Bioinformatics,5,136,56,79,4,0,12,3,51,5,2,2
7545,r027,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Biostatistics",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Biostatistics,5,224,110,105,10,0,25,5,60,3,1,1
7545,r028,"All fields -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Computational biology",All fields,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Computational biology,5,106,43,61,6,1,18,1,29,2,3,1
