table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
2778,r001,All FFRDCs,All FFRDCs,,,1,"['22,338,855', ' ']","['5,039,345', ' ']","['11,417,801', ' ']","['1,041,189', ' ']","['511,475', ' ']","['200,993', ' ']","['2,889,883', ' ']","['288,256', ' ']","['949,913', ' ']"
2778,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,796,696', ' ']","['1,138,883', ' ']","['2,400,506', ' ']","['35,031', ' ']","['101,220', ' ']","['39,921', ' ']","['2,729,966', ' ']","['281,425', ' ']","['69,744', ' ']"
2778,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['33,211', '']","['0', '']","['33,211', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2778,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['787,513', '']","['24,726', '']","['700,782', '']","['5,059', '']","['23,965', '']","['8,311', '']","['356', '']","['2,487', '']","['21,827', '']"
2778,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['333,460', '']","['583', '']","['332,747', '']","['0', '']","['0', '']","['0', '']","['16', '']","['114', '']","['0', '']"
2778,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,709,063', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,709,063', '']","['0', '']","['0', '']"
2778,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['807,967', '']","['9,147', '']","['764,465', '']","['25,297', '']","['1,404', '']","['596', '']","['3,306', '']","['0', '']","['3,752', '']"
2778,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,084,953', '']","['1,005,971', '']","['4,007', '']","['0', '']","['32,220', '']","['25,978', '']","['5,377', '']","['0', '']","['11,400', '']"
2778,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['187,615', '']","['6,312', '']","['4,406', '']","['0', '']","['0', '']","['4,628', '']","['10,158', '']","['137,599', '']","['24,512', '']"
2778,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['99,881', '']","['87', '']","['0', '']","['0', '']","['0', '']","['0', '']","['439', '']","['99,355', '']","['0', '']"
