table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_all_federal_obligations,field_federal_intramurala,field_extramural_performers_business_firms,field_extramural_performers_united_states_and_u_s_territories_industry_ffrdcs,field_extramural_performers_united_states_and_u_s_territories_universities_and_colleges,field_extramural_performers_united_states_and_u_s_territories_university_ffrdcs,field_extramural_performers_united_states_and_u_s_territories_other_nonprofits,field_extramural_performers_united_states_and_u_s_territories_nonprofit_ffrdcs,field_extramural_performers_united_states_and_u_s_territories_state_and_local_governments,field_extramural_performers_foreign
1890,r001,Total R&D and R&D plant,Total R&D and R&D plant,,,1,,,,,,,,,,
1890,r002,Total R&D and R&D plant -> All agencies,Total R&D and R&D plant,All agencies,,2,121626.6,31819.7,38209.2,4158.1,29313.2,5030.9,8298.4,3460.7,553.4,782.9
1890,r003,Total R&D and R&D plant -> All agencies -> Department of Agriculture,Total R&D and R&D plant,All agencies,Department of Agriculture,3,2575.2,1685.1,31.2,0.0,824.1,0.0,23.5,0.0,8.6,2.7
1890,r004,Total R&D and R&D plant -> All agencies -> Department of Commerce,Total R&D and R&D plant,All agencies,Department of Commerce,3,1847.1,1409.0,65.2,0.0,277.5,32.8,51.1,1.2,6.7,3.7
1890,r005,Total R&D and R&D plant -> All agencies -> Department of Defense,Total R&D and R&D plant,All agencies,Department of Defense,3,45163.8,15779.2,24385.9,245.7,2421.9,363.8,601.0,877.4,22.5,466.5
1890,r006,Total R&D and R&D plant -> All agencies -> Department of Education,Total R&D and R&D plant,All agencies,Department of Education,3,261.8,10.6,6.7,0.0,181.3,0.0,63.3,0.0,0.0,0.0
1890,r007,Total R&D and R&D plant -> All agencies -> Department of Energy,Total R&D and R&D plant,All agencies,Department of Energy,3,13583.9,1223.4,2829.1,3179.1,1158.7,2632.4,184.2,2343.3,32.4,1.5
1890,r008,Total R&D and R&D plant -> All agencies -> Department of Health and Human Services,Total R&D and R&D plant,All agencies,Department of Health and Human Services,3,33901.8,7201.1,1739.1,665.6,18433.4,21.3,5370.7,33.9,200.3,236.3
1890,r009,Total R&D and R&D plant -> All agencies -> Department of Homeland Security,Total R&D and R&D plant,All agencies,Department of Homeland Security,3,869.9,373.9,303.2,49.4,47.5,4.6,15.9,62.0,11.8,1.6
1890,r010,Total R&D and R&D plant -> All agencies -> Department of the Interior,Total R&D and R&D plant,All agencies,Department of the Interior,3,868.1,766.8,15.0,0.0,52.8,0.4,4.1,0.0,28.2,0.8
1890,r011,Total R&D and R&D plant -> All agencies -> Department of Justice,Total R&D and R&D plant,All agencies,Department of Justice,3,126.9,11.4,8.0,0.0,63.8,0.0,33.4,0.0,10.3,0.0
1890,r012,Total R&D and R&D plant -> All agencies -> Department of Transportation,Total R&D and R&D plant,All agencies,Department of Transportation,3,987.0,212.4,366.7,0.2,70.3,0.2,39.6,83.4,214.2,0.0
1890,r013,Total R&D and R&D plant -> All agencies -> Department of Veterans Affairs,Total R&D and R&D plant,All agencies,Department of Veterans Affairs,3,682.3,682.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,r014,Total R&D and R&D plant -> All agencies -> Agency for International Development,Total R&D and R&D plant,All agencies,Agency for International Development,3,192.2,10.9,0.0,0.0,49.1,0.0,128.8,0.0,0.0,3.4
1890,r015,Total R&D and R&D plant -> All agencies -> Environmental Protection Agency,Total R&D and R&D plant,All agencies,Environmental Protection Agency,3,498.4,263.3,183.3,0.0,51.5,0.0,0.0,0.0,0.0,0.2
1890,r016,Total R&D and R&D plant -> All agencies -> National Aeronautics and Space Administration,Total R&D and R&D plant,All agencies,National Aeronautics and Space Administration,3,12638.1,1784.6,7701.5,1.8,927.3,1755.7,376.2,33.5,7.6,49.9
1890,r017,Total R&D and R&D plant -> All agencies -> National Science Foundation,Total R&D and R&D plant,All agencies,National Science Foundation,3,5945.7,27.5,410.3,0.0,4744.6,216.8,517.0,5.0,10.8,13.9
1890,r018,Total R&D and R&D plant -> All agencies -> Patient-Centered Outcomes Research Trust Fund,Total R&D and R&D plant,All agencies,Patient-Centered Outcomes Research Trust Fund,3,883.9,0.0,0.0,0.0,0.0,0.0,883.9,0.0,0.0,0.0
1890,r019,Total R&D and R&D plant -> All agencies -> Smithsonian Institution,Total R&D and R&D plant,All agencies,Smithsonian Institution,3,240.5,240.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,r020,Total R&D and R&D plant -> All agencies -> Social Security Administration,Total R&D and R&D plant,All agencies,Social Security Administration,3,109.5,31.2,69.3,0.0,5.4,0.0,3.6,0.0,0.0,0.0
1890,r021,Total R&D and R&D plant -> All agencies -> All other agencies,Total R&D and R&D plant,All agencies,All other agencies,3,250.4,106.4,94.9,16.4,4.3,2.9,2.1,21.1,-0.0,2.2
1890,r022,R&D,R&D,,,1,,,,,,,,,,
1890,r023,R&D -> All agencies,R&D,All agencies,,2,118974.8,30990.2,37875.4,4075.8,28963.2,4445.3,8140.6,3173.0,553.4,757.9
1890,r024,R&D -> All agencies -> Department of Agriculture,R&D,All agencies,Department of Agriculture,3,2418.5,1528.5,31.2,0.0,823.9,0.0,23.5,0.0,8.6,2.7
1890,r025,R&D -> All agencies -> Department of Commerce,R&D,All agencies,Department of Commerce,3,1612.5,1174.4,65.2,0.0,277.5,32.8,51.1,1.2,6.7,3.7
1890,r026,R&D -> All agencies -> Department of Defense,R&D,All agencies,Department of Defense,3,44872.6,15520.0,24355.0,245.7,2421.3,363.6,600.5,877.4,22.5,466.5
1890,r027,R&D -> All agencies -> Department of Education,R&D,All agencies,Department of Education,3,261.8,10.6,6.7,0.0,181.3,0.0,63.3,0.0,0.0,0.0
1890,r028,R&D -> All agencies -> Department of Energy,R&D,All agencies,Department of Energy,3,12308.4,1221.2,2588.9,3096.7,1058.7,2059.6,184.2,2065.3,32.4,1.5
1890,r029,R&D -> All agencies -> Department of Health and Human Services,R&D,All agencies,Department of Health and Human Services,3,33774.2,7078.4,1739.1,665.6,18428.5,21.3,5370.7,33.9,200.3,236.3
1890,r030,R&D -> All agencies -> Department of Homeland Security,R&D,All agencies,Department of Homeland Security,3,856.6,370.3,303.2,49.4,47.5,4.6,15.9,52.3,11.8,1.6
1890,r031,R&D -> All agencies -> Department of the Interior,R&D,All agencies,Department of the Interior,3,862.6,764.5,11.9,0.0,52.8,0.4,4.1,0.0,28.2,0.8
1890,r032,R&D -> All agencies -> Department of Justice,R&D,All agencies,Department of Justice,3,126.9,11.4,8.0,0.0,63.8,0.0,33.4,0.0,10.3,0.0
