table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
11280,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['27,913', '&nbsp;']","['11,316', '&nbsp;']","['16,597', '&nbsp;']"
11280,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['50,433', '&nbsp;']","['24,350', '&nbsp;']","['26,083', '&nbsp;']"
11280,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['1,124,668', '&nbsp;']","['593,698', '&nbsp;']","['530,970', '&nbsp;']"
11280,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['563,446', '&nbsp;']","['275,918', '&nbsp;']","['287,528', '&nbsp;']"
11280,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['139,970', '&nbsp;']","['73,919', '&nbsp;']","['66,050', '&nbsp;']"
11280,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['20,032', '&nbsp;']","['7,885', '&nbsp;']","['12,147', '&nbsp;']"
11280,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['119,938', '&nbsp;']","['66,035', '&nbsp;']","['53,903', '&nbsp;']"
11280,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['201,299', '&nbsp;']","['102,582', '&nbsp;']","['98,718', '&nbsp;']"
11280,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['195,241', '&nbsp;']","['129,417', '&nbsp;']","['65,825', '&nbsp;']"
11280,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['24,711', '&nbsp;']","['11,862', '&nbsp;']","['12,849', '&nbsp;']"
11280,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['2,010', '&nbsp;']","['792', '&nbsp;']","['1,217', '&nbsp;']"
11280,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['6,368', '&nbsp;']","['3,085', '&nbsp;']","['3,283', '&nbsp;']"
11280,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['14,583', '&nbsp;']","['7,021', '&nbsp;']","['7,563', '&nbsp;']"
11280,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['1,712', '&nbsp;']","['933', '&nbsp;']","['779', '&nbsp;']"
