table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
716,r001,All business activities,All business activities,,1,21100–81000,"['412,345', '&nbsp;']"
716,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['1,486', '&nbsp;']"
716,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['71', '&nbsp;']"
716,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['1,833', '&nbsp;']"
716,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['725', '&nbsp;']"
716,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['699', '&nbsp;']"
716,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['6,407', '&nbsp;']"
716,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['724', '&nbsp;']"
716,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['681', '&nbsp;']"
716,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['840', '&nbsp;']"
716,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['251', '&nbsp;']"
716,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,429', '&nbsp;']"
716,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['321', '&nbsp;']"
716,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['526', '&nbsp;']"
716,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['75', '&nbsp;']"
716,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['416', '&nbsp;']"
716,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,506', '&nbsp;']"
716,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,704', '&nbsp;']"
716,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemical manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2,32530,"['D', '&nbsp;']"
716,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostics)",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostics)",2,32541,"['64,451', '&nbsp;']"
716,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['972', '&nbsp;']"
716,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostics),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostics),2,32543,"['22,997', '&nbsp;']"
716,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,473', '&nbsp;']"
716,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['D', '&nbsp;']"
716,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,247', '&nbsp;']"
716,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,145', '&nbsp;']"
716,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['601', '&nbsp;']"
716,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['716', '&nbsp;']"
716,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['2,365', '&nbsp;']"
716,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,916', '&nbsp;']"
716,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,561', '&nbsp;']"
716,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['2,131', '&nbsp;']"
