table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_hierarchy_depth,field_2020,field_2021,field_change_number_and_percentage_point_
7646,r001,Doctorate recipients in universe (number),Doctorate recipients in universe (number),,,1,55224,52250,-2974
7646,r002,Doctorate recipients in universe (number) -> Doctorate recipients completing the survey,Doctorate recipients in universe (number),Doctorate recipients completing the survey,,2,50908,47816,-3092
7646,r003,Doctorate recipients in universe (number) -> Doctorate recipients completing the survey -> Doctorate recipients providing field of doctorate,Doctorate recipients in universe (number),Doctorate recipients completing the survey,Doctorate recipients providing field of doctorate,3,49367,46842,-2525
7646,r004,Doctorate recipients in universe (number) -> Doctorate recipients completing the survey -> Doctorate recipients providing field of doctorate (%),Doctorate recipients in universe (number),Doctorate recipients completing the survey,Doctorate recipients providing field of doctorate (%),3,97.0,98.0,1.0
