table_id,row_id,sex_full_path,sex_level_1,sex_level_2,sex_hierarchy_depth,field_total,field_biology,field_calculus_ab,field_calculus_bc,field_chemistry,field_computer_science_a,field_computer_science_principles,field_environmental_science,field_physics_1,field_physics_2,field_physics_c_electricity_and_magnetism,field_physics_c_mechanics,field_statistics
4117,r001,Number,Number,,1,2825710,260816,300659,139195,158847,69685,96105,172456,161071,23802,25342,57131,219392
4117,r002,Number -> Male,Number,Male,2,1231488,97792,152893,80855,78107,52574,64647,75036,97908,17026,19138,40971,104471
4117,r003,Number -> Female,Number,Female,2,1594222,163024,147766,58340,80740,17111,31458,97420,63163,6776,6204,16160,114921
4117,r004,Percentage distribution,Percentage distribution,,1,100,100,100,100,100,100,100,100,100,100,100,100,100
4117,r005,Percentage distribution -> Male,Percentage distribution,Male,2,44,37,51,58,49,75,67,44,61,72,76,72,48
4117,r006,Percentage distribution -> Female,Percentage distribution,Female,2,56,63,49,42,51,25,33,56,39,28,24,28,52
