table_id,row_id,_b_occupation_title_b_full_path,_b_occupation_title_b_level_1,_b_occupation_title_b_level_2,_b_occupation_title_b_hierarchy_depth,field_number,field_percent_of_workers_in_the_stw,field_educational_attainment_no_college,field_educational_attainment_some_college,field_educational_attainment_associate_s_degree,field_median_earnings_no_college,field_median_earnings_some_college,field_median_earnings_associate_s_degree
11016,r001,All S&E occupations,All S&E occupations,,1,2098049,22.3,5.2,10.5,6.6,68637,73550,71548
11016,r002,All S&E occupations -> Computer support specialists,All S&E occupations,Computer support specialists,2,377392,52.0,11.6,24.7,15.6,53091,54756,56174
11016,r003,"All S&E occupations -> Computer occupations, all other",All S&E occupations,"Computer occupations, all other",2,348721,46.0,11.4,21.5,13.1,59894,60272,57458
11016,r004,All S&E occupations -> Software developers,All S&E occupations,Software developers,2,261715,14.2,2.7,7.5,3.9,99820,103627,94685
11016,r005,All S&E occupations -> Computer systems analysts,All S&E occupations,Computer systems analysts,2,142102,24.6,5.1,12.7,6.8,69820,74688,71052
11016,r006,All S&E occupations -> Other engineers,All S&E occupations,Other engineers,2,118771,17.2,4.5,7.1,5.5,79280,84924,79679
11016,r007,All S&E-related occupations,All S&E-related occupations,,1,5078332,37.5,8.2,13.1,16.2,45832,49991,59831
11016,r008,All S&E-related occupations -> Registered nurses,All S&E-related occupations,Registered nurses,2,1102732,32.4,1.8,4.1,26.5,66298,64121,64527
11016,r009,All S&E-related occupations -> Licensed practical and licensed vocational nurses,All S&E-related occupations,Licensed practical and licensed vocational nurses,2,571670,95.0,22.2,53.3,19.5,39958,46968,44820
11016,r010,"All S&E-related occupations -> Other engineering technologists and technicians, except drafters",All S&E-related occupations,"Other engineering technologists and technicians, except drafters",2,311519,76.7,27.0,30.4,19.3,51832,61094,64515
11016,r011,All S&E-related occupations -> Pharmacy technicians,All S&E-related occupations,Pharmacy technicians,2,309023,80.7,27.4,37.9,15.4,34850,34956,34983
11016,r012,All S&E-related occupations -> Medical and health services managers,All S&E-related occupations,Medical and health services managers,2,268457,35.0,10.0,14.2,10.8,49800,59969,66537
11016,r013,All STEM middle-skill occupations,All STEM middle-skill occupations,,1,12079367,87.3,51.7,24.4,11.2,44990,52929,59524
11016,r014,"All STEM middle-skill occupations -> Misc. production workers, incl. equipment operators and tenders",All STEM middle-skill occupations,"Misc. production workers, incl. equipment operators and tenders",2,1185354,91.6,64.3,20.8,6.6,35996,39939,47110
11016,r015,All STEM middle-skill occupations -> Carpenters,All STEM middle-skill occupations,Carpenters,2,1061964,92.9,67.8,19.8,5.3,39984,44857,44595
11016,r016,All STEM middle-skill occupations -> Electricians,All STEM middle-skill occupations,Electricians,2,845360,92.8,47.2,30.2,15.3,49930,59145,64237
11016,r017,All STEM middle-skill occupations -> Automotive service technicians and mechanics,All STEM middle-skill occupations,Automotive service technicians and mechanics,2,790628,95.8,60.2,22.4,13.2,39938,43582,49951
11016,r018,"All STEM middle-skill occupations -> Maintenance and repair workers, general",All STEM middle-skill occupations,"Maintenance and repair workers, general",2,689542,91.8,56.7,23.8,11.2,45106,49959,54495
