table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_master_s_2017,field_master_s_2018,field_master_s_2019,field_master_s_2020,field_master_s_percent_change_2017_20,field_master_s_percent_change_2019_20,field_doctoral_2017,field_doctoral_2018,field_doctoral_2019,field_doctoral_2020,field_doctoral_percent_change_2017_20,field_doctoral_percent_change_2019_20
5556,r001,All graduate students,All graduate students,,,,1,378587,391211,408228,414478,9.5,1.5,270525,277096,281889,283335,4.7,0.5
5556,r002,All graduate students -> Science and engineering,All graduate students,Science and engineering,,,2,325925,334391,351734,354354,8.7,0.7,255224,261165,265961,268021,5.0,0.8
5556,r003,All graduate students -> Science and engineering -> Science,All graduate students,Science and engineering,Science,,3,229169,241327,259795,267904,16.9,3.1,186399,190928,193896,196742,5.5,1.5
5556,r004,All graduate students -> Science and engineering -> Science -> Agricultural and veterinary sciences,All graduate students,Science and engineering,Science,Agricultural and veterinary sciences,4,5603,5658,5629,6487,15.8,15.2,3744,3880,3889,4313,15.2,10.9
5556,r005,All graduate students -> Science and engineering -> Science -> Biological and biomedical sciences,All graduate students,Science and engineering,Science,Biological and biomedical sciences,4,33926,35306,38078,39920,17.7,4.8,51291,52627,53915,54905,7.0,1.8
5556,r006,All graduate students -> Science and engineering -> Science -> Computer and information sciences,All graduate students,Science and engineering,Science,Computer and information sciences,4,75618,77351,84092,80690,6.7,-4.0,14291,16127,17192,18174,27.2,5.7
5556,r007,"All graduate students -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,6006,5629,5327,5277,-12.1,-0.9,6539,6704,6551,6515,-0.4,-0.5
5556,r008,All graduate students -> Science and engineering -> Science -> Mathematics and statistics,All graduate students,Science and engineering,Science,Mathematics and statistics,4,16568,18073,19594,18284,10.4,-6.7,13101,13388,13565,13687,4.5,0.9
5556,r009,All graduate students -> Science and engineering -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science and engineering,Science,Multidisciplinary and interdisciplinary studies,4,6923,7414,8203,10980,58.6,33.9,2931,2924,2978,3553,21.2,19.3
5556,r010,All graduate students -> Science and engineering -> Science -> Natural resources and conservation,All graduate students,Science and engineering,Science,Natural resources and conservation,4,7311,7691,8066,8793,20.3,9.0,3568,3716,3677,3705,3.8,0.8
5556,r011,All graduate students -> Science and engineering -> Science -> Physical sciences,All graduate students,Science and engineering,Science,Physical sciences,4,6368,6075,6361,6275,-1.5,-1.4,35461,36000,36506,36341,2.5,-0.5
5556,r012,All graduate students -> Science and engineering -> Science -> Psychology,All graduate students,Science and engineering,Science,Psychology,4,29638,35404,40838,47279,59.5,15.8,20395,20303,20231,21115,3.5,4.4
5556,r013,All graduate students -> Science and engineering -> Science -> Social sciences,All graduate students,Science and engineering,Science,Social sciences,4,41208,42726,43607,43919,6.6,0.7,35078,35259,35392,34434,-1.8,-2.7
5556,r014,All graduate students -> Science and engineering -> Engineering,All graduate students,Science and engineering,Engineering,,3,96756,93064,91939,86450,-10.7,-6.0,68825,70237,72065,71279,3.6,-1.1
5556,r015,"All graduate students -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,3322,3342,3701,4326,30.2,16.9,2386,2506,2554,2645,10.9,3.6
5556,r016,"All graduate students -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,4108,4282,4424,4536,10.4,2.5,7008,7481,7934,8239,17.6,3.8
5556,r017,"All graduate students -> Science and engineering -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Science and engineering,Engineering,"Chemical, petroleum, and chemical-related engineering",4,4208,3815,3274,2942,-30.1,-10.1,7536,7599,7664,7612,1.0,-0.7
