table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_puerto_rico,field_canada,field_austria,field_belgium,field_czech_republic_,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
859,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['73,691', '&nbsp;']","['96', '&nbsp;']","['4,381', '&nbsp;']","['282', '&nbsp;']","['2,058', '&nbsp;']","['269', '&nbsp;']","['642', '&nbsp;']","['1,255', '&nbsp;']","['2,772', '&nbsp;']","['8,157', '&nbsp;']","['222', '&nbsp;']","['2,317', '&nbsp;']","['1,027', '&nbsp;']","['18', '&nbsp;']","['1,237', '&nbsp;']","['490', '&nbsp;']","['494', '&nbsp;']","['288', '&nbsp;']","['532', '&nbsp;']","['807', '&nbsp;']","['2,926', '&nbsp;']","['99', '&nbsp;']","['8,565', '&nbsp;']","['2,393', '&nbsp;']"
859,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['51,919', '&nbsp;']","['94', '&nbsp;']","['2,671', '&nbsp;']","['223', '&nbsp;']","['1,868', '&nbsp;']","['123', '&nbsp;']","['536', '&nbsp;']","['306', '&nbsp;']","['1,808', '&nbsp;']","['7,239', '&nbsp;']","['174', '&nbsp;']","['1,365', '&nbsp;']","['862', '&nbsp;']","['5', '&nbsp;']","['867', '&nbsp;']","['400', '&nbsp;']","['368', '&nbsp;']","['166', '&nbsp;']","['437', '&nbsp;']","['598', '&nbsp;']","['1,985', '&nbsp;']","['71', '&nbsp;']","['4,867', '&nbsp;']","['1,753', '&nbsp;']"
859,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,232', '&nbsp;']","['*', 'i']","['71', '&nbsp;']","['1', 'i']","['9', 'i']","['1', 'i']","['150', 'i']","['*', 'i']","['50', 'i']","['85', 'i']","['1', 'i']","['*', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['16', '&nbsp;']","['*', 'i']","['5', 'i']","['4', 'i']","['4', 'i']","['6', 'i']","['64', 'i']","['2', 'i']","['113', 'i']","['78', '&nbsp;']"
859,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['13,146', '&nbsp;']","['78', '&nbsp;']","['619', '&nbsp;']","['80', '&nbsp;']","['1,511', '&nbsp;']","['25', '&nbsp;']","['167', '&nbsp;']","['32', '&nbsp;']","['499', '&nbsp;']","['1,044', '&nbsp;']","['28', '&nbsp;']","['721', '&nbsp;']","['251', '&nbsp;']","['1', '&nbsp;']","['383', '&nbsp;']","['25', '&nbsp;']","['54', '&nbsp;']","['57', '&nbsp;']","['213', '&nbsp;']","['183', '&nbsp;']","['1,140', '&nbsp;']","['42', '&nbsp;']","['1,819', '&nbsp;']","['594', '&nbsp;']"
859,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['10,591', '&nbsp;']","['21', '&nbsp;']","['527', '&nbsp;']","['76', '&nbsp;']","['1,419', '&nbsp;']","['22', '&nbsp;']","['128', '&nbsp;']","['25', '&nbsp;']","['357', '&nbsp;']","['818', '&nbsp;']","['23', '&nbsp;']","['710', '&nbsp;']","['206', '&nbsp;']","['1', '&nbsp;']","['160', '&nbsp;']","['19', '&nbsp;']","['46', '&nbsp;']","['51', '&nbsp;']","['185', '&nbsp;']","['170', '&nbsp;']","['1,039', '&nbsp;']","['40', '&nbsp;']","['1,603', '&nbsp;']","['404', '&nbsp;']"
859,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['2,555', '&nbsp;']","['56', '&nbsp;']","['93', '&nbsp;']","['4', '&nbsp;']","['92', '&nbsp;']","['3', '&nbsp;']","['40', '&nbsp;']","['7', '&nbsp;']","['142', '&nbsp;']","['226', '&nbsp;']","['4', '&nbsp;']","['11', '&nbsp;']","['45', '&nbsp;']","['*', '&nbsp;']","['223', '&nbsp;']","['6', '&nbsp;']","['8', '&nbsp;']","['6', '&nbsp;']","['29', '&nbsp;']","['13', '&nbsp;']","['101', '&nbsp;']","['3', 'i']","['215', '&nbsp;']","['190', '&nbsp;']"
859,r007,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['358', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['23', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['42', '&nbsp;']","['69', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['6', '&nbsp;']","['4', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['21', '&nbsp;']","['18', '&nbsp;']"
859,r008,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['228', '&nbsp;']","['0', '&nbsp;']","['5', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['25', '&nbsp;']","['19', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']"
859,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['193', '&nbsp;']","['0', '&nbsp;']","['8', '&nbsp;']","['7', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['8', '&nbsp;']","['31', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['19', '&nbsp;']","['0', '&nbsp;']","['57', '&nbsp;']","['1', '&nbsp;']"
859,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['3,292', '&nbsp;']","['0', '&nbsp;']","['55', '&nbsp;']","['5', '&nbsp;']","['39', '&nbsp;']","['13', '&nbsp;']","['10', '&nbsp;']","['34', '&nbsp;']","['134', '&nbsp;']","['737', '&nbsp;']","['2', '&nbsp;']","['11', '&nbsp;']","['51', '&nbsp;']","['*', '&nbsp;']","['95', '&nbsp;']","['183', '&nbsp;']","['11', '&nbsp;']","['1', '&nbsp;']","['22', '&nbsp;']","['76', '&nbsp;']","['87', '&nbsp;']","['*', '&nbsp;']","['335', '&nbsp;']","['30', '&nbsp;']"
