table_id,row_id,technology,companies_number_,in_use,in_testing_but_not_in_use,not_in_use_nor_testing,don_t_know,did_not_answer
9020,r001,Augmented reality,"['4,865,616', '&nbsp;']","['0.5', '&nbsp;']","['0.4', '&nbsp;']","['83.2', '&nbsp;']","['15.7', '&nbsp;']","['0.2', '&nbsp;']"
9020,r002,Automated guided vehicles (AGV) or AGV systems,"['4,865,616', '&nbsp;']","['0.4', '&nbsp;']","['0.2', '&nbsp;']","['85.6', '&nbsp;']","['13.5', '&nbsp;']","['0.3', '&nbsp;']"
9020,r003,Machine learning,"['4,865,616', '&nbsp;']","['1.6', '&nbsp;']","['0.8', '&nbsp;']","['83.9', '&nbsp;']","['13.4', '&nbsp;']","['0.3', '&nbsp;']"
9020,r004,Machine vision software,"['4,865,616', '&nbsp;']","['0.8', '&nbsp;']","['0.4', '&nbsp;']","['85.0', '&nbsp;']","['13.6', '&nbsp;']","['0.3', '&nbsp;']"
9020,r005,Natural language processing,"['4,865,616', '&nbsp;']","['0.8', '&nbsp;']","['0.4', '&nbsp;']","['84.9', '&nbsp;']","['13.5', '&nbsp;']","['0.3', '&nbsp;']"
9020,r006,Radio-frequency identification (RFID) system,"['4,865,616', '&nbsp;']","['0.9', '&nbsp;']","['0.3', '&nbsp;']","['85.0', '&nbsp;']","['13.5', '&nbsp;']","['0.3', '&nbsp;']"
9020,r007,Robotics,"['4,865,616', '&nbsp;']","['0.9', '&nbsp;']","['0.3', '&nbsp;']","['85.8', '&nbsp;']","['12.6', '&nbsp;']","['0.3', '&nbsp;']"
9020,r008,"Touchscreens/ kiosks for customer interface (examples: self-checkout, self-check-in, touchscreen ordering)","['4,865,616', '&nbsp;']","['5.1', '&nbsp;']","['1.0', '&nbsp;']","['81.5', '&nbsp;']","['12.1', '&nbsp;']","['0.3', '&nbsp;']"
9020,r009,Voice recognition software,"['4,865,616', '&nbsp;']","['1.8', '&nbsp;']","['0.6', '&nbsp;']","['84.9', '&nbsp;']","['12.4', '&nbsp;']","['0.3', '&nbsp;']"
9020,r010,"Additive manufacturing (3D printing), including prototyping","['4,865,616', '&nbsp;']","['1.1', '&nbsp;']","['0.6', '&nbsp;']","['85.3', '&nbsp;']","['12.7', '&nbsp;']","['0.3', '&nbsp;']"
