table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalent_total_,field_r_d_personnel_full_time_equivalent_researchersa,field_r_d_personnel_full_time_equivalent_technicians,field_r_d_personnel_full_time_equivalent_support_staff
12540,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,9924,5396,3162,1366,6322.4,3673.7,1763.6,885.1
12540,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,99,66,15,18,97.1,66.0,14.3,16.8
12540,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,90,54,21,15,71.3,46.5,16.1,8.7
12540,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,33,16,11,6,32.5,15.5,11.0,6.0
12540,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,129,86,26,17,54.0,33.5,15.5,5.0
12540,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,636,522,19,95,520.0,430.9,5.9,83.2
12540,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,99,61,35,3,59.2,48.1,9.8,1.3
12540,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,269,182,36,51,167.7,119.4,34.0,14.3
12540,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,18,12,1,5,18.0,12.0,1.0,5.0
12540,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,31,9,10,12,21.5,7.0,7.5,7.0
12540,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,864,658,62,144,800.3,618.2,73.5,108.6
12540,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,9,4,1,4,7.4,4.5,1.0,1.9
12540,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,12,5,1,6,4.9,1.5,0.2,3.2
12540,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,83,28,51,4,67.0,22.1,42.6,2.3
12540,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,9,5,2,2,6.1,3.8,1.5,0.8
12540,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,110,50,42,18,64.4,37.0,19.0,8.4
12540,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,23,18,4,1,11.9,10.0,1.9,0.0
12540,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,28,16,6,6,22.1,11.1,6.0,5.0
12540,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,242,136,100,6,16.5,12.4,3.8,0.3
12540,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,303,165,94,44,105.4,78.5,17.0,9.9
12540,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,182,122,44,16,111.7,60.0,38.2,13.5
12540,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,20,4,9,7,10.9,0.0,6.9,4.0
12540,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,55,27,20,8,19.5,12.7,4.2,2.6
12540,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,4,1,2,1,0.7,0.5,0.0,0.2
12540,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,83,50,23,10,61.1,42.0,12.9,6.2
12540,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,137,42,84,11,38.4,16.3,21.0,1.1
12540,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,218,77,133,8,103.0,60.0,41.0,2.0
12540,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,65,28,29,8,13.9,4.9,6.7,2.3
12540,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,9,1,8,0,1.2,1.0,0.2,0.0
12540,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,9,5,4,0,1.2,0.4,0.8,0.0
12540,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,15,1,3,11,1.2,1.0,0.1,0.1
12540,r032,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,48,43,1,4,19.4,15.8,0.5,3.1
12540,r033,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,55,35,4,16,10.0,5.0,0.5,4.5
12540,r034,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,3175,1464,1279,432,2283.3,1006.9,887.5,388.9
12540,r035,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,191,62,103,26,166.0,46.5,97.0,22.5
12540,r036,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,18,16,1,1,18.0,16.0,1.0,1.0
12540,r037,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,30,19,9,2,11.8,8.7,2.8,0.3
12540,r038,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,28,13,11,4,15.3,8.5,5.0,1.8
12540,r039,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,306,108,171,27,168.1,75.4,79.7,13.0
12540,r040,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,152,78,64,10,120.2,56.3,56.8,7.1
12540,r041,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,3,2,1,0,2.5,2.0,0.5,0.0
12540,r042,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,465,209,188,68,243.6,151.7,61.9,30.0
12540,r043,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,7,6,0,1,6.5,6.0,0.0,0.5
12540,r044,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,5,2,0,3,5.0,2.0,0.0,3.0
12540,r045,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,69,37,8,24,35.6,21.9,8.0,5.7
12540,r046,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,70,47,12,11,38.6,29.6,7.0,2.0
12540,r047,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,24,7,15,2,7.7,1.1,5.6,1.0
12540,r048,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,365,223,85,57,267.9,204.0,34.0,29.9
12540,r049,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,786,449,223,114,259.4,155.3,76.2,27.9
12540,r050,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,110,82,12,16,76.4,52.7,10.5,13.2
12540,r051,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,2,93,26,62,5,22.7,17.5,0.2,5.0
