table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performers_onlyb
2048,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['452,593', '  ']","['4.7', '  ']","['4.9', '  ']"
2048,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['304,030', '  ']","['5.6', '  ']","['5.7', '  ']"
2048,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,854', '  ']","['0.7', '  ']","['0.8', '  ']"
2048,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,294', '  ']","['0.9', '  ']","['0.9', '  ']"
2048,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['943', '  ']","['1.2', '  ']","['1.2', '  ']"
2048,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['184', '  ']","['0.7', '  ']","['0.7', '  ']"
2048,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,364', '  ']","['0.8', '  ']","['0.8', '  ']"
2048,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['233', '  ']","['0.6', '  ']","['0.6', '  ']"
2048,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['381', '  ']","['0.2', '  ']","['0.2', '  ']"
2048,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['111,030', '  ']","['12.3', '  ']","['12.4', '  ']"
2048,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,650 - 2,700', '  ']","['D', '  ']","['1.7', '  ']"
2048,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['645', '  ']","['1.5', '  ']","['1.5', '  ']"
2048,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,492 - 1,626', '  ']","['D', '  ']","['D', '  ']"
2048,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['101,680', '  ']","['21.8', '  ']","['21.9', '  ']"
2048,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,869 - 3,001', '  ']","['D', '  ']","['D', '  ']"
2048,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,549 - 1,599', '  ']","['D', '  ']","['D', '  ']"
2048,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,927', '  ']","['2.1', '  ']","['2.1', '  ']"
2048,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,353', '  ']","['3.0', '  ']","['3.3', '  ']"
2048,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['805', '  ']","['0.9', '  ']","['0.9', '  ']"
2048,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,302', '  ']","['2.1', '  ']","['2.1', '  ']"
2048,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,713', '  ']","['4.2', '  ']","['4.3', '  ']"
2048,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,746 - 1,766', '  ']","['D', '  ']","['3.8', '  ']"
2048,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,715', '  ']","['18.5', '  ']","['18.5', '  ']"
2048,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['2,140 - 2,160', '  ']","['D', '  ']","['D', '  ']"
2048,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['6,071 - 6,112', '  ']","['D', '  ']","['D', '  ']"
2048,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['80,626', '  ']","['11.6', '  ']","['11.6', '  ']"
2048,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['13,453', '  ']","['15.2', '  ']","['15.2', '  ']"
2048,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['30,562', '  ']","['17.8', '  ']","['17.8', '  ']"
2048,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['14,980', '  ']","['8.9', '  ']","['8.9', '  ']"
