table_id,row_id,adult_characteristic_full_path,adult_characteristic_level_1,adult_characteristic_level_2,adult_characteristic_level_3,adult_characteristic_hierarchy_depth,field_time_that_children_spent_on_all_learning_activities_in_the_past_week_relative_to_a_school_day_before_the_covid_19_pandemic_much_less_than_a_school_day_before,field_time_that_children_spent_on_all_learning_activities_in_the_past_week_relative_to_a_school_day_before_the_covid_19_pandemic_a_little_bit_less_than_a_school_day_before,field_time_that_children_spent_on_all_learning_activities_in_the_past_week_relative_to_a_school_day_before_the_covid_19_pandemic_as_much_as_a_school_day_before,field_time_that_children_spent_on_all_learning_activities_in_the_past_week_relative_to_a_school_day_before_the_covid_19_pandemic_a_little_bit_more_than_a_school_day_before,field_time_that_children_spent_on_all_learning_activities_in_the_past_week_relative_to_a_school_day_before_the_covid_19_pandemic_much_more_than_a_school_day_before
4282,r001,Total,Total,,,1,28,24,31,10,7
4282,r002,Total -> Race or ethnicity,Total,Race or ethnicity,,2,,,,,
4282,r003,Total -> Race or ethnicity -> White,Total,Race or ethnicity,White,3,27,24,33,10,6
4282,r004,Total -> Race or ethnicity -> Black,Total,Race or ethnicity,Black,3,23,21,35,12,9
4282,r005,Total -> Race or ethnicity -> Hispanic<sup>a</sup>,Total,Race or ethnicity,Hispanic<sup>a</sup>,3,34,25,25,11,6
4282,r006,Total -> Race or ethnicity -> Asian,Total,Race or ethnicity,Asian,3,24,30,30,8,9
4282,r007,Total -> Race or ethnicity -> Other or Two or more races,Total,Race or ethnicity,Other or Two or more races,3,24,18,33,14,11
4282,r008,Total -> Education attainment,Total,Education attainment,,2,,,,,
4282,r009,Total -> Education attainment -> Less than high school,Total,Education attainment,Less than high school,3,28,26,32,9,5
4282,r010,Total -> Education attainment -> High school,Total,Education attainment,High school,3,30,22,32,9,7
4282,r011,Total -> Education attainment -> Some college or associate's degree,Total,Education attainment,Some college or associate's degree,3,29,22,29,12,8
4282,r012,Total -> Education attainment -> Bachelor's or higher degree,Total,Education attainment,Bachelor's or higher degree,3,25,25,32,10,7
4282,r013,Total -> Household income ,Total,Household income ,,2,,,,,
4282,r014,"Total -> Household income  -> Below $25,000",Total,Household income ,"Below $25,000",3,29,21,32,10,8
4282,r015,"Total -> Household income  -> $25,000&#8722;$34,999",Total,Household income ,"$25,000&#8722;$34,999",3,29,23,29,11,8
4282,r016,"Total -> Household income  -> $35,000&#8722;$49,999",Total,Household income ,"$35,000&#8722;$49,999",3,35,19,30,9,7
4282,r017,"Total -> Household income  -> $50,000&#8722;$74,999",Total,Household income ,"$50,000&#8722;$74,999",3,26,23,32,10,8
4282,r018,"Total -> Household income  -> $75,000&#8722;$99,999",Total,Household income ,"$75,000&#8722;$99,999",3,26,23,33,12,6
4282,r019,"Total -> Household income  -> $100,000&#8722;$149,999",Total,Household income ,"$100,000&#8722;$149,999",3,25,27,30,12,6
4282,r020,"Total -> Household income  -> $150,000&#8722;$199,999",Total,Household income ,"$150,000&#8722;$199,999",3,25,26,33,9,6
4282,r021,"Total -> Household income  -> $200,000 and above",Total,Household income ,"$200,000 and above",3,24,27,33,10,7
