table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_did_not_use,field_tested_but_notused_inproduction_orservice,field_low_use,field_moderate_use,field_high_use,field_don_t_know
5707,r001,All companies,All companies,,,1,"['    4,805,151 ', '&nbsp;']","['    75.9 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    5.3 ', '&nbsp;']","['    6.9 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    6.0 ', '&nbsp;']"
5707,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5707,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,667,724 ', '&nbsp;']","['    80.9 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    4.3 ', '&nbsp;']","['    5.1 ', '&nbsp;']","['    3.9 ', '&nbsp;']","['    5.5 ', '&nbsp;']"
5707,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    936,576 ', '&nbsp;']","['    72.6 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    5.8 ', '&nbsp;']","['    8.1 ', '&nbsp;']","['    6.9 ', '&nbsp;']","['    6.3 ', '&nbsp;']"
5707,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5707,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    579,513 ', '&nbsp;']","['    69.7 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    6.3 ', '&nbsp;']","['    9.4 ', '&nbsp;']","['    7.8 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5707,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    402,199 ', '&nbsp;']","['    67.5 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    7.2 ', '&nbsp;']","['    9.9 ', '&nbsp;']","['    8.1 ', '&nbsp;']","['    6.9 ', '&nbsp;']"
5707,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5707,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    119,497 ', '&nbsp;']","['    64.0 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    8.1 ', '&nbsp;']","['    10.8 ', '&nbsp;']","['    8.5 ', '&nbsp;']","['    8.0 ', '&nbsp;']"
5707,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    65,565 ', '&nbsp;']","['    59.5 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    8.3 ', '&nbsp;']","['    13.3 ', '&nbsp;']","['    9.9 ', '&nbsp;']","['    8.3 ', '&nbsp;']"
