table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2463,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,255400683,279267900,NA,427193729,535196259,566896209,541892652,525458601,483187498,482539820,509239249,540645678,532149801,560855931
2463,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,3636117,4968557,NA,8118750,11332512,12632066,12966760,6682218,7543639,8931316,13217714,11383605,8523193,8126730
2463,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,5647941,4945800,NA,2956434,2766100,4548900,206004,395154,3871691,2812832,1709208,2419834,2275990,4540940
2463,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,5659756,5436201,NA,6302846,7013167,8138077,12004585,14307201,8490200,8321298,5300664,3437562,4329332,2973198
2463,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,2066318,1224152,NA,3578975,2473992,4465149,8031452,8588120,5015200,6238800,7575244,6581901,6295667,5674217
2463,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,27867854,13491703,NA,21031780,23698863,21016057,22646488,20235896,19504949,20343864,22209845,29772940,33014863,28877496
2463,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,4044780,4684285,NA,4612094,6363519,5930771,5170087,6017553,4133204,3668094,3112212,4193326,4897272,7347294
2463,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,6735926,6906959,NA,6507528,11067425,11158166,11904666,13751916,12150832,13036055,13926972,13638682,13800338,15827200
2463,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,277211,844200,NA,566184,796963,847732,1687502,1684136,691432,862471,1210192,1548842,1742603,1572165
2463,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,938460,1621000,NA,487411,657612,1168232,1712507,1467091,1277405,1035397,848770,1249571,2359043,2025098
