table_id,row_id,sex_and_financial_resource_full_path,sex_and_financial_resource_level_1,sex_and_financial_resource_level_2,sex_and_financial_resource_level_3,sex_and_financial_resource_level_4,sex_and_financial_resource_hierarchy_depth,field_all_fields_number_,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
2834,r001,Male doctorate recipients,Male doctorate recipients,,,,1,,,,,,,,,,
2834,r002,Male doctorate recipients -> Unduplicated total<sup>c</sup>,Male doctorate recipients,Unduplicated total<sup>c</sup>,,,2,26843,100.0,19.7,14.8,10.5,11.9,26.1,4.7,8.0,4.4
2834,r003,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,3,17101,100.0,21.1,13.9,9.3,13.5,23.9,3.2,10.5,4.5
2834,r004,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Dissertation grant,Male doctorate recipients,Unduplicated total<sup>c</sup>,Dissertation grant,,3,3914,100.0,16.9,9.2,4.3,24.9,12.9,4.2,22.0,5.6
2834,r005,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,,3,,,,,,,,,,
2834,r006,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Teaching,4,18857,100.0,14.8,18.2,12.5,13.4,24.3,2.7,9.8,4.3
2834,r007,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Research,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Research,4,18969,100.0,18.5,18.6,10.9,10.1,31.2,2.5,4.3,3.8
2834,r008,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Other,Male doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Other,4,1989,100.0,12.7,9.3,7.8,20.1,19.5,8.9,16.6,5.0
2834,r009,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Traineeship,Male doctorate recipients,Unduplicated total<sup>c</sup>,Traineeship,,3,963,100.0,62.5,6.9,2.9,9.8,14.5,0.7,1.7,1.0
2834,r010,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Internship or clinical residency,Male doctorate recipients,Unduplicated total<sup>c</sup>,Internship or clinical residency,,3,2736,100.0,7.6,8.1,25.6,14.1,38.3,2.3,2.3,1.6
2834,r011,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Loan (any source),Male doctorate recipients,Unduplicated total<sup>c</sup>,Loan (any source),,3,5711,100.0,18.4,8.9,5.7,21.3,13.3,11.0,14.5,7.0
2834,r012,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,,3,,,,,,,,,,
2834,r013,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Savings,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Savings,4,13174,100.0,18.7,11.5,9.1,15.3,22.7,6.5,10.2,6.0
2834,r014,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Personal sources -> Other earnings during graduate school,Male doctorate recipients,Unduplicated total<sup>c</sup>,Personal sources,Other earnings during graduate school,4,7155,100.0,17.1,8.8,8.1,18.6,15.7,10.0,16.3,5.4
2834,r015,"Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Spouse's, partner's, or family's earnings or savings",Male doctorate recipients,Unduplicated total<sup>c</sup>,"Spouse's, partner's, or family's earnings or savings",,3,9801,100.0,18.6,11.5,9.1,15.3,23.0,5.5,11.5,5.5
2834,r016,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Employer reimbursement or assistance,Male doctorate recipients,Unduplicated total<sup>c</sup>,Employer reimbursement or assistance,,3,2870,100.0,18.2,10.5,10.5,11.3,22.6,13.3,7.2,6.4
2834,r017,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Foreign (non-U.S.) support,Male doctorate recipients,Unduplicated total<sup>c</sup>,Foreign (non-U.S.) support,,3,2283,100.0,16.6,10.2,11.3,12.5,33.9,3.3,7.1,5.1
2834,r018,Male doctorate recipients -> Unduplicated total<sup>c</sup> -> Other ,Male doctorate recipients,Unduplicated total<sup>c</sup>,Other ,,3,293,100.0,21.8,5.8,7.2,21.8,11.9,10.2,13.7,7.5
2834,r019,Female doctorate recipients,Female doctorate recipients,,,,1,,,,,,,,,,
2834,r020,Female doctorate recipients -> Unduplicated total<sup>c</sup>,Female doctorate recipients,Unduplicated total<sup>c</sup>,,,2,22632,100.0,28.1,8.9,4.3,20.6,9.7,12.5,9.9,6.0
2834,r021,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Fellowship or scholarship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Fellowship or scholarship,,3,15382,100.0,29.1,9.0,4.0,21.1,9.5,9.0,12.5,5.8
2834,r022,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Dissertation grant,Female doctorate recipients,Unduplicated total<sup>c</sup>,Dissertation grant,,3,5011,100.0,22.2,4.7,1.9,31.2,4.4,9.0,20.3,6.4
2834,r023,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,,3,,,,,,,,,,
2834,r024,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Teaching,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Teaching,4,15013,100.0,22.5,11.6,5.6,23.5,9.8,7.5,13.4,6.1
2834,r025,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Research,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Research,4,13973,100.0,28.7,12.6,4.7,20.7,13.3,7.6,6.4,6.0
2834,r026,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Assistantship -> Other,Female doctorate recipients,Unduplicated total<sup>c</sup>,Assistantship,Other,4,2433,100.0,15.6,5.5,1.9,32.2,4.8,19.6,14.0,6.3
2834,r027,Female doctorate recipients -> Unduplicated total<sup>c</sup> -> Traineeship,Female doctorate recipients,Unduplicated total<sup>c</sup>,Traineeship,,3,1167,100.0,63.1,5.1,0.8,16.5,8.1,3.2,1.8,1.5
