table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_hierarchy_depth,field_all_federal_obligations,field_r_da_total,field_r_da_research,field_r_da_advanced_technology_development,field_r_da_major_systems_development,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4317,r001,All agencies,All agencies,,,1,38084768.1,35125460.1,na,na,na,593658.8,6103.3,1802625.2,96092.7,460827.9
4317,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,2,1243381.7,915630.8,na,na,na,0.0,0.0,97518.8,7534.1,222698.0
4317,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,,2,424013.6,348756.3,na,na,na,0.0,0.0,16680.8,0.0,58576.5
4317,r004,All agencies -> Department of Defense,All agencies,Department of Defense,,2,4679372.0,4679372.0,2662678.2,959543.3,1057150.4,0.0,0.0,0.0,0.0,0.0
4317,r005,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,3,924050.1,924050.1,803847.0,81790.0,38413.2,0.0,0.0,0.0,0.0,0.0
4317,r006,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,3,1426622.0,1426622.0,781680.5,586816.1,58125.4,0.0,0.0,0.0,0.0,0.0
4317,r007,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,3,1714585.1,1714585.1,735712.9,27778.5,951093.7,0.0,0.0,0.0,0.0,0.0
4317,r008,All agencies -> Department of Defense -> Other Department of Defense,All agencies,Department of Defense,Other Department of Defense,3,614114.8,614114.8,341437.9,263158.7,9518.2,0.0,0.0,0.0,0.0,0.0
4317,r009,All agencies -> Department of Education,All agencies,Department of Education,,2,176914.7,157751.8,na,na,na,0.0,0.0,8022.6,0.0,11140.3
4317,r010,All agencies -> Department of Energy,All agencies,Department of Energy,,2,1369567.0,1262777.4,na,na,na,75000.0,0.0,31789.6,0.0,0.0
4317,r011,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,2,22637592.7,21387307.5,na,na,na,70486.2,103.3,1083152.7,88558.6,7984.5
4317,r012,All agencies -> Department of Health and Human Services -> Administration for Community Living,All agencies,Department of Health and Human Services,Administration for Community Living,3,60517.8,51117.1,na,na,na,1018.5,0.0,7831.2,551.0,0.0
4317,r013,All agencies -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Department of Health and Human Services,Agency for Healthcare Research and Quality,3,97777.9,97777.9,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r014,All agencies -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,3,58012.8,58012.8,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r015,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,3,131528.6,129138.2,na,na,na,0.0,0.0,2390.4,0.0,0.0
4317,r016,All agencies -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Department of Health and Human Services,Centers for Medicare and Medicaid Services,3,12080.5,12080.5,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r017,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,3,72945.1,72945.1,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r018,All agencies -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Department of Health and Human Services,Health Resources and Services Administration,3,480136.1,23338.3,na,na,na,0.0,103.3,448998.9,1400.0,6295.6
4317,r019,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,3,21722705.3,20942609.0,na,na,na,69467.7,0.0,622332.2,86607.5,1688.9
4317,r020,All agencies -> Department of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Department of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,3,1888.6,288.6,na,na,na,0.0,0.0,1600.0,0.0,0.0
4317,r021,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,,2,20385.5,20385.5,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r022,All agencies -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Department of Homeland Security,Countering Weapons of Mass Destruction Office,3,5266.7,5266.7,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r023,All agencies -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Department of Homeland Security,Science and Technology Directorate,3,15118.8,15118.8,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r024,All agencies -> Department of Housing and Urban Development,All agencies,Department of Housing and Urban Development,,2,1625.0,1625.0,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r025,All agencies -> Department of the Interior,All agencies,Department of the Interior,,2,63631.0,63631.0,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r026,All agencies -> Department of Justice,All agencies,Department of Justice,,2,7700.0,0.0,na,na,na,0.0,0.0,7700.0,0.0,0.0
4317,r027,All agencies -> Department of Transportation,All agencies,Department of Transportation,,2,248517.0,160931.9,na,na,na,293.9,6000.0,8006.0,0.0,73285.2
4317,r028,Other agencies,Other agencies,,,1,,,,,,,,,,
4317,r029,Other agencies -> Agency for International Development,Other agencies,Agency for International Development,,2,57182.1,57182.1,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r030,Other agencies -> Appalachian Regional Commission,Other agencies,Appalachian Regional Commission,,2,593.6,593.6,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r031,Other agencies -> Environmental Protection Agency,Other agencies,Environmental Protection Agency,,2,9416.9,7816.9,na,na,na,0.0,0.0,1600.0,0.0,0.0
4317,r032,Other agencies -> National Aeronautics and Space Administration,Other agencies,National Aeronautics and Space Administration,,2,1077685.0,1077685.0,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r033,Other agencies -> National Science Foundation,Other agencies,National Science Foundation,,2,6057633.1,4975120.0,na,na,na,447878.7,0.0,547490.9,0.0,87143.5
4317,r034,Other agencies -> Nuclear Regulatory Commission,Other agencies,Nuclear Regulatory Commission,,2,590.0,590.0,na,na,na,0.0,0.0,0.0,0.0,0.0
4317,r035,Other agencies -> Social Security Administration,Other agencies,Social Security Administration,,2,8967.0,8303.2,na,na,na,0.0,0.0,663.8,0.0,0.0
