table_id,row_id,field_of_application,number
6988,r001,Other applications nec,118753
6988,r002,Life science biological,22941
6988,r003,Industrial technology,20551
6988,r004,Materials research,17644
6988,r005,Oceanography,14425
6988,r006,Mathematics,13676
6988,r007,Other sciences nec,13157
6988,r008,Geological sciences,12460
6988,r009,Human subjects,12237
6988,r010,Chemistry,11623
