table_id,row_id,_b_source_of_funds_and_r_d_field_b_full_path,_b_source_of_funds_and_r_d_field_b_level_1,_b_source_of_funds_and_r_d_field_b_level_2,_b_source_of_funds_and_r_d_field_b_level_3,_b_source_of_funds_and_r_d_field_b_hierarchy_depth,field_all_institutions,field_survey_population_short_form,field_survey_population_standard_form
3119,r001,All R&D expenditures,All R&D expenditures,,,1,83653206,156858,83496348
3119,r002,All R&D expenditures -> Federal government,All R&D expenditures,Federal government,,2,44533642,78377,44455265
3119,r003,All R&D expenditures -> State and local government,All R&D expenditures,State and local government,,2,4505190,9738,4495452
3119,r004,All R&D expenditures -> Institution funds,All R&D expenditures,Institution funds,,2,21153749,44046,21109703
3119,r005,All R&D expenditures -> Institution funds -> Institutionally financed research,All R&D expenditures,Institution funds,Institutionally financed research,3,14048840,37938,14010902
3119,r006,All R&D expenditures -> Institution funds -> Cost sharing,All R&D expenditures,Institution funds,Cost sharing,3,1574939,1894,1573045
3119,r007,All R&D expenditures -> Institution funds -> Unrecovered indirect costs,All R&D expenditures,Institution funds,Unrecovered indirect costs,3,5529970,4214,5525756
3119,r008,All R&D expenditures -> Business,All R&D expenditures,Business,,2,5058117,4541,5053576
3119,r009,All R&D expenditures -> Nonprofit organizations,All R&D expenditures,Nonprofit organizations,,2,5698359,14422,5683937
3119,r010,All R&D expenditures -> All other sources,All R&D expenditures,All other sources,,2,2704149,5734,2698415
3119,r011,All R&D expenditures -> Science,All R&D expenditures,Science,,2,65532102,113185,65418917
3119,r012,All R&D expenditures -> Science -> Computer and information sciences,All R&D expenditures,Science,Computer and information sciences,3,2644058,4724,2639334
3119,r013,"All R&D expenditures -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D expenditures,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,3195150,10061,3185089
3119,r014,All R&D expenditures -> Science -> Life sciences,All R&D expenditures,Science,Life sciences,3,48283046,52908,48230138
3119,r015,All R&D expenditures -> Science -> Mathematics and statistics,All R&D expenditures,Science,Mathematics and statistics,3,774843,5121,769722
3119,r016,All R&D expenditures -> Science -> Physical sciences,All R&D expenditures,Science,Physical sciences,3,5571029,19748,5551281
3119,r017,All R&D expenditures -> Science -> Psychology,All R&D expenditures,Science,Psychology,3,1327996,5203,1322793
3119,r018,All R&D expenditures -> Science -> Social sciences,All R&D expenditures,Science,Social sciences,3,2815897,10420,2805477
3119,r019,All R&D expenditures -> Science -> Sciences nec,All R&D expenditures,Science,Sciences nec,3,920083,5000,915083
3119,r020,All R&D expenditures -> Engineering,All R&D expenditures,Engineering,,2,13224351,9992,13214359
3119,r021,All R&D expenditures -> Non-S&E,All R&D expenditures,Non-S&E,,2,4896753,33681,4863072
