table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_r_d_expenditures_passed_through_to_subrecipients_total,field_r_d_expenditures_passed_through_to_subrecipients_to_higher_education_subrecipients,field_r_d_expenditures_passed_through_to_subrecipients_to_businesses,field_r_d_expenditures_passed_through_to_subrecipients_to_nonprofit_organizations,field_r_d_expenditures_passed_through_to_subrecipients_to_other_subrecipients
5456,r001,"Total R&D, all institutions","Total R&D, all institutions",,,1,86296178,7053612,3866145,1338352,1241079,608036
5456,r002,"Total R&D, all institutions -> Doctorate","Total R&D, all institutions",Doctorate,,2,85607541,7025460,3848301,1335145,1236171,605843
5456,r003,"Total R&D, all institutions -> Nondoctorate","Total R&D, all institutions",Nondoctorate,,2,688637,28152,17844,3207,4908,2193
5456,r004,"Total R&D, all institutions -> Public","Total R&D, all institutions",Public,,2,56663756,4388534,2463132,930952,629894,364556
5456,r005,"Total R&D, all institutions -> Private","Total R&D, all institutions",Private,,2,29632422,2665078,1403013,407400,611185,243480
5456,r006,"Total R&D, all institutions -> Federally financed R&D, all institutions","Total R&D, all institutions","Federally financed R&D, all institutions",,2,46143829,5962370,3404432,1071398,1044447,442093
5456,r007,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Doctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Doctorate,3,45787836,5939192,3388814,1069201,1040468,440709
5456,r008,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Nondoctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Nondoctorate,3,355993,23178,15618,2197,3979,1384
5456,r009,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Public","Total R&D, all institutions","Federally financed R&D, all institutions",Public,3,28492277,3758924,2148015,813917,517120,279872
5456,r010,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Private","Total R&D, all institutions","Federally financed R&D, all institutions",Private,3,17651552,2203446,1256417,257481,527327,162221
