table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3155,r001,All institutions,All institutions,,1,-,"['2,079,421', '']","['2,192,801', '']","['2,399,150', '']","['2,639,334', '']","['1,442,869', '']","['1,497,480', '']","['1,630,112', '']","['1,794,548', '']"
3155,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['142,021', 'i']","['154,963', 'i']","['161,884', 'i']","['199,773', 'i']","['135,644', '']","['147,666', '']","['153,327', '']","['189,011', '']"
3155,r003,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,2,"['123,569', '']","['136,928', '']","['141,298', '']","['171,110', '']","['89,247', '']","['91,953', '']","['87,606', '']","['105,289', '']"
3155,r004,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,3,"['114,787', '']","['115,716', '']","['141,966', '']","['164,657', '']","['95,024', '']","['100,392', '']","['122,905', '']","['145,305', '']"
3155,r005,All institutions -> U. Southern California,All institutions,U. Southern California,2,4,"['87,870', '']","['108,804', '']","['119,500', '']","['124,944', '']","['77,573', '']","['98,323', '']","['110,462', '']","['118,059', '']"
3155,r006,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,5,"['94,722', '']","['102,612', '']","['96,170', '']","['106,430', '']","['67,186', '']","['70,877', '']","['63,414', '']","['71,231', '']"
3155,r007,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,6,"['74,755', '']","['78,623', '']","['85,483', '']","['96,682', '']","['43,795', '']","['38,367', '']","['35,678', '']","['43,216', '']"
3155,r008,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,7,"['47,112', '']","['36,680', '']","['55,939', '']","['69,638', '']","['40,654', '']","['30,718', '']","['47,938', '']","['56,256', '']"
3155,r009,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,8,"['78,370', '']","['82,102', '']","['73,386', '']","['66,125', '']","['65,745', '']","['73,292', '']","['63,389', '']","['56,350', '']"
3155,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['na', '']","['na', '']","['na', '']","['47,841', '']","['na', '']","['na', '']","['na', '']","['32,963', '']"
