table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
9681,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['7 - 16', '  ']","['*', '  ']","['8', '  ']","['0 - 7', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
9681,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['61 - 166', '  ']","['2 - 34', '  ']","['0 - 56', '  ']","['0 - 71', '  ']","['2', '  ']","['*', '  ']","['3', 'r ']"
9681,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['18,870', '  ']","['16,526', '  ']","['2,065', '  ']","['225', '  ']","['53', '  ']","['0', '  ']","['*', '  ']"
9681,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['141 - 10,590', 'i ']","['9 - 10,334', 'i ']","['99 - 207', '  ']","['0 - 12', '  ']","['17 - 39', '  ']","['0', '  ']","['0', '  ']"
9681,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['3,892', '  ']","['2,177', '  ']","['1,527', '  ']","['187', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['561 - 4,489', '  ']","['184 - 4,093', '  ']","['333', '  ']","['28', '  ']","['15 - 36', '  ']","['0', '  ']","['*', '  ']"
9681,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['328', '  ']","['99', '  ']","['229', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['16 - 172', '  ']","['2', '  ']","['0 - 105', '  ']","['0 - 29', '  ']","['15 - 36', '  ']","['0', '  ']","['0', '  ']"
9681,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['83 - 4,125', '  ']","['83 - 3,991', '  ']","['0 - 105', '  ']","['0 - 29', '  ']","['0', '  ']","['0', '  ']","['*', '  ']"
9681,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['1,638 - 14,261', '  ']","['1,638 - 14,157', '  ']","['0 - 104', '  ']","['0 - 12', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['471', '  ']","['24', '  ']","['440', '  ']","['8', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,100 - 3,109', '  ']","['151', '  ']","['2,576', '  ']","['294', 'i ']","['81', 'i ']","['0 - 1', '  ']","['0 - 4', '  ']"
9681,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['2,854 - 2,927', '  ']","['143', '  ']","['2,479', '  ']","['234', 'i ']","['0 - 70', 'i ']","['0', '  ']","['0 - 4', 'i ']"
9681,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['119 - 254', '  ']","['8', '  ']","['40 - 98', '  ']","['58 - 61', '  ']","['10 - 82', 'i ']","['0 - 1', '  ']","['0 - 4', '  ']"
9681,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['117 - 252', '  ']","['8', '  ']","['40 - 98', '  ']","['56 - 61', '  ']","['8 - 82', 'i ']","['0 - 1', '  ']","['0 - 4', '  ']"
9681,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['2', '  ']","['0', '  ']","['0', '  ']","['0 - 2', '  ']","['0 - 2', '  ']","['0', '  ']","['0', '  ']"
9681,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['0 - 1', '  ']","['0', '  ']","['0', '  ']","['0 - 1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['0 - 56', '  ']","['0', '  ']","['0 - 56', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['18', '  ']","['18', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['895 - 1,042', '  ']","['795 - 936', '  ']","['92 - 104', '  ']","['7', '  ']","['0', '  ']","['0 - 1', '  ']","['0', '  ']"
9681,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['896', '  ']","['796', '  ']","['93', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['0 - 146', '  ']","['0 - 141', '  ']","['0 - 11', '  ']","['*', '  ']","['0', '  ']","['0 - 1', '  ']","['0', '  ']"
9681,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['18,195', 'i ']","['9,762', 'i ']","['7,405', 'i ']","['995', 'i ']","['19', '  ']","['1', '  ']","['13', 'i ']"
9681,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['151 - 1,296', 'i ']","['0 - 1,131', '  ']","['145 - 158', 'i ']","['6 - 20', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['0 - 8', '  ']","['0', '  ']","['0 - 8', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['44 - 1,644', 'i ']","['0 - 1,598', '  ']","['45', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'r ']"
