table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
12336,r001,All business activities,All business activities,,1,21100–81000,"['3,180,177', '&nbsp;']","['2,773,429', '&nbsp;']","['3,373,035', '&nbsp;']","['3,814,885', '&nbsp;']","['3,715,718', '&nbsp;']","['3,615,226', '&nbsp;']","['3,624,553', '&nbsp;']","['3,116,806', '  ']","['3,095,167', '  ']","['3,294,934', '  ']","['3,812,880', '&nbsp;']","['3,647,303', '&nbsp;']","['3,557,296', '  ']","['4,319,886', '  ']","['4,681,024', '  ']"
12336,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['143,705', '&nbsp;']","['92,357', '&nbsp;']","['126,671', '&nbsp;']","['152,394', '&nbsp;']","['147,415', '&nbsp;']","['130,389', '&nbsp;']","['116,693', '&nbsp;']","['70,302', '  ']","['59,489', '  ']","['57,150', '  ']","['86,746', '&nbsp;']","['58,356', '&nbsp;']","['39,035', '  ']","['70,696', '  ']","['111,278', '  ']"
12336,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '&nbsp;']","['D', '&nbsp;']","['5,230', '&nbsp;']","['19,552', '&nbsp;']","['19,020', '&nbsp;']","['16,261', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['10,528', '  ']","['5,473', '  ']","['19,044', '&nbsp;']","['2,191', '&nbsp;']","['1,391', '  ']","['48,060', 'i ']","['462', '  ']"
12336,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '&nbsp;']","['22,162', '&nbsp;']","['26,223', '&nbsp;']","['25,878', '&nbsp;']","['28,461', '&nbsp;']","['27,621', '&nbsp;']","['32,686', '&nbsp;']","['26,711', 'i ']","['18,880', '  ']","['24,865', 'i ']","['29,837', '&nbsp;']","['36,898', '&nbsp;']","['24,913', 'i ']","['15,275', '  ']","['86,945', 'i ']"
12336,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '&nbsp;']","['D', '&nbsp;']","['9,155', '&nbsp;']","['10,892', '&nbsp;']","['9,320', '&nbsp;']","['8,068', '&nbsp;']","['8,229', '&nbsp;']","['10,468', '  ']","['4,473', '  ']","['6,948', '  ']","['4,779', '&nbsp;']","['4,874', '&nbsp;']","['1,573', '  ']","['3,705', '  ']","['4,311', '  ']"
12336,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '&nbsp;']","['15,107', '&nbsp;']","['11,664', '&nbsp;']","['18,660', '&nbsp;']","['43,283', '&nbsp;']","['33,541', '&nbsp;']","['24,672', '&nbsp;']","['14,571', '  ']","['6,703', '  ']","['4,932', '  ']","['7,639', '&nbsp;']","['8,303', '&nbsp;']","['10,410', '  ']","['4,322', '  ']","['4,569', '  ']"
12336,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['81,184', '&nbsp;']","['127,453', '&nbsp;']","['193,432', '&nbsp;']","['196,015', '&nbsp;']","['184,889', '&nbsp;']","['247,871', '&nbsp;']","['235,909', '&nbsp;']","['202,761', '  ']","['184,474', '  ']","['172,554', '  ']","['190,856', '&nbsp;']","['214,757', '&nbsp;']","['229,247', '  ']","['242,709', '  ']","['267,834', '  ']"
12336,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['59,317', '&nbsp;']","['50,655', '&nbsp;']","['56,495', '&nbsp;']","['84,916', '&nbsp;']","['83,229', '&nbsp;']","['57,690', '&nbsp;']","['57,147', '&nbsp;']","['D', '  ']","['44,029', '  ']","['49,885', '  ']","['46,313', '&nbsp;']","['41,260', '&nbsp;']","['46,736', '  ']","['58,836', '  ']","['75,293', '  ']"
12336,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['290', '&nbsp;']","['102,541', '&nbsp;']","['102,636', '&nbsp;']","['111,353', '&nbsp;']","['103,052', '&nbsp;']","['33,327', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['30,782', '  ']","['36,346', '  ']","['31,938', '&nbsp;']","['32,447', '&nbsp;']","['31,001', '  ']","['37,174', '  ']","['34,216', '  ']"
12336,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['NA', '&nbsp;']","['10,239', '&nbsp;']","['11,625', '&nbsp;']","['13,883', '&nbsp;']","['20,542', '&nbsp;']","['15,193', '&nbsp;']","['15,014', '&nbsp;']","['13,065', '  ']","['20,278', '  ']","['22,083', '  ']","['25,521', '&nbsp;']","['24,173', '&nbsp;']","['23,862', '  ']","['21,091', '  ']","['19,926', '  ']"
12336,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['6,381', '&nbsp;']","['1,613', '&nbsp;']","['3,101', 'i']","['1,821', '&nbsp;']","['4,144', '&nbsp;']","['5,769', '&nbsp;']","['7,172', '&nbsp;']","['4,715', '  ']","['0 - 163,991', '  ']","['4,290', '  ']","['6,131', '&nbsp;']","['6,111', '&nbsp;']","['3,130', '  ']","['5,297', '  ']","['5,105', '  ']"
12336,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['39,895', '&nbsp;']","['30,504', '&nbsp;']","['36,481', '&nbsp;']","['40,196', '&nbsp;']","['41,303', '&nbsp;']","['40,349', '&nbsp;']","['42,619', '&nbsp;']","['D', '  ']","['33,888', '  ']","['36,393', '  ']","['39,708', '&nbsp;']","['0 - 585,012', '&nbsp;']","['33,357', '  ']","['32,569', '  ']","['33,400', '  ']"
