table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total
2766,r001,Total,Total,,,1,45300
2766,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,19908
2766,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,15282
2766,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4626
2766,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,2225
2766,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1520
2766,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,705
2766,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,23056
2766,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,5563
2766,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17493
2766,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,111
