table_id,row_id,_b_region_country_or_economy_b_full_path,_b_region_country_or_economy_b_level_1,_b_region_country_or_economy_b_level_2,_b_region_country_or_economy_b_level_3,_b_region_country_or_economy_b_hierarchy_depth,field_total,field_dhs,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
6421,r001,All areas and organizations,All areas and organizations,,,1,1393321.4,8469.1,965298.2,329.5,288877.1,29360.6,19076.6,5067.2,76843.1
6421,r002,All areas and organizations -> Africa,All areas and organizations,Africa,,2,101484.8,0.0,5279.4,0.0,96145.5,0.0,0.0,60.0,0.0
6421,r003,All areas and organizations -> Africa -> Botswana,All areas and organizations,Africa,Botswana,3,1693.4,0.0,10.0,0.0,1683.4,0.0,0.0,0.0,0.0
6421,r004,All areas and organizations -> Africa -> Burkina Faso,All areas and organizations,Africa,Burkina Faso,3,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
6421,r005,All areas and organizations -> Africa -> Cameroon,All areas and organizations,Africa,Cameroon,3,135.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
6421,r006,"All areas and organizations -> Africa -> Congo, Democratic Republic of the",All areas and organizations,Africa,"Congo, Democratic Republic of the",3,735.0,0.0,0.0,0.0,735.0,0.0,0.0,0.0,0.0
6421,r007,All areas and organizations -> Africa -> Ethiopia,All areas and organizations,Africa,Ethiopia,3,633.4,0.0,0.0,0.0,633.4,0.0,0.0,0.0,0.0
6421,r008,"All areas and organizations -> Africa -> Gambia, The",All areas and organizations,Africa,"Gambia, The",3,107.3,0.0,0.0,0.0,107.3,0.0,0.0,0.0,0.0
6421,r009,All areas and organizations -> Africa -> Ghana,All areas and organizations,Africa,Ghana,3,5065.4,0.0,0.0,0.0,5065.4,0.0,0.0,0.0,0.0
6421,r010,All areas and organizations -> Africa -> Kenya,All areas and organizations,Africa,Kenya,3,8280.1,0.0,4898.1,0.0,3332.0,0.0,0.0,50.0,0.0
6421,r011,All areas and organizations -> Africa -> Madagascar,All areas and organizations,Africa,Madagascar,3,135.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
6421,r012,All areas and organizations -> Africa -> Malawi,All areas and organizations,Africa,Malawi,3,925.6,0.0,0.0,0.0,925.6,0.0,0.0,0.0,0.0
6421,r013,All areas and organizations -> Africa -> Mali,All areas and organizations,Africa,Mali,3,1934.1,0.0,0.0,0.0,1934.1,0.0,0.0,0.0,0.0
6421,r014,All areas and organizations -> Africa -> Mozambique,All areas and organizations,Africa,Mozambique,3,1736.2,0.0,0.0,0.0,1736.2,0.0,0.0,0.0,0.0
6421,r015,All areas and organizations -> Africa -> Nigeria,All areas and organizations,Africa,Nigeria,3,6671.9,0.0,0.0,0.0,6671.9,0.0,0.0,0.0,0.0
6421,r016,All areas and organizations -> Africa -> Rwanda,All areas and organizations,Africa,Rwanda,3,471.5,0.0,0.0,0.0,471.5,0.0,0.0,0.0,0.0
6421,r017,All areas and organizations -> Africa -> Senegal,All areas and organizations,Africa,Senegal,3,950.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0
6421,r018,All areas and organizations -> Africa -> South Africa,All areas and organizations,Africa,South Africa,3,56842.9,0.0,371.3,0.0,56461.6,0.0,0.0,10.0,0.0
6421,r019,All areas and organizations -> Africa -> Tanzania,All areas and organizations,Africa,Tanzania,3,1108.2,0.0,0.0,0.0,1108.2,0.0,0.0,0.0,0.0
6421,r020,All areas and organizations -> Africa -> Uganda,All areas and organizations,Africa,Uganda,3,11728.9,0.0,0.0,0.0,11728.9,0.0,0.0,0.0,0.0
6421,r021,All areas and organizations -> Africa -> Zambia,All areas and organizations,Africa,Zambia,3,1507.4,0.0,0.0,0.0,1507.4,0.0,0.0,0.0,0.0
6421,r022,All areas and organizations -> Africa -> Zimbabwe,All areas and organizations,Africa,Zimbabwe,3,723.8,0.0,0.0,0.0,723.8,0.0,0.0,0.0,0.0
6421,r023,All areas and organizations -> Asia,All areas and organizations,Asia,,2,654984.6,0.0,628601.6,0.0,25163.8,10.9,69.0,745.2,394.0
6421,r024,All areas and organizations -> Asia -> Bangladesh,All areas and organizations,Asia,Bangladesh,3,3487.1,0.0,58.4,0.0,3428.7,0.0,0.0,0.0,0.0
6421,r025,All areas and organizations -> Asia -> Brunei,All areas and organizations,Asia,Brunei,3,141.5,0.0,141.5,0.0,0.0,0.0,0.0,0.0,0.0
6421,r026,All areas and organizations -> Asia -> Cambodia,All areas and organizations,Asia,Cambodia,3,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
6421,r027,All areas and organizations -> Asia -> China,All areas and organizations,Asia,China,3,1830.0,0.0,0.0,0.0,1710.8,0.0,0.0,119.1,0.0
6421,r028,All areas and organizations -> Asia -> Georgia,All areas and organizations,Asia,Georgia,3,1170.2,0.0,565.2,0.0,605.1,0.0,0.0,0.0,0.0
6421,r029,All areas and organizations -> Asia -> Hong Kong,All areas and organizations,Asia,Hong Kong,3,2904.7,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,4.7
6421,r030,All areas and organizations -> Asia -> India,All areas and organizations,Asia,India,3,4541.1,0.0,615.4,0.0,3925.7,0.0,0.0,0.0,0.0
6421,r031,All areas and organizations -> Asia -> Indonesia,All areas and organizations,Asia,Indonesia,3,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
6421,r032,All areas and organizations -> Asia -> Israel,All areas and organizations,Asia,Israel,3,608658.5,0.0,606667.5,0.0,1432.8,8.4,69.0,480.8,0.0
6421,r033,All areas and organizations -> Asia -> Japan,All areas and organizations,Asia,Japan,3,3607.8,0.0,3321.3,0.0,286.5,0.0,0.0,0.0,0.0
6421,r034,"All areas and organizations -> Asia -> Korea, South",All areas and organizations,Asia,"Korea, South",3,6141.6,0.0,6119.8,0.0,0.0,0.0,0.0,21.8,0.0
