table_id,row_id,question_full_path,question_level_1,question_level_2,question_hierarchy_depth,field_survey_item,field_aggregate_amount
1371,r001,Company and financial information (US$millions),Company and financial information (US$millions),,1,,"['', '']"
1371,r002,Company and financial information (US$millions) -> 1.8,Company and financial information (US$millions),1.8,2,Worldwide net sales and operating revenues,"['12,285,760', '&nbsp;']"
1371,r003,Company and financial information (US$millions) -> 1.9,Company and financial information (US$millions),1.9,2,Net sales and operating revenues from domestic operations,"['9,191,871', '&nbsp;']"
1371,r004,Company and financial information (US$millions) ->  - ,Company and financial information (US$millions), - ,2,R&D paid for by the company and performed by the company and others,"['&nbsp;', '&nbsp;']"
1371,r005,Company and financial information (US$millions) -> 2.1,Company and financial information (US$millions),2.1,2,"Worldwide R&D paid for by the company (expense), total","['463,568', '&nbsp;']"
1371,r006,Company and financial information (US$millions) -> 2.3,Company and financial information (US$millions),2.3,2,Worldwide R&D paid for by the company (expense) adjustments,"['28,165', '&nbsp;']"
1371,r007,Company and financial information (US$millions) -> 2.4,Company and financial information (US$millions),2.4,2,Worldwide R&D paid for by the company and performed by the company and others,"['435,403', '&nbsp;']"
1371,r008,Company and financial information (US$millions) -> 2.8a,Company and financial information (US$millions),2.8a,2,Domestic R&D paid for by the company and performed by the company and others,"['355,230', '&nbsp;']"
1371,r009,Company and financial information (US$millions) -> 2.8b,Company and financial information (US$millions),2.8b,2,Foreign R&D paid for by the company and performed by the company and others,"['80,173', '&nbsp;']"
1371,r010,Company and financial information (US$millions) -> 2.6,Company and financial information (US$millions),2.6,2,Indirect R&D charges to be recouped from the U.S. federal government (IR&D or independent R&D),"['5,795', '&nbsp;']"
1371,r011,Company and financial information (US$millions) -> 2.11m(1),Company and financial information (US$millions),2.11m(1),2,Domestic R&D paid for by the company and performed by the company and others,"['355,230', '&nbsp;']"
1371,r012,Company and financial information (US$millions) -> 2.11a(1),Company and financial information (US$millions),2.11a(1),2,"Salaries, wages, and fringe benefits","['180,885', '&nbsp;']"
1371,r013,Company and financial information (US$millions) -> 2.11b(1),Company and financial information (US$millions),2.11b(1),2,Stock-based compensation,"['21,068', '&nbsp;']"
1371,r014,Company and financial information (US$millions) -> 2.11c(1),Company and financial information (US$millions),2.11c(1),2,"Leased or temporary staffing, including on-site contractors","['14,836', '&nbsp;']"
1371,r015,Company and financial information (US$millions) -> 2.11d(1),Company and financial information (US$millions),2.11d(1),2,Expensed equipment,"['5,160', '&nbsp;']"
1371,r016,Company and financial information (US$millions) -> 2.11e(1),Company and financial information (US$millions),2.11e(1),2,Materials and supplies,"['21,595', '&nbsp;']"
1371,r017,Company and financial information (US$millions) -> 2.11f(1),Company and financial information (US$millions),2.11f(1),2,Leased facilities and equipment rental payments,"['5,107', '&nbsp;']"
1371,r018,Company and financial information (US$millions) -> 2.11g(1),Company and financial information (US$millions),2.11g(1),2,Depreciation and amortization of R&D property and equipment,"['12,520', '&nbsp;']"
1371,r019,Company and financial information (US$millions) -> 2.11h(1),Company and financial information (US$millions),2.11h(1),2,Royalties and licensing fees,"['1,872', '&nbsp;']"
1371,r020,Company and financial information (US$millions) -> 2.11i(1),Company and financial information (US$millions),2.11i(1),2,Payments to business partners for collaborative R&D,"['8,278', '&nbsp;']"
1371,r021,Company and financial information (US$millions) -> 2.11j(1),Company and financial information (US$millions),2.11j(1),2,Purchased R&D services,"['29,221', '&nbsp;']"
1371,r022,Company and financial information (US$millions) -> 2.11k(1),Company and financial information (US$millions),2.11k(1),2,All other purchased services except R&D,"['7,285', '&nbsp;']"
1371,r023,Company and financial information (US$millions) -> 2.11l(1),Company and financial information (US$millions),2.11l(1),2,All other costs,"['47,402', '&nbsp;']"
1371,r024,Company and financial information (US$millions) -> 2.12(3),Company and financial information (US$millions),2.12(3),2,Worldwide R&D paid for by the company and performed by others,"['47,346', '&nbsp;']"
1371,r025,Company and financial information (US$millions) -> 2.12(1),Company and financial information (US$millions),2.12(1),2,Domestic R&D paid for by the company and performed by others,"['37,499', '&nbsp;']"
1371,r026,Company and financial information (US$millions) -> 2.12(2),Company and financial information (US$millions),2.12(2),2,Foreign R&D paid for by the company and performed by others,"['9,847', '&nbsp;']"
1371,r027,Company and financial information (US$millions) -> 2.13(3),Company and financial information (US$millions),2.13(3),2,Worldwide R&D paid for and performed by the company,"['388,057', '&nbsp;']"
1371,r028,Company and financial information (US$millions) -> 2.13(1),Company and financial information (US$millions),2.13(1),2,Domestic R&D paid for and performed by the company,"['317,731', '&nbsp;']"
1371,r029,Company and financial information (US$millions) -> 2.13(2),Company and financial information (US$millions),2.13(2),2,Foreign R&D paid for and performed by the company,"['70,326', '&nbsp;']"
1371,r030,Company and financial information (US$millions) -> 2.13(3) + 3.9(3),Company and financial information (US$millions),2.13(3) + 3.9(3),2,Worldwide R&D paid for by the company and others and performed by the company,"['451,831', '&nbsp;']"
1371,r031,Company and financial information (US$millions) -> 2.12(1) + 2.13(1) + 3.8(1) + 3.9(1),Company and financial information (US$millions),2.12(1) + 2.13(1) + 3.8(1) + 3.9(1),2,Domestic R&D paid for by the company and others and performed by the company and others,"['421,539', '&nbsp;']"
1371,r032,Company and financial information (US$millions) -> 2.13(1) + 3.9 (1),Company and financial information (US$millions),2.13(1) + 3.9 (1),2,Domestic R&D paid for by the company and others and performed by the company,"['374,685', '&nbsp;']"
1371,r033,Company and financial information (US$millions) ->  - ,Company and financial information (US$millions), - ,2,Domestic R&D paid for and performed by the company,"['&nbsp;', '&nbsp;']"
1371,r034,Company and financial information (US$millions) -> 2.19,Company and financial information (US$millions),2.19,2,Performed at largest domestic location,"['180,657', '&nbsp;']"
1371,r035,Company and financial information (US$millions) -> 2.21,Company and financial information (US$millions),2.21,2,Performed at second-largest domestic location,"['30,967', '&nbsp;']"
1371,r036,Company and financial information (US$millions) -> 2.23,Company and financial information (US$millions),2.23,2,Domestic R&D paid for by foreign operations or subsidiaries and performed by the company,"['11,120', '&nbsp;']"
1371,r037,Company and financial information (US$millions) -> 2.24,Company and financial information (US$millions),2.24,2,Foreign R&D paid for by domestic operations or subsidiaries and performed by the company,"['13,030', '&nbsp;']"
1371,r038,Company and financial information (US$millions) -> 2.26i,Company and financial information (US$millions),2.26i,2,Domestic R&D paid for by the company and performed by others,"['37,499', '&nbsp;']"
1371,r039,Company and financial information (US$millions) -> 2.26a,Company and financial information (US$millions),2.26a,2,Companies in the United States,"['31,239', '&nbsp;']"
1371,r040,Company and financial information (US$millions) -> 2.26b,Company and financial information (US$millions),2.26b,2,Your company's foreign parent or owner,"['843', '&nbsp;']"
1371,r041,Company and financial information (US$millions) -> 2.26c,Company and financial information (US$millions),2.26c,2,Companies outside the United States,"['3,322', 'i']"
1371,r042,Company and financial information (US$millions) -> 2.26d,Company and financial information (US$millions),2.26d,2,U.S. federal government agencies or laboratories,"['116', 'i']"
1371,r043,Company and financial information (US$millions) -> 2.26e,Company and financial information (US$millions),2.26e,2,U.S. state and local government agencies or laboratories,"['5', '&nbsp;']"
1371,r044,Company and financial information (US$millions) -> 2.26f,Company and financial information (US$millions),2.26f,2,"U.S. universities, colleges, and academic researchers","['275', '&nbsp;']"
1371,r045,Company and financial information (US$millions) -> 2.26g,Company and financial information (US$millions),2.26g,2,All other organizations in the United States,"['346', '&nbsp;']"
1371,r046,Company and financial information (US$millions) -> 2.26h,Company and financial information (US$millions),2.26h,2,All other organizations outside the United States,"['163', '&nbsp;']"
1371,r047,Company and financial information (US$millions) -> 2.26,Company and financial information (US$millions),2.26,2,Undistributed (BRDI-1(S)),"['1,190', 'i']"
1371,r048,Company and financial information (US$millions) -> 2.28,Company and financial information (US$millions),2.28,2,Monetary gifts made by the company to U.S. universities and colleges,"['72', '&nbsp;']"
1371,r049,Company and financial information (US$millions) ->  - ,Company and financial information (US$millions), - ,2,Projected worldwide R&D expense paid for and performed by the company in 2017,"['&nbsp;', '&nbsp;']"
1371,r050,Company and financial information (US$millions) -> 2.29(3),Company and financial information (US$millions),2.29(3),2,Worldwide R&D to be paid for and performed by the company,"['455,995', '&nbsp;']"
1371,r051,Company and financial information (US$millions) -> 2.29(1),Company and financial information (US$millions),2.29(1),2,Domestic R&D to be paid for and performed by the company,"['372,897', '&nbsp;']"
1371,r052,Company and financial information (US$millions) -> 2.29(2),Company and financial information (US$millions),2.29(2),2,Foreign R&D to be paid for and performed by the company,"['83,098', '&nbsp;']"
1371,r053,Company and financial information (US$millions) -> 2.30,Company and financial information (US$millions),2.30,2,Projected R&D services and projected payments for collaborative R&D,"['34,846', '&nbsp;']"
1371,r054,Company and financial information (US$millions) -> 2.31,Company and financial information (US$millions),2.31,2,Total domestic capital expenditures,"['560,900', '&nbsp;']"
1371,r055,Company and financial information (US$millions) -> 2.32,Company and financial information (US$millions),2.32,2,Domestic capital expenditures for R&D,"['25,248', '&nbsp;']"
