table_id,row_id,_b_source_of_foreign_funding_b_full_path,_b_source_of_foreign_funding_b_level_1,_b_source_of_foreign_funding_b_level_2,_b_source_of_foreign_funding_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
10180,r001,All foreign funds,All foreign funds,,1,1479275,42938,2.9
10180,r002,All foreign funds -> Foreign government,All foreign funds,Foreign government,2,309062,3477,1.1
10180,r003,All foreign funds -> Business,All foreign funds,Business,2,708214,31530,4.5
10180,r004,All foreign funds -> Nonprofit organizations,All foreign funds,Nonprofit organizations,2,333327,11804,3.5
10180,r005,All foreign funds -> Higher education institutions,All foreign funds,Higher education institutions,2,101329,3651,3.6
10180,r006,All foreign funds -> All other sources,All foreign funds,All other sources,2,27343,2798,10.2
