table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
3936,r001,All agencies surveyed,All agencies surveyed,,,,1,1665537.0,49996.4,3995.0,59208.3,7564.8,129031.4,68223.2,293421.9,1054095.8
3936,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,,,,,,
3936,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,3,16800.1,0.0,0.0,55.0,0.0,0.0,0.0,0.0,16745.1
3936,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,4,572.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.9
3936,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,4,125.2,0.0,0.0,55.0,0.0,0.0,0.0,0.0,70.2
3936,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,4,16102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16102.0
3936,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,333293.0,49996.4,3995.0,10010.6,3514.5,35293.2,18502.8,74256.7,137723.7
3936,r008,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,4,26091.3,0.0,0.0,775.6,0.0,5935.5,0.0,0.0,19380.3
3936,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,118393.0,30362.4,3178.1,5444.0,64.7,7031.4,2101.2,33929.6,36281.5
3936,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,4,12413.3,0.0,0.0,0.0,0.0,4055.5,3914.5,4443.2,0.0
3936,r011,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,141543.9,15963.2,0.0,700.0,0.0,8446.9,4961.2,30535.8,80936.9
3936,r012,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,34851.5,3670.8,817.0,3091.1,3449.8,9823.9,7525.9,5348.0,1125.0
3936,r013,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,3,33700.5,0.0,0.0,0.0,0.0,1737.4,0.0,31963.1,0.0
3936,r014,All agencies surveyed -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies surveyed,Departments,Department of Energy,Electricity Delivery and Energy Reliability,4,1737.4,0.0,0.0,0.0,0.0,1737.4,0.0,0.0,0.0
3936,r015,All agencies surveyed -> Departments -> Department of Energy -> Office of Science,All agencies surveyed,Departments,Department of Energy,Office of Science,4,31963.1,0.0,0.0,0.0,0.0,0.0,0.0,31963.1,0.0
3936,r016,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,518427.3,0.0,0.0,0.0,0.0,0.0,0.0,6702.7,511724.7
3936,r017,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,518427.3,0.0,0.0,0.0,0.0,0.0,0.0,6702.7,511724.7
3936,r018,All agencies surveyed -> Departments -> Department of Homeland Security,All agencies surveyed,Departments,Department of Homeland Security,,3,12976.3,0.0,0.0,271.0,0.0,0.0,0.0,0.0,12705.3
3936,r019,All agencies surveyed -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies surveyed,Departments,Department of Homeland Security,Science and Technology Directorate,4,12976.3,0.0,0.0,271.0,0.0,0.0,0.0,0.0,12705.3
3936,r020,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,,,,,,
3936,r021,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,750339.8,0.0,0.0,48871.8,4050.3,92000.8,49720.4,180499.5,375197.0
