table_id,row_id,_b_occupation_group_and_educational_attainment_b_full_path,_b_occupation_group_and_educational_attainment_b_level_1,_b_occupation_group_and_educational_attainment_b_level_2,_b_occupation_group_and_educational_attainment_b_level_3,_b_occupation_group_and_educational_attainment_b_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
11000,r001,"STEM occupations, all education levels","STEM occupations, all education levels",,,1,7.6,6.1,5.6,4.7,4.0,3.8,3.2,3.1,2.7,3.0,4.1
11000,r002,"STEM occupations, all education levels -> Bachelor's degree or higher","STEM occupations, all education levels",Bachelor's degree or higher,,2,3.3,3.1,2.8,2.7,2.1,2.2,1.8,1.7,1.5,1.9,2.4
11000,r003,"STEM occupations, all education levels -> Without a bachelor's degree (STW)","STEM occupations, all education levels",Without a bachelor's degree (STW),,2,10.3,8.0,7.5,6.1,5.3,4.9,4.2,4.2,3.6,4.0,5.7
11000,r004,"STEM occupations, all education levels -> S&E occupations, all education levels","STEM occupations, all education levels","S&E occupations, all education levels",,2,3.7,4.2,2.8,2.7,2.3,2.4,2.2,1.6,1.4,2.2,2.1
11000,r005,"STEM occupations, all education levels -> S&E occupations, all education levels -> Bachelor's degree or higher","STEM occupations, all education levels","S&E occupations, all education levels",Bachelor's degree or higher,3,3.0,3.4,2.4,2.7,2.3,2.0,2.1,1.5,1.2,1.7,1.9
11000,r006,"STEM occupations, all education levels -> S&E occupations, all education levels -> Without a bachelor's degree (STW)","STEM occupations, all education levels","S&E occupations, all education levels",Without a bachelor's degree (STW),3,6.0,6.8,4.2,2.9,s,3.7,s,s,s,4.4,s
11000,r007,"STEM occupations, all education levels -> S&E-related occupations, all education levels","STEM occupations, all education levels","S&E-related occupations, all education levels",,2,3.2,2.9,3.1,2.5,1.6,2.3,1.2,1.6,1.5,2.2,2.2
11000,r008,"STEM occupations, all education levels -> S&E-related occupations, all education levels -> Bachelor's degree or higher","STEM occupations, all education levels","S&E-related occupations, all education levels",Bachelor's degree or higher,3,2.1,2.3,2.0,2.1,1.3,1.9,1.0,1.2,1.4,1.7,2.0
11000,r009,"STEM occupations, all education levels -> S&E-related occupations, all education levels -> Without a bachelor's degree (STW)","STEM occupations, all education levels","S&E-related occupations, all education levels",Without a bachelor's degree (STW),3,4.8,3.9,4.8,3.3,2.1,2.9,1.6,2.3,1.7,3.0,2.6
11000,r010,"STEM occupations, all education levels -> STEM middle-skill occupations, all education levels","STEM occupations, all education levels","STEM middle-skill occupations, all education levels",,2,11.9,8.9,8.4,7.1,6.3,5.5,5.0,4.9,4.2,4.1,6.9
11000,r011,"STEM occupations, all education levels -> STEM middle-skill occupations, all education levels -> Bachelor's degree or higher","STEM occupations, all education levels","STEM middle-skill occupations, all education levels",Bachelor's degree or higher,3,7.8,5.2,6.4,4.9,4.1,4.0,3.9,3.9,3.0,3.2,5.9
11000,r012,"STEM occupations, all education levels -> STEM middle-skill occupations, all education levels -> Without a bachelor's degree (STW)","STEM occupations, all education levels","STEM middle-skill occupations, all education levels",Without a bachelor's degree (STW),3,12.4,9.4,8.7,7.4,6.6,5.7,5.2,5.1,4.4,4.3,7.0
11000,r013,"Non-STEM occupations, all education levels","Non-STEM occupations, all education levels",,,1,8.7,8.1,7.3,6.6,5.4,4.9,4.4,4.0,3.9,4.6,6.6
11000,r014,"Non-STEM occupations, all education levels -> Bachelor's degree or higher","Non-STEM occupations, all education levels",Bachelor's degree or higher,,2,4.7,4.4,4.1,3.6,2.5,2.7,2.6,2.4,2.3,2.7,4.3
11000,r015,"Non-STEM occupations, all education levels -> Without a bachelor's degree","Non-STEM occupations, all education levels",Without a bachelor's degree,,2,10.5,9.9,8.9,8.1,6.8,6.0,5.3,4.9,4.8,5.8,8.0
