table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2020_actuala,field_2021_preliminarya,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5531,r001,R&D and R&D plant,R&D and R&D plant,,,1,169901,165560,179418,-2.6,8.4
5531,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,81874,79584,78704,-2.8,-1.1
5531,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,44431,43471,51138,-2.2,17.6
5531,r004,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,14206,12594,13842,-11.3,9.9
5531,r005,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,13659,13800,15445,1.0,11.9
5531,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,4539,4537,6533,-0.0,44.0
5531,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,2879,2899,3830,0.7,32.1
5531,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,2674,2655,3245,-0.7,22.2
5531,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1712,1704,1989,-0.4,16.7
5531,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,1366,1420,1498,4.0,5.5
5531,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,1008,1127,1300,11.8,15.4
5531,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,581,767,819,32.0,6.8
5531,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,522,567,606,8.5,6.9
5531,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,226,226,226,0.0,0.0
5531,r015,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,106,90,90,-15.1,0.0
5531,r016,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,97,99,133,2.1,34.3
5531,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,20,20,20,0.0,0.0
5531,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,163875,161412,174787,-1.5,8.3
5531,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,79389,78609,77762,-1.0,-1.1
5531,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,43936,43199,50816,-1.7,17.6
5531,r021,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,14158,12542,13794,-11.4,10.0
5531,r022,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,11620,11683,13344,0.5,14.2
5531,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,4391,4433,6257,0.9,41.1
5531,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,2653,2654,3339,0.0,25.8
