table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
9931,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,2643991142,691149390,1952841752
9931,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,88219991,10458091,77761900
9931,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,17157228,8260099,8897129
9931,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,7946421,3330756,4615665
9931,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,9759708,1840818,7918890
9931,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,490081806,20301828,469779978
9931,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,38058349,5096962,32961387
9931,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,60578799,14622416,45956383
9931,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,3446375,1533976,1912399
9931,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,10560754,8368175,2192579
9931,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,180145644,27469288,152676356
9931,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,24988379,16555047,8433332
9931,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,6337851,3397342,2940509
9931,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,20444262,11009398,9434864
9931,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,16463839,7466369,8997470
9931,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,12104856,7098396,5006460
9931,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,10636720,5359474,5277246
9931,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,17633236,9188967,8444269
9931,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,34881537,10566579,24314958
9931,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,31843839,17690354,14153485
9931,r021,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,2,24812470,13633417,11179053
9931,r022,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,2,31280581,1732396,29548185
9931,r023,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,2,26616423,7056757,19559666
9931,r024,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,2,30525914,6869738,23656176
9931,r025,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,2,25093959,8566979,16526980
9931,r026,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,2,9788541,7914852,1873689
9931,r027,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,2,12430684,4836862,7593822
9931,r028,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,2,9752216,5647319,4104897
9931,r029,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,2,32687157,3981578,28705579
9931,r030,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,2,3643395,2068342,1575053
9931,r031,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,2,9222505,756259,8466246
9931,r032,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,2,65020915,6943253,58077662
9931,r033,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,2,3456227,2479360,976867
9931,r034,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,2,506283025,246154735,260128290
9931,r035,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,2,38818576,9627170,29191406
9931,r036,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,2,17874336,1904626,15969710
9931,r037,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,2,70471571,8153111,62318460
9931,r038,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,2,27646238,7056971,20589267
9931,r039,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,2,33801166,13854858,19946308
9931,r040,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,2,88557830,10203586,78354244
9931,r041,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,2,8361413,5740186,2621227
9931,r042,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,2,50056315,29762759,20293556
9931,r043,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,2,4595753,1338277,3257476
9931,r044,United States<sup>b</sup> -> Tennessee,United States<sup>b</sup>,Tennessee,2,38959330,16915160,22044170
9931,r045,United States<sup>b</sup> -> Texas,United States<sup>b</sup>,Texas,2,247609284,27162975,220446309
9931,r046,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,2,8837531,1669847,7167684
9931,r047,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,2,1460157,1295178,164979
9931,r048,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,2,40253504,16230355,24023149
9931,r049,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,2,60886219,15068376,45817843
9931,r050,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,2,9180282,4275461,4904821
9931,r051,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,2,19060693,9117475,9943218
9931,r052,United States<sup>b</sup> -> Wyoming,United States<sup>b</sup>,Wyoming,2,5657338,3516837,2140501
9931,r053,Puerto Rico<sup>c</sup>,Puerto Rico<sup>c</sup>,,1,17058786,6129178,10929608
