table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1989,r001,World,World,,,,1,36790,42482,47880,51384,57363,67966,80251,78796,86793,95358,97452,96947,103314,103876,103865,111395,119935
1989,r002,World -> North America,World,North America,,,2,11161,11880,13119,15202,17334,19609,22896,20574,19311,19877,18769,19705,20676,22394,19734,20329,20982
1989,r003,World -> North America -> Canada,World,North America,Canada,,3,1064,1217,1195,1417,1607,1786,1778,1523,1414,1883,1828,1761,1765,1634,1337,1397,1415
1989,r004,World -> North America -> Mexico,World,North America,Mexico,,3,556,512,647,728,718,686,841,579,585,885,1215,1206,1406,1785,1491,1560,1622
1989,r005,World -> North America -> United States,World,North America,United States,,3,9541,10151,11276,13057,15009,17137,20277,18473,17311,17109,15725,16738,17505,18975,16906,17371,17941
1989,r006,World -> Central and South America,World,Central and South America,,,2,766,872,1298,1821,2635,3579,4150,3258,4632,4710,3756,3713,3773,2597,2604,2549,2394
1989,r007,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,13,15,20,25,27,32,35,33,33,35,31,31,23,21,23,31,21
1989,r008,World -> Central and South America -> Bolivia,World,Central and South America,Bolivia,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
1989,r009,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,568,664,1062,1542,2263,3126,3666,2770,4043,3977,2912,2778,2835,1835,1879,1800,1631
1989,r010,World -> Central and South America -> Chile,World,Central and South America,Chile,,3,1,1,1,1,1,1,1,2,2,2,2,2,7,7,7,7,8
1989,r011,World -> Central and South America -> Colombia,World,Central and South America,Colombia,,3,140,145,176,220,307,373,390,391,494,639,730,827,836,656,636,646,670
1989,r012,World -> Central and South America -> Costa Rica,World,Central and South America,Costa Rica,,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
1989,r013,World -> Central and South America -> Ecuador,World,Central and South America,Ecuador,,3,30,32,23,13,13,19,19,26,27,18,36,30,30,27,27,27,27
1989,r014,World -> Central and South America -> Honduras,World,Central and South America,Honduras,,3,5,5,5,6,6,7,8,8,8,10,11,10,11,11,12,12,13
