table_id,row_id,funders_business_activity_sup_a_sup_full_path,funders_business_activity_sup_a_sup_level_1,funders_business_activity_sup_a_sup_level_2,funders_business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
1411,r001,All business activities,All business activities,,1,21100–81000,"['31,932', '&nbsp;']"
1411,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['9', '&nbsp;']"
1411,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['*', '&nbsp;']"
1411,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['395', '&nbsp;']"
1411,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['3', '&nbsp;']"
1411,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['*', 'i']"
1411,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['189', '&nbsp;']"
1411,r008,All business activities -> Beverages manufacturing,All business activities,Beverages manufacturing,2,31210,"['113', 'i']"
1411,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['1', '&nbsp;']"
1411,r010,"All business activities -> Textiles, apparel, and leather products manufacturing",All business activities,"Textiles, apparel, and leather products manufacturing",2,31990,"['*', 'i']"
1411,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['7', 'i']"
1411,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['0', '&nbsp;']"
1411,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['*', 'i']"
1411,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['12', '&nbsp;']"
1411,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['*', '&nbsp;']"
1411,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['11', '&nbsp;']"
1411,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['95', '&nbsp;']"
1411,r018,"All business activities -> Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['8', '&nbsp;']"
1411,r019,"All business activities -> Pesticides, fertilizers, and other agricultural chemicals manufacturing",All business activities,"Pesticides, fertilizers, and other agricultural chemicals manufacturing",2,32530,"['D', '&nbsp;']"
1411,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['12,196', '&nbsp;']"
1411,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['D', '&nbsp;']"
1411,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing,2,32543,"['3,924', '&nbsp;']"
1411,r023,"All business activities -> Soaps, cleaning compounds, and toilet preparations manufacturing",All business activities,"Soaps, cleaning compounds, and toilet preparations manufacturing",2,32591,"['192', '&nbsp;']"
1411,r024,"All business activities -> Paints, adhesives, and other chemical manufacturing",All business activities,"Paints, adhesives, and other chemical manufacturing",2,32592,"['23', '&nbsp;']"
1411,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['67', 'i']"
1411,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['2', '&nbsp;']"
1411,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['13', '&nbsp;']"
1411,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['0', '&nbsp;']"
1411,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['22', '&nbsp;']"
1411,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['13', '&nbsp;']"
1411,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['7', '&nbsp;']"
1411,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['48', 'i']"
1411,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['D', '&nbsp;']"
1411,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['53', '&nbsp;']"
1411,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['3', '&nbsp;']"
1411,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['279', 'i']"
1411,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['0', '&nbsp;']"
1411,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['165', '&nbsp;']"
1411,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['102', 'i']"
1411,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['42', '&nbsp;']"
1411,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['8', '&nbsp;']"
1411,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['823', 'i']"
1411,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['172', '&nbsp;']"
1411,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['3', '&nbsp;']"
