table_id,row_id,sex_ethnicity_race_and_disability_status_full_path,sex_ethnicity_race_and_disability_status_level_1,sex_ethnicity_race_and_disability_status_level_2,sex_ethnicity_race_and_disability_status_level_3,sex_ethnicity_race_and_disability_status_hierarchy_depth,field_all_part_time,field_preference_for_full_time_status_did_not_want_full_time,field_preference_for_full_time_status_wanted_full_time,field_reason_for_part_time_status_did_not_need_or_want_to_work_full_time,field_reason_for_part_time_status_family_responsibilities,field_reason_for_part_time_status_full_time_job_not_available,field_reason_for_part_time_status_hold_another_job,field_reason_for_part_time_status_retireda,field_reason_for_part_time_status_student,field_reason_for_part_time_status_other
3412,r001,All groups,All groups,,,1,4666000,3640000,1026000,2364000,1739000,1067000,575000,1027000,573000,529000
3412,r002,All groups -> Female,All groups,Female,,2,3047000,2455000,592000,1579000,1400000,718000,392000,470000,391000,298000
3412,r003,All groups -> Male,All groups,Male,,2,1618000,1185000,434000,785000,339000,349000,183000,557000,182000,232000
3412,r004,All groups -> Hispanic or Latino<sup>b</sup>,All groups,Hispanic or Latino<sup>b</sup>,,2,470000,272000,198000,132000,204000,165000,57000,58000,96000,86000
3412,r005,All groups -> Not Hispanic or Latino,All groups,Not Hispanic or Latino,,2,,,,,,,,,,
3412,r006,All groups -> Not Hispanic or Latino -> American Indian or Alaska Native,All groups,Not Hispanic or Latino,American Indian or Alaska Native,3,14000,S,,S,S,S,S,1000,S,
3412,r007,All groups -> Not Hispanic or Latino -> Asian,All groups,Not Hispanic or Latino,Asian,3,574000,348000,225000,171000,207000,134000,51000,48000,133000,108000
3412,r008,All groups -> Not Hispanic or Latino -> Black or African American,All groups,Not Hispanic or Latino,Black or African American,3,280000,186000,93000,96000,77000,69000,43000,54000,56000,47000
3412,r009,All groups -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All groups,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,3,3000,2000,1000,S,S,S,,,S,S
3412,r010,All groups -> Not Hispanic or Latino -> White,All groups,Not Hispanic or Latino,White,3,3225000,2740000,485000,1904000,1217000,664000,389000,857000,264000,279000
3412,r011,All groups -> Not Hispanic or Latino -> More than one race,All groups,Not Hispanic or Latino,More than one race,3,100000,78000,21000,51000,21000,30000,33000,8000,21000,7000
3412,r012,All groups -> Without disability,All groups,Without disability,,2,4060000,3167000,893000,2083000,1556000,906000,504000,810000,529000,408000
3412,r013,All groups -> With disability,All groups,With disability,,2,606000,473000,133000,280000,183000,161000,71000,217000,44000,122000
