table_id,row_id,field_citizenship_ethnicity_and_race_full_path,field_citizenship_ethnicity_and_race_level_1,field_citizenship_ethnicity_and_race_level_2,field_citizenship_ethnicity_and_race_level_3,field_citizenship_ethnicity_and_race_level_4,field_citizenship_ethnicity_and_race_level_5,field_citizenship_ethnicity_and_race_level_6,field_citizenship_ethnicity_and_race_level_7,field_citizenship_ethnicity_and_race_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3245,r001,All fields,All fields,,,,,,,1,755598,793279,856381,949963,1026536,1015211,1012523,1024187,1017860,1014574,1020278
3245,r002,All fields -> U.S. citizen and permanent resident,All fields,U.S. citizen and permanent resident,,,,,,2,741153,778055,840221,933331,1009430,998339,995410,1006203,998456,993636,997194
3245,r003,All fields -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All fields,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,,3,89899,96387,110056,123212,148629,156071,166346,181156,196579,209579,225334
3245,r004,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,,3,651254,681668,730165,810119,860801,842268,829064,825047,801877,784057,771860
3245,r005,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,,4,8256,8235,9589,9451,9932,9930,9780,9517,9095,8935,8966
3245,r006,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian,,,,4,na,na,na,38472,41688,43041,44170,46155,48525,50916,54129
3245,r007,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,,4,36754,38619,41472,na,na,na,na,na,na,na,na
3245,r008,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,,4,89074,94440,105503,119153,131310,127770,127067,131171,128307,125139,121112
3245,r009,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,4,na,na,na,4749,4421,4422,4326,4103,3907,3893,3919
3245,r010,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,,4,467389,487473,513086,560422,586478,580945,568298,561723,542660,530746,517190
3245,r011,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,,4,na,na,na,10487,13726,18278,21431,24290,27732,28570,31837
3245,r012,All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,,,4,49781,52901,60515,67385,73246,57882,53992,48088,41651,35858,34707
3245,r013,All fields -> U.S. citizen and permanent resident -> Temporary resident,All fields,U.S. citizen and permanent resident,Temporary resident,,,,,3,14445,15224,16160,16632,17106,16872,17113,17984,19404,20938,23084
3245,r014,All fields -> All S&E,All fields,All S&E,,,,,,2,49166,54284,62211,76021,84785,85798,87976,90589,88832,92650,98513
3245,r015,All fields -> All S&E -> U.S. citizen and permanent resident,All fields,All S&E,U.S. citizen and permanent resident,,,,,3,48212,53128,60911,74500,83187,84211,86261,88653,86661,90050,95247
3245,r016,All fields -> All S&E -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All fields,All S&E,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,4,6376,7157,8412,9845,12375,14526,16963,19046,21328,23928,27118
3245,r017,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,4,41836,45971,52499,64655,70812,69685,69298,69607,65333,66122,68129
3245,r018,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,5,870,835,909,1051,1048,1096,1117,1077,961,942,982
3245,r019,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian,,,5,na,na,na,3952,4474,5235,5466,6206,6741,7452,8423
3245,r020,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,5,2877,3314,3706,na,na,na,na,na,na,na,na
3245,r021,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,5,6064,6597,7816,9541,10156,10564,10899,11101,9593,9598,9937
3245,r022,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,5,na,na,na,496,506,533,428,435,389,410,444
3245,r023,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,5,28652,31177,34712,41359,43665,44789,44307,44059,40883,41574,41770
3245,r024,All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,5,na,na,na,726,1110,1800,2154,2549,3087,3110,3433
3245,r025,All fields -> All S&E -> U.S. citizen and permanent resident -> Other or unknown race and ethnicity,All fields,All S&E,U.S. citizen and permanent resident,Other or unknown race and ethnicity,,,,4,3373,4048,5356,7530,9853,5668,4927,4180,3679,3036,3140
3245,r026,All fields -> All S&E -> Temporary resident,All fields,All S&E,Temporary resident,,,,,3,954,1156,1300,1521,1598,1587,1715,1936,2171,2600,3266
3245,r027,All fields -> All S&E -> Science,All fields,All S&E,Science,,,,,3,46763,51955,59546,73027,81248,81927,83567,85585,83418,86602,91987
3245,r028,All fields -> All S&E -> Science -> U.S. citizen and permanent resident,All fields,All S&E,Science,U.S. citizen and permanent resident,,,,4,45898,50948,58397,71690,79889,80514,82048,83877,81484,84357,89149
3245,r029,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All fields,All S&E,Science,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,5,6026,6831,8064,9436,11922,13947,16254,18231,20354,22760,25852
3245,r030,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,,,5,39872,44117,50333,62254,67967,66567,65794,65646,61130,61597,63297
3245,r031,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,6,841,815,888,1009,1019,1051,1079,1041,928,892,944
3245,r032,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian,,6,na,na,na,3753,4202,4944,5109,5801,6293,6890,7812
3245,r033,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,6,2737,3137,3490,na,na,na,na,na,na,na,na
3245,r034,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,6,5837,6428,7651,9358,9920,10320,10591,10779,9185,9203,9477
3245,r035,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,6,na,na,na,475,483,513,407,419,372,398,424
3245,r036,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,6,27199,29793,33091,39562,41597,42523,41800,41197,37969,38440,38507
3245,r037,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,6,na,na,na,701,1084,1742,2064,2448,2938,2962,3247
3245,r038,All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,6,3258,3944,5213,7396,9662,5474,4744,3961,3445,2812,2886
3245,r039,All fields -> All S&E -> Science -> Temporary resident,All fields,All S&E,Science,Temporary resident,,,,4,865,1007,1149,1337,1359,1413,1519,1708,1934,2245,2838
3245,r040,All fields -> All S&E -> Science -> Agricultural sciences,All fields,All S&E,Science,Agricultural sciences,,,,4,1762,1811,1952,2138,2526,2392,2484,2678,2673,2781,2969
3245,r041,All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,,,5,1746,1799,1939,2128,2514,2376,2462,2586,2645,2761,2943
3245,r042,All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,6,47,44,63,67,91,108,115,158,180,182,199
