table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_level_5,_b_field_b_hierarchy_depth,field_2018_all_units_with_students,field_2018_units_with_master_s_students,field_2018_units_with_doctoral_students,field_2019_all_units_with_students,field_2019_units_with_master_s_students,field_2019_units_with_doctoral_students,field_2020_all_units_with_students,field_2020_units_with_master_s_students,field_2020_units_with_doctoral_students
6014,r001,All surveyed fields<sup>a</sup>,All surveyed fields<sup>a</sup>,,,,,1,13000,10093,7083,13149,10281,7135,13659,10704,7205
6014,r002,All surveyed fields<sup>a</sup> -> Science,All surveyed fields<sup>a</sup>,Science,,,,2,9338,6984,5113,9451,7119,5148,9720,7364,5161
6014,r003,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,,,3,290,267,183,291,268,185,333,299,212
6014,r004,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,290,267,183,291,268,185,300,275,187
6014,r005,All surveyed fields<sup>a</sup> -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences<sup>b</sup>,All surveyed fields<sup>a</sup>,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences<sup>b</sup>,,4,na,na,na,na,na,na,33,24,25
6014,r006,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup>,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,,,3,2614,1545,1839,2638,1581,1848,2632,1591,1814
6014,r007,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biochemistry,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,Biochemistry,,4,188,84,159,190,93,158,180,87,150
6014,r008,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biology ,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,Biology ,,4,394,349,161,386,338,166,382,336,162
6014,r009,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biomedical sciences,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,Biomedical sciences,,4,159,105,95,175,112,106,174,119,100
6014,r010,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biophysics,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,Biophysics,,4,39,3,39,44,6,44,39,6,39
6014,r011,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biostatistics and bioinformatics ,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,Biostatistics and bioinformatics ,,4,176,126,118,185,135,119,194,139,120
6014,r012,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biotechnology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,Biotechnology,,4,67,61,8,76,71,8,85,80,7
6014,r013,All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Botany and plant biology,All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,Botany and plant biology,,4,68,55,60,67,55,57,68,55,58
6014,r014,"All surveyed fields<sup>a</sup> -> Science -> Biological and biomedical sciences<sup>c</sup> -> Cell, cellular biology, and anatomical sciences",All surveyed fields<sup>a</sup>,Science,Biological and biomedical sciences<sup>c</sup>,"Cell, cellular biology, and anatomical sciences",,4,190,74,161,187,79,154,186,76,154
