table_id,row_id,_b_personnel_functions_b_full_path,_b_personnel_functions_b_level_1,_b_personnel_functions_b_level_2,_b_personnel_functions_b_hierarchy_depth,field_all_r_d_personnel,field_imputed_amount,field_imputed_amount_as_of_total
12751,r001,All personnel,All personnel,,1,518383,119278,23.0
12751,r002,All personnel -> Researchers,All personnel,Researchers,2,200061,49934,25.0
12751,r003,All personnel -> R&D technicians,All personnel,R&D technicians,2,195114,44539,22.8
12751,r004,All personnel -> R&D support staff,All personnel,R&D support staff,2,123208,24593,20.0
