table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total
2774,r001,Total,Total,,,1,45690
2774,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,20115
2774,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,15448
2774,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4667
2774,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,2265
2774,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1558
2774,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,707
2774,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,23310
2774,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,5739
2774,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,17571
