table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_others_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_da,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
8787,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['56,954', '&nbsp;']","['1,154', '&nbsp;']","['0', '&nbsp;']","['55,800', '&nbsp;']","['-1,154', '&nbsp;']","['-2.0', '&nbsp;']"
8787,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['38,893', '&nbsp;']","['801', '&nbsp;']","['0', '&nbsp;']","['38,092', '&nbsp;']","['-801', '&nbsp;']","['-2.1', '&nbsp;']"
8787,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['217', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['210', '&nbsp;']","['-7', '&nbsp;']","['-3.1', '&nbsp;']"
8787,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['D', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['-10', '&nbsp;']","['D', '&nbsp;']"
8787,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['0.0', '&nbsp;']"
8787,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['7', 'i']","['*', 'i']","['0', '&nbsp;']","['7', 'i']","['*', 'i']","['-3.7', '&nbsp;']"
8787,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8787,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8787,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8787,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,410', '&nbsp;']","['365', '&nbsp;']","['0', '&nbsp;']","['9,045', 'i']","['-365', '&nbsp;']","['-3.9', '&nbsp;']"
8787,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['261', '&nbsp;']","['14', '&nbsp;']","['0', '&nbsp;']","['247', 'i']","['-14', 'i']","['-5.2', '&nbsp;']"
8787,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['18', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8787,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8787,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['8,644', '&nbsp;']","['319', '&nbsp;']","['0', '&nbsp;']","['8,325', 'i']","['-319', '&nbsp;']","['-3.7', '&nbsp;']"
8787,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['141', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8787,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8787,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['169', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['167', 'i']","['-2', 'i']","['-1.3', '&nbsp;']"
8787,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['14', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['14', '&nbsp;']","['*', '&nbsp;']","['-2.9', '&nbsp;']"
8787,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['10', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['10', 'i']","['0', '&nbsp;']","['0.0', '&nbsp;']"
8787,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['112', 'i']","['*', 'i']","['0', '&nbsp;']","['112', 'i']","['*', 'i']","['-0.3', '&nbsp;']"
8787,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['886', '&nbsp;']","['25', '&nbsp;']","['0', '&nbsp;']","['861', '&nbsp;']","['-25', '&nbsp;']","['-2.8', '&nbsp;']"
8787,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['12', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['11', '&nbsp;']","['-1', '&nbsp;']","['-8.0', '&nbsp;']"
8787,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['383', '&nbsp;']","['20', '&nbsp;']","['0', '&nbsp;']","['363', '&nbsp;']","['-20', '&nbsp;']","['-5.2', '&nbsp;']"
8787,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['58', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['58', 'i']","['*', '&nbsp;']","['-0.5', '&nbsp;']"
