table_id,row_id,_b_field_ethnicity_and_race_b_full_path,_b_field_ethnicity_and_race_b_level_1,_b_field_ethnicity_and_race_b_level_2,_b_field_ethnicity_and_race_b_level_3,_b_field_ethnicity_and_race_b_level_4,_b_field_ethnicity_and_race_b_hierarchy_depth,field_1976,field_1981,field_1986,field_1991,field_1996,field_2001,field_2006,field_2011,field_2016,field_2021
7531,r001,"All fields, U.S. citizens and permanent residents","All fields, U.S. citizens and permanent residents",,,,1,28829,26362,24541,27437,31548,28894,29028,31725,35678,31674
7531,r002,"All fields, U.S. citizens and permanent residents -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Hispanic or Latino,,,2,377,530,679,869,1115,1266,1532,1989,2548,2856
7531,r003,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,,,2,,,,,,,,,,
7531,r004,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,American Indian or Alaska Native,,3,40,85,99,132,186,142,113,127,128,100
7531,r005,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,Asian<sup>a</sup>,,3,964,1071,1058,1529,3674,2134,2391,2832,3084,3022
7531,r006,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,Black or African American,,3,1141,1109,950,1166,1446,1640,1789,1899,2358,2431
7531,r007,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,White,,3,24854,22478,21235,23184,24668,22179,21923,23278,25502,21333
7531,r008,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,More than one race,,3,na,na,na,na,na,301,464,722,1033,1088
7531,r009,"All fields, U.S. citizens and permanent residents -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,,3,158,10,150,127,192,355,287,248,272,376
7531,r010,"All fields, U.S. citizens and permanent residents -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Ethnicity not reported,,,2,1295,1079,370,430,267,877,529,630,753,468
7531,r011,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup>","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,,,2,4300,4787,4593,5096,6084,5956,6506,7892,8683,8214
7531,r012,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Hispanic or Latino,,3,34,64,97,130,184,220,306,471,652,744
7531,r013,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r014,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,3,13,24,19,32,21,16,25,26,24
7531,r015,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,Asian<sup>a</sup>,4,196,215,223,336,1068,666,696,853,914,913
7531,r016,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,Black or African American,4,79,92,85,123,174,211,299,428,510,531
7531,r017,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,White,4,3771,4196,4075,4401,4536,4588,4927,5753,6113,5552
7531,r018,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,55,97,180,263,271
7531,r019,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,28,1,18,26,42,69,61,67,54,79
7531,r020,"All fields, U.S. citizens and permanent residents -> Life sciences<sup>c</sup> -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Life sciences<sup>c</sup>,Ethnicity not reported,,3,189,206,71,61,48,126,104,115,151,100
7531,r021,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,,,2,2881,2547,2567,2890,3078,2447,2479,3048,3669,3340
7531,r022,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Hispanic or Latino,,3,18,36,45,80,87,74,100,159,186,261
7531,r023,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r024,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Not Hispanic or Latino,American Indian or Alaska Native,4,0,1,6,13,7,12,5,9,8,9
7531,r025,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Not Hispanic or Latino,Asian<sup>a</sup>,4,198,162,159,185,571,226,206,252,302,275
7531,r026,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Not Hispanic or Latino,Black or African American,4,24,26,27,35,61,59,55,86,97,87
7531,r027,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Not Hispanic or Latino,White,4,2463,2164,2245,2502,2292,1958,2022,2388,2879,2509
7531,r028,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,29,27,75,110,132
7531,r029,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,16,0,23,12,24,32,24,28,17,34
7531,r030,"All fields, U.S. citizens and permanent residents -> Physical sciences and earth sciences -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Physical sciences and earth sciences,Ethnicity not reported,,3,162,158,62,63,36,57,40,51,70,33
7531,r031,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,,,2,804,714,652,968,1162,957,1207,1603,1729,1671
7531,r032,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Hispanic or Latino","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Hispanic or Latino,,3,9,5,19,21,27,23,33,50,95,107
7531,r033,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Not Hispanic or Latino","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Not Hispanic or Latino,,3,,,,,,,,,,
7531,r034,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Not Hispanic or Latino -> American Indian or Alaska Native","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Not Hispanic or Latino,American Indian or Alaska Native,4,0,1,1,1,5,3,2,4,3,1
7531,r035,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Not Hispanic or Latino -> Asian<sup>a</sup>","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Not Hispanic or Latino,Asian<sup>a</sup>,4,48,56,65,123,251,113,201,234,216,254
7531,r036,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Not Hispanic or Latino -> Black or African American","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Not Hispanic or Latino,Black or African American,4,5,11,7,19,20,31,34,51,79,70
7531,r037,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Not Hispanic or Latino -> White","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Not Hispanic or Latino,White,4,696,611,537,773,834,742,882,1179,1207,1119
7531,r038,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Not Hispanic or Latino -> More than one race","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Not Hispanic or Latino,More than one race,4,na,na,na,na,na,9,21,35,65,64
7531,r039,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Not Hispanic or Latino -> Other race or race not reported<sup>b</sup>","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Not Hispanic or Latino,Other race or race not reported<sup>b</sup>,4,5,0,8,3,8,8,15,11,16,27
7531,r040,"All fields, U.S. citizens and permanent residents -> Mathematics and computer sciences -> Ethnicity not reported","All fields, U.S. citizens and permanent residents",Mathematics and computer sciences,Ethnicity not reported,,3,41,30,15,28,17,28,19,39,48,29
