table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10436,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,3155,3322,3626,5.3,9.2
10436,r002,R&D and R&D plant -> Conservation and land management (302),R&D and R&D plant,Conservation and land management (302),,,,,2,634,601,667,-5.2,11.0
10436,r003,R&D and R&D plant -> Conservation and land management (302) -> Department of the Interior,R&D and R&D plant,Conservation and land management (302),Department of the Interior,,,,3,178,192,212,7.9,10.4
10436,r004,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,,,,3,456,409,455,-10.3,11.2
10436,r005,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,Forest Service,,,4,456,409,455,-10.3,11.2
10436,r006,R&D and R&D plant -> Pollution control and abatement (304),R&D and R&D plant,Pollution control and abatement (304),,,,,2,535,576,622,7.7,8.0
10436,r007,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,,,,3,527,568,614,7.8,8.1
10436,r008,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,,4,1,1,1,0.0,0.0
10436,r009,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,,4,496,537,583,8.3,8.6
10436,r010,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,,4,30,30,30,0.0,0.0
10436,r011,R&D and R&D plant -> Pollution control and abatement (304) -> Department of Homeland Security,R&D and R&D plant,Pollution control and abatement (304),Department of Homeland Security,,,,3,8,8,8,0.0,0.0
10436,r012,R&D and R&D plant -> Pollution control and abatement (304) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,Pollution control and abatement (304),Department of Homeland Security,Coast Guard,,,4,8,8,8,0.0,0.0
10436,r013,R&D and R&D plant -> Recreational resources (303),R&D and R&D plant,Recreational resources (303),,,,,2,28,29,32,3.6,10.3
10436,r014,R&D and R&D plant -> Recreational resources (303) -> Department of the Interior,R&D and R&D plant,Recreational resources (303),Department of the Interior,,,,3,28,29,32,3.6,10.3
10436,r015,R&D and R&D plant -> Recreational resources (303) -> Department of the Interior -> National Park Service,R&D and R&D plant,Recreational resources (303),Department of the Interior,National Park Service,,,4,28,29,32,3.6,10.3
10436,r016,R&D and R&D plant -> Water resources (301),R&D and R&D plant,Water resources (301),,,,,2,33,36,20,9.1,-44.4
10436,r017,R&D and R&D plant -> Water resources (301) -> Department of Defense,R&D and R&D plant,Water resources (301),Department of Defense,,,,3,33,36,20,9.1,-44.4
10436,r018,R&D and R&D plant -> Water resources (301) -> Department of Defense -> Army Corps of Engineers,R&D and R&D plant,Water resources (301),Department of Defense,Army Corps of Engineers,,,4,33,36,20,9.1,-44.4
10436,r019,R&D and R&D plant -> Water resources (301) -> Department of Interior,R&D and R&D plant,Water resources (301),Department of Interior,,,,3,111,146,147,31.5,0.7
10436,r020,R&D and R&D plant -> Water resources (301) -> Department of Interior -> Bureau of Reclamation,R&D and R&D plant,Water resources (301),Department of Interior,Bureau of Reclamation,,,4,111,146,147,31.5,0.7
10436,r021,R&D and R&D plant -> Other natural resources (306),R&D and R&D plant,Other natural resources (306),,,,,2,1925,2080,2285,8.0,9.9
10436,r022,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce,R&D and R&D plant,Other natural resources (306),Department of Commerce,,,,3,1187,1277,1267,7.5,-0.7
10436,r023,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,1187,1277,1267,7.5,-0.7
10436,r024,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission Support / Spectrum,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Mission Support / Spectrum,,5,33,0,0,-100.0,-
10436,r025,"R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",,5,42,71,74,70.6,4.2
10436,r026,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,77,71,73,-7.5,2.0
