table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_others_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_da,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
9704,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['74,695', '  ']","['2,747', '  ']","['0', '&nbsp;']","['71,948', '  ']","['-2,747', '  ']","['-3.7', '  ']"
9704,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['38,394', '  ']","['1,435', '  ']","['0', '&nbsp;']","['36,959', '  ']","['-1,435', '  ']","['-3.7', '  ']"
9704,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['297 - 302', '  ']","['14 - 26', '  ']","['0', '&nbsp;']","['271 - 288', '  ']","['-26 - -14', '  ']","['D', '  ']"
9704,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['19', '  ']","['1', '  ']","['0', '&nbsp;']","['18', '  ']","['-1', '  ']","['-5.0', '  ']"
9704,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['11', '  ']","['0', '  ']","['0', '&nbsp;']","['11', '  ']","['0', '  ']","['0.0', '  ']"
9704,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2 - 10', '  ']","['*', '  ']","['0', '&nbsp;']","['2 - 10', '  ']","['0', '  ']","['D', '  ']"
9704,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['0', '  ']","['0', '  ']","['0', '&nbsp;']","['0', '  ']","['0', '  ']","['NA', '  ']"
9704,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0 - 7', '  ']","['0', '  ']","['0', '&nbsp;']","['0 - 7', '  ']","['0', '  ']","['0.0', '  ']"
9704,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['5', '  ']","['0', '  ']","['0', '&nbsp;']","['5', '  ']","['0', '  ']","['0.0', '  ']"
9704,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,393', '  ']","['670', '  ']","['0', '&nbsp;']","['11,723', '  ']","['-670', '  ']","['-5.4', '  ']"
9704,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['154', '  ']","['12', '  ']","['0', '&nbsp;']","['141', '  ']","['-12', '  ']","['-8.1', '  ']"
9704,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['69 - 98', 'i ']","['0 - 25', 'i ']","['0', '&nbsp;']","['44 - 98', 'i ']","['-25 - 0', 'i ']","['D', '  ']"
9704,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['211 - 241', 'i ']","['0 - 25', 'i ']","['0', '&nbsp;']","['186 - 241', 'i ']","['-25 - 0', 'i ']","['D', '  ']"
9704,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['11,697', '  ']","['620', '  ']","['0', '&nbsp;']","['11,076', '  ']","['-620', '  ']","['-5.3', '  ']"
9704,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['209', '  ']","['14', '  ']","['0', '&nbsp;']","['195', '  ']","['-14', '  ']","['-6.8', '  ']"
9704,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['19 - 28', '  ']","['0 - 25', '  ']","['0', '&nbsp;']","['0 - 28', '  ']","['-25 - 0', '  ']","['D', '  ']"
9704,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['183', '  ']","['6', '  ']","['0', '&nbsp;']","['177', '  ']","['-6', '  ']","['-3.5', '  ']"
9704,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['31', '  ']","['1', '  ']","['0', '&nbsp;']","['30', '  ']","['-1', '  ']","['-3.3', '  ']"
9704,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['22 - 26', 'i ']","['0 - 6', '  ']","['0', '&nbsp;']","['16 - 26', 'i ']","['-6 - 0', '  ']","['D', '  ']"
9704,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['412', '  ']","['13', '  ']","['0', '&nbsp;']","['399', '  ']","['-13', '  ']","['-3.3', '  ']"
9704,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,003', '  ']","['33', '  ']","['0', '&nbsp;']","['970', '  ']","['-33', '  ']","['-3.3', '  ']"
9704,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['60 - 68', '  ']","['0 - 17', '  ']","['0', '&nbsp;']","['43 - 68', '  ']","['-17 - 0', '  ']","['D', '  ']"
9704,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['167', '  ']","['17', '  ']","['0', '&nbsp;']","['151', '  ']","['-17', '  ']","['-10.0', '  ']"
9704,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['128 - 134', '  ']","['0 - 11', '  ']","['0', '&nbsp;']","['117 - 134', '  ']","['-11 - 0', '  ']","['D', '  ']"
9704,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['641', '  ']","['0 - 17', '  ']","['0', '&nbsp;']","['625 - 642', '  ']","['-17 - 0', '  ']","['D', '  ']"
9704,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['6,852', '  ']","['311', '  ']","['0', '&nbsp;']","['6,541', '  ']","['-311', '  ']","['-4.5', '  ']"
9704,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,218', 'i ']","['22', 'i ']","['0', '&nbsp;']","['1,196', 'i ']","['-22', 'i ']","['-1.8', '  ']"
9704,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['1,880', '  ']","['116', '  ']","['0', '&nbsp;']","['1,764', '  ']","['-116', '  ']","['-6.2', '  ']"
9704,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,630', '  ']","['167', '  ']","['0', '&nbsp;']","['3,463', '  ']","['-167', '  ']","['-4.6', '  ']"
9704,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['250', '  ']","['3', '  ']","['0', '&nbsp;']","['248', '  ']","['-3', '  ']","['-1.0', '  ']"
9704,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['3,193', '  ']","['159', '  ']","['0', '&nbsp;']","['3,034', '  ']","['-159', '  ']","['-5.0', '  ']"
9704,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['187', '  ']","['6', '  ']","['0', '&nbsp;']","['182', '  ']","['-6', '  ']","['-3.1', '  ']"
9704,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['123', '  ']","['5', '  ']","['0', '&nbsp;']","['118', '  ']","['-5', '  ']","['-3.9', '  ']"
9704,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['486', '  ']","['20', '  ']","['0', '&nbsp;']","['466', '  ']","['-20', '  ']","['-4.2', '  ']"
9704,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['16,356', '  ']","['353', 'i ']","['0', '&nbsp;']","['16,003', 'i ']","['-353', 'i ']","['-2.2', '  ']"
9704,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['3,637', '  ']","['116', '  ']","['0', '&nbsp;']","['3,521', '  ']","['-116', '  ']","['-3.2', '  ']"
9704,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['11,568', 'i ']","['209', 'i ']","['0', '&nbsp;']","['11,359', 'i ']","['-209', 'i ']","['-1.8', '  ']"
9704,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['10,552', 'i ']","['209', 'i ']","['0', '&nbsp;']","['10,343', 'i ']","['-209', 'i ']","['-2.0', '  ']"
9704,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,016', '  ']","['*', '  ']","['0', '&nbsp;']","['1,015', '  ']","['*', '  ']","['0.0', '  ']"
9704,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['1', '  ']","['0', '  ']","['0', '&nbsp;']","['1', '  ']","['0', '  ']","['0.0', '  ']"
9704,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,149', '  ']","['28', 'i ']","['0', '&nbsp;']","['1,121', 'i ']","['-28', 'i ']","['-2.4', '  ']"
9704,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['3', '  ']","['*', '  ']","['0', '&nbsp;']","['3', '  ']","['*', '  ']","['-3.5', '  ']"
9704,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['311', '  ']","['4', '  ']","['0', '&nbsp;']","['308', '  ']","['-4', '  ']","['-1.1', '  ']"
