table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10433,r001,R&D and R&D plant,R&D and R&D plant,,,,1,16390,15880,17710,-3.1,11.5
10433,r002,R&D and R&D plant -> Department of Energy,R&D and R&D plant,Department of Energy,,,2,9062,7902,8404,-12.8,6.4
10433,r003,R&D and R&D plant -> Department of Energy -> Office of Science,R&D and R&D plant,Department of Energy,Office of Science,,3,9062,7902,8404,-12.8,6.4
10433,r004,R&D and R&D plant -> National Science Foundation,R&D and R&D plant,National Science Foundation,,,2,7328,7978,9306,8.9,16.6
10433,r005,R&D and R&D plant -> National Science Foundation -> Arctic Research Commission,R&D and R&D plant,National Science Foundation,Arctic Research Commission,,3,0,0,0,na,na
10433,r006,R&D and R&D plant -> National Science Foundation -> Biological Sciences,R&D and R&D plant,National Science Foundation,Biological Sciences,,3,841,785,891,-6.6,13.5
10433,r007,R&D and R&D plant -> National Science Foundation -> CHIPS for America Workforce & Education R&D,R&D and R&D plant,National Science Foundation,CHIPS for America Workforce & Education R&D,,3,0,18,17,na,-5.6
10433,r008,R&D and R&D plant -> National Science Foundation -> Computer and Information Science and Engineering,R&D and R&D plant,National Science Foundation,Computer and Information Science and Engineering,,3,960,963,1074,0.3,11.6
10433,r009,R&D and R&D plant -> National Science Foundation -> STEM Education<sup>a</sup>,R&D and R&D plant,National Science Foundation,STEM Education<sup>a</sup>,,3,508,599,718,18.0,19.8
10433,r010,R&D and R&D plant -> National Science Foundation -> Engineering,R&D and R&D plant,National Science Foundation,Engineering,,3,771,741,889,-3.9,19.9
10433,r011,R&D and R&D plant -> National Science Foundation -> Geosciences,R&D and R&D plant,National Science Foundation,Geosciences,,3,1008,979,1133,-2.9,15.8
10433,r012,R&D and R&D plant -> National Science Foundation -> Integrative Activities,R&D and R&D plant,National Science Foundation,Integrative Activities,,3,388,501,592,29.1,18.2
10433,r013,R&D and R&D plant -> National Science Foundation -> International Science and Engineering,R&D and R&D plant,National Science Foundation,International Science and Engineering,,3,37,64,65,72.8,2.7
10433,r014,R&D and R&D plant -> National Science Foundation -> Major Research Equipment and Facilities and Construction,R&D and R&D plant,National Science Foundation,Major Research Equipment and Facilities and Construction,,3,191,187,305,-1.8,62.7
10433,r015,R&D and R&D plant -> National Science Foundation -> Mathematical and Physical Sciences,R&D and R&D plant,National Science Foundation,Mathematical and Physical Sciences,,3,1635,1545,1683,-5.5,8.9
10433,r016,R&D and R&D plant -> National Science Foundation -> Polar Programs,R&D and R&D plant,National Science Foundation,Polar Programs,,3,389,501,520,28.9,3.8
10433,r017,"R&D and R&D plant -> National Science Foundation -> Social, Behavioral and Economic Sciences",R&D and R&D plant,National Science Foundation,"Social, Behavioral and Economic Sciences",,3,224,287,331,28.1,15.1
10433,r018,"R&D and R&D plant -> National Science Foundation -> Technology, Innovation, and Partnerships",R&D and R&D plant,National Science Foundation,"Technology, Innovation, and Partnerships",,3,376,807,1087,114.7,34.7
10433,r019,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,13246,13819,15449,4.3,11.8
10433,r020,R&D and R&D plant -> R&D -> Department of Energy,R&D and R&D plant,R&D,Department of Energy,,3,6448,6397,6821,-0.8,6.6
10433,r021,R&D and R&D plant -> R&D -> Department of Energy -> Office of Science,R&D and R&D plant,R&D,Department of Energy,Office of Science,4,6448,6397,6821,-0.8,6.6
10433,r022,R&D and R&D plant -> R&D -> National Science Foundation,R&D and R&D plant,R&D,National Science Foundation,,3,6798,7422,8628,9.2,16.2
10433,r023,R&D and R&D plant -> R&D -> National Science Foundation -> Arctic Research Commission,R&D and R&D plant,R&D,National Science Foundation,Arctic Research Commission,4,0,0,0,na,na
10433,r024,R&D and R&D plant -> R&D -> National Science Foundation -> Biological Sciences,R&D and R&D plant,R&D,National Science Foundation,Biological Sciences,4,772,745,851,-3.5,14.2
10433,r025,R&D and R&D plant -> R&D ->      CHIPS for America Workforce & Education R&D,R&D and R&D plant,R&D,     CHIPS for America Workforce & Education R&D,,3,0,18,17,na,-5.6
10433,r026,R&D and R&D plant -> R&D ->      CHIPS for America Workforce & Education R&D -> Computer and Information Science and Engineering,R&D and R&D plant,R&D,     CHIPS for America Workforce & Education R&D,Computer and Information Science and Engineering,4,944,913,1026,-3.2,12.3
10433,r027,R&D and R&D plant -> R&D ->      CHIPS for America Workforce & Education R&D -> STEM Education <sup>a</sup>,R&D and R&D plant,R&D,     CHIPS for America Workforce & Education R&D,STEM Education <sup>a</sup>,4,508,599,718,18.0,19.8
10433,r028,R&D and R&D plant -> R&D ->      CHIPS for America Workforce & Education R&D -> Engineering,R&D and R&D plant,R&D,     CHIPS for America Workforce & Education R&D,Engineering,4,770,703,849,-8.6,20.7
10433,r029,R&D and R&D plant -> R&D ->      CHIPS for America Workforce & Education R&D -> Geosciences,R&D and R&D plant,R&D,     CHIPS for America Workforce & Education R&D,Geosciences,4,991,929,1082,-6.3,16.5
