table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2021
10281,r001,All fields,All fields,,,1,2739770
10281,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,58620
10281,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,77330
10281,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,29076
10281,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,9092
10281,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,27940
10281,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,11222
10281,r008,All fields -> Life sciences,All fields,Life sciences,,2,884162
10281,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,26085
10281,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,835317
10281,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,18700
10281,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,3854
10281,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,207
10281,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,5440
10281,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,208214
10281,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,133413
10281,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,14823
10281,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,317
10281,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,53907
10281,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,5753
10281,r021,All fields -> Psychology,All fields,Psychology,,2,475
10281,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,0
10281,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,0
10281,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,475
10281,r025,All fields -> Social sciences,All fields,Social sciences,,2,6229
10281,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,224
10281,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,0.05
10281,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,710
10281,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,0.05
10281,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,5216
10281,r031,All fields -> Engineering,All fields,Engineering,,2,1116901
10281,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,374159
10281,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,5300
10281,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,13950
10281,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,9952
10281,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,80884
10281,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,26077
10281,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,17724
10281,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,17399
10281,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,571455
10281,r041,All fields -> Other fields,All fields,Other fields,,2,382398
10281,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,4984
10281,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,22117
10281,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,66595
10281,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,0
10281,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,0
10281,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0
10281,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0
10281,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,288703
