table_id,row_id,field_and_research_animal_space_full_path,field_and_research_animal_space_level_1,field_and_research_animal_space_level_2,field_and_research_animal_space_hierarchy_depth,field_all_institutions,field_doctorate_granting_all,field_doctorate_granting_public,field_doctorate_granting_private,field_nondoctorate_granting
3048,r001,All research space,All research space,,1,227.3,219.0,164.2,54.8,8.3
3048,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,28.4,27.8,27.1,0.7,0.6
3048,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,58.7,56.5,36.5,20.0,2.1
3048,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,4.6,4.2,2.9,1.3,0.4
3048,r005,All research space -> Engineering,All research space,Engineering,2,38.1,37.3,29.5,7.8,0.8
3048,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,8.7,8.2,6.8,1.4,0.5
3048,r007,All research space -> Health sciences,All research space,Health sciences,2,41.2,40.6,28.9,11.8,0.5
3048,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,1.8,1.5,1.0,0.5,0.3
3048,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,4.7,4.4,4.0,0.4,0.3
3048,r010,All research space -> Physical sciences,All research space,Physical sciences,2,23.4,21.8,15.5,6.3,1.6
3048,r011,All research space -> Psychology,All research space,Psychology,2,5.9,5.3,4.1,1.2,0.6
3048,r012,All research space -> Social sciences,All research space,Social sciences,2,6.4,6.0,4.2,1.8,0.4
3048,r013,All research space -> Other,All research space,Other,2,5.3,5.2,3.6,1.6,0.1
3048,r014,All research space -> Research animal space<sup>a</sup>,All research space,Research animal space<sup>a</sup>,2,19.0,18.4,13.8,4.7,0.6
