table_id,row_id,position_and_degree_field_full_path,position_and_degree_field_level_1,position_and_degree_field_level_2,position_and_degree_field_hierarchy_depth,field_all_s_e_doctorate_holders,field_native_born_u_s_citizens,field_foreign_born_naturalized_u_s_citizens,field_foreign_born_noncitizens
1637,r001,All positions,All positions,,1,326.6,228.4,52.2,46.1
1637,r002,All positions -> Physical sciences,All positions,Physical sciences,2,46.9,31.4,7.4,8.2
1637,r003,All positions -> Mathematics and statistics,All positions,Mathematics and statistics,2,20.6,11.6,5.0,4.1
1637,r004,All positions -> Computer and information sciences,All positions,Computer and information sciences,2,8.9,4.3,2.6,2.1
1637,r005,All positions -> Life sciences,All positions,Life sciences,2,112.6,82.7,15.1,14.8
1637,r006,All positions -> Psychology,All positions,Psychology,2,38.0,33.5,2.9,1.6
1637,r007,All positions -> Social sciences,All positions,Social sciences,2,59.9,45.8,8.0,6.2
1637,r008,All positions -> Engineering,All positions,Engineering,2,39.8,19.3,11.2,9.3
1637,r009,Full-time faculty<sup>a</sup>,Full-time faculty<sup>a</sup>,,1,223.5,159.4,38.2,25.8
1637,r010,Full-time faculty<sup>a</sup> -> Physical sciences,Full-time faculty<sup>a</sup>,Physical sciences,2,29.7,21.1,5.0,3.6
1637,r011,Full-time faculty<sup>a</sup> -> Mathematics and statistics,Full-time faculty<sup>a</sup>,Mathematics and statistics,2,16.3,9.3,4.0,3.0
1637,r012,Full-time faculty<sup>a</sup> -> Computer and information sciences,Full-time faculty<sup>a</sup>,Computer and information sciences,2,7.1,3.3,2.1,1.7
1637,r013,Full-time faculty<sup>a</sup> -> Life sciences,Full-time faculty<sup>a</sup>,Life sciences,2,70.0,54.2,9.9,5.9
1637,r014,Full-time faculty<sup>a</sup> -> Psychology,Full-time faculty<sup>a</sup>,Psychology,2,26.3,23.2,2.1,1.1
1637,r015,Full-time faculty<sup>a</sup> -> Social sciences,Full-time faculty<sup>a</sup>,Social sciences,2,46.0,34.9,6.1,5.0
1637,r016,Full-time faculty<sup>a</sup> -> Engineering,Full-time faculty<sup>a</sup>,Engineering,2,28.2,13.6,9.0,5.7
1637,r017,Postdocs,Postdocs,,1,18.4,9.4,1.0,8.0
1637,r018,Postdocs -> Physical sciences,Postdocs,Physical sciences,2,3.4,1.5,0.1,1.9
1637,r019,Postdocs -> Mathematics and statistics,Postdocs,Mathematics and statistics,2,0.5,0.2,s,0.3
1637,r020,Postdocs -> Computer and information sciences,Postdocs,Computer and information sciences,2,0.2,0.1,s,s
1637,r021,Postdocs -> Life sciences,Postdocs,Life sciences,2,10.6,6.0,0.7,3.9
1637,r022,Postdocs -> Psychology,Postdocs,Psychology,2,0.7,0.5,s,0.2
1637,r023,Postdocs -> Social sciences,Postdocs,Social sciences,2,0.6,0.4,0.1,0.1
1637,r024,Postdocs -> Engineering,Postdocs,Engineering,2,2.6,0.9,s,1.6
1637,r025,Other positions<sup>b</sup>,Other positions<sup>b</sup>,,1,84.8,59.5,13.0,12.3
1637,r026,Other positions<sup>b</sup> -> Physical sciences,Other positions<sup>b</sup>,Physical sciences,2,13.8,8.9,2.3,2.7
1637,r027,Other positions<sup>b</sup> -> Mathematics and statistics,Other positions<sup>b</sup>,Mathematics and statistics,2,3.9,2.1,1.0,0.8
1637,r028,Other positions<sup>b</sup> -> Computer and information sciences,Other positions<sup>b</sup>,Computer and information sciences,2,1.7,0.9,0.5,0.3
1637,r029,Other positions<sup>b</sup> -> Life sciences,Other positions<sup>b</sup>,Life sciences,2,32.1,22.6,4.5,5.0
1637,r030,Other positions<sup>b</sup> -> Psychology,Other positions<sup>b</sup>,Psychology,2,11.0,9.8,0.8,0.4
1637,r031,Other positions<sup>b</sup> -> Social sciences,Other positions<sup>b</sup>,Social sciences,2,13.4,10.5,1.9,1.1
1637,r032,Other positions<sup>b</sup> -> Engineering,Other positions<sup>b</sup>,Engineering,2,9.1,4.8,2.1,2.1
