table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_united_states_and_u_s_territories_industry,field_extramural_united_states_and_u_s_territories_industry_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_universities_and_colleges,field_extramural_united_states_and_u_s_territories_university_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_other_nonprofits,field_extramural_united_states_and_u_s_territories_nonprofit_administered_ffrdcs,field_extramural_united_states_and_u_s_territories_state_local_governments,field_extramural_foreign
6344,r001,Department of Defense,Department of Defense,,,,,1,,,,,,,,,,
6344,r002,Department of Defense -> RDT&E,Department of Defense,RDT&E,,,,2,103760.1,31058.6,63351.3,538.6,4622.2,490.7,1571.4,1143.5,8.8,975.0
6344,r003,Department of Defense -> RDT&E -> Total research,Department of Defense,RDT&E,Total research,,,3,8915.3,2455.0,3177.6,84.9,2427.1,81.8,412.1,165.8,1.5,109.5
6344,r004,Department of Defense -> RDT&E -> Total research -> Basic research,Department of Defense,RDT&E,Total research,Basic research,,4,2499.1,401.9,364.5,17.8,1490.8,19.8,102.1,35.6,0.1,66.4
6344,r005,Department of Defense -> RDT&E -> Total research -> Applied research,Department of Defense,RDT&E,Total research,Applied research,,4,6416.2,2053.0,2813.1,67.0,936.3,62.0,310.0,130.2,1.3,43.2
6344,r006,Department of Defense -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,RDT&E,Total experimental development<sup>b</sup>,,,3,57779.7,20211.7,32055.8,357.3,2097.8,381.2,1061.8,751.0,7.3,855.8
6344,r007,Department of Defense -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,,4,8600.3,2367.2,4025.7,61.4,1059.1,72.1,779.2,123.5,1.8,110.2
6344,r008,Department of Defense -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,RDT&E,Total experimental development<sup>b</sup>,Major systems,,4,49179.4,17844.4,28030.1,295.9,1038.6,309.1,282.6,627.5,5.5,745.6
6344,r009,Department of Defense -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,RDT&E,Total operational systems development<sup>c</sup>,,,3,37065.1,8391.9,28117.8,96.4,97.3,27.6,97.5,226.7,0.0,9.8
6344,r010,Department of Defense -> Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency,,,,2,,,,,,,,,,
6344,r011,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,,,3,3664.3,317.3,2383.2,38.6,647.5,39.3,163.1,33.8,0.3,41.3
6344,r012,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,,4,2006.3,96.3,1067.0,33.5,584.2,24.8,140.9,24.9,0.3,34.5
6344,r013,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Basic research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Basic research,5,482.1,13.0,133.5,11.1,256.7,6.0,45.7,8.1,0.0,8.0
6344,r014,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Applied research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Applied research,5,1524.2,83.3,933.5,22.4,327.4,18.8,95.2,16.8,0.3,26.4
6344,r015,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>b</sup>,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>b</sup>,,4,1658.0,221.0,1316.2,5.1,63.3,14.5,22.2,8.9,0.0,6.8
6344,r016,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>b</sup> -> Advanced technology,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>b</sup>,Advanced technology,5,1489.2,154.9,1214.0,5.1,63.3,14.5,21.6,8.9,0.0,6.8
6344,r017,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>b</sup> -> Major systems,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>b</sup>,Major systems,5,168.8,66.1,102.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6344,r018,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total operational systems development<sup>c</sup>,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total operational systems development<sup>c</sup>,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6344,r019,Department of Defense -> Defense Health Agency,Department of Defense,Defense Health Agency,,,,2,,,,,,,,,,
6344,r020,Department of Defense -> Defense Health Agency -> RDT&E,Department of Defense,Defense Health Agency,RDT&E,,,3,2883.9,1104.5,405.0,0.0,703.9,0.3,628.7,3.5,0.3,37.6
