table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total
1451,r001,Total,Total,,,1,44861
1451,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,18184
1451,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,13089
1451,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,5095
1451,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,1058
1451,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,819
1451,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,239
1451,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,25619
1451,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,6938
1451,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,18681
