table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_grants_number,field_research_grants_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
10689,r001,All surveyed fields,All surveyed fields,,,1,62750,6056,9.7,38583,61.5,3406,5.4,14705,23.4
10689,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,36673,3372,9.2,23734,64.7,1555,4.2,8012,21.8
10689,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,1705,91,5.3,1070,62.8,82,4.8,462,27.1
10689,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,19585,1674,8.5,12673,64.7,969,4.9,4269,21.8
10689,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,859,75,8.7,584,68.0,24,2.8,176,20.5
10689,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,1787,189,10.6,1236,69.2,15,0.8,347,19.4
10689,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,1110,140,12.6,453,40.8,82,7.4,435,39.2
10689,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences,All surveyed fields,Science,Multidisciplinary and interdisciplinary sciences,3,840,89,10.6,532,63.3,39,4.6,180,21.4
10689,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,936,75,8.0,641,68.5,18,1.9,202,21.6
10689,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,6877,624,9.1,4954,72.0,128,1.9,1171,17.0
10689,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,1308,126,9.6,775,59.3,112,8.6,295,22.6
10689,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,1666,289,17.3,816,49.0,86,5.2,475,28.5
10689,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,8335,711,8.5,6055,72.6,145,1.7,1424,17.1
10689,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,244,29,11.9,151,61.9,2,0.8,62,25.4
10689,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,1540,142,9.2,1075,69.8,67,4.4,256,16.6
10689,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,1239,131,10.6,897,72.4,21,1.7,190,15.3
10689,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,1018,83,8.2,766,75.2,8,0.8,161,15.8
10689,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,1217,92,7.6,910,74.8,19,1.6,196,16.1
10689,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,143,14,9.8,92,64.3,1,0.7,36,25.2
10689,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,1189,117,9.8,834,70.1,8,0.7,230,19.3
10689,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,542,32,5.9,414,76.4,10,1.8,86,15.9
10689,r022,All surveyed fields -> Engineering -> Other engineering,All surveyed fields,Engineering,Other engineering,3,1203,71,5.9,916,76.1,9,0.7,207,17.2
10689,r023,All surveyed fields -> Health,All surveyed fields,Health,,2,17742,1973,11.1,8794,49.6,1706,9.6,5269,29.7
10689,r024,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,15630,1781,11.4,7660,49.0,1511,9.7,4678,29.9
10689,r025,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,2112,192,9.1,1134,53.7,195,9.2,591,28.0
