table_id,row_id,_b_type_of_r_d_b_full_path,_b_type_of_r_d_b_level_1,_b_type_of_r_d_b_level_2,_b_type_of_r_d_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
3215,r001,All types of R&D,All types of R&D,,1,83496,69,0.1,44455,33,0.1
3215,r002,All types of R&D -> Basic research,All types of R&D,Basic research,2,52262,9942,19.0,28500,6321,22.2
3215,r003,All types of R&D -> Applied research,All types of R&D,Applied research,2,23510,4207,17.9,12656,2580,20.4
3215,r004,All types of R&D -> Experimental development,All types of R&D,Experimental development,2,7725,1214,15.7,3300,659,20.0
