table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_others_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_da,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
8789,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['63,230', '&nbsp;']","['1,638', '&nbsp;']","['0', '&nbsp;']","['61,593', '&nbsp;']","['-1,638', '&nbsp;']","['-2.6', '&nbsp;']"
8789,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['39,393', '&nbsp;']","['979', '&nbsp;']","['0', '&nbsp;']","['38,414', '&nbsp;']","['-979', '&nbsp;']","['-2.5', '&nbsp;']"
8789,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['242', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['231', '&nbsp;']","['-11', '&nbsp;']","['-4.5', '&nbsp;']"
8789,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['109', '&nbsp;']","['8', '&nbsp;']","['0', '&nbsp;']","['100', '&nbsp;']","['-8', '&nbsp;']","['-7.5', '&nbsp;']"
8789,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['4', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['4', '&nbsp;']","['*', 'i']","['-0.4', '&nbsp;']"
8789,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['-2.2', '&nbsp;']"
8789,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['2', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['2', '&nbsp;']","['*', 'i']","['-2.3', '&nbsp;']"
8789,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['4', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['4', '&nbsp;']","['*', 'i']","['-0.1', '&nbsp;']"
8789,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['23', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['22', '&nbsp;']","['-1', '&nbsp;']","['-4.4', '&nbsp;']"
8789,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['10,553', '&nbsp;']","['514', '&nbsp;']","['0', '&nbsp;']","['10,038', '&nbsp;']","['-514', 'i']","['-4.9', '&nbsp;']"
8789,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['192', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']","['182', 'i']","['-10', 'i']","['-5.4', '&nbsp;']"
8789,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['85', '&nbsp;']","['0 - 16', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
8789,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['326', '&nbsp;']","['21', '&nbsp;']","['0', '&nbsp;']","['305', 'i']","['-21', 'i']","['-6.4', '&nbsp;']"
8789,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['9,792', '&nbsp;']","['465', '&nbsp;']","['0', '&nbsp;']","['9,326', '&nbsp;']","['-465', 'i']","['-4.8', '&nbsp;']"
