table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_fields_median_salary,field_all_fields_se,field_science_total_median_salary,field_science_total_se,field_science_biological_agricultural_and_environmental_life_sciences_median_salary,field_science_biological_agricultural_and_environmental_life_sciences_se,field_science_computer_and_information_sciences_median_salary,field_science_computer_and_information_sciences_se,field_science_mathematics_and_statistics_median_salary,field_science_mathematics_and_statistics_se,field_science_physical_sciences_median_salary,field_science_physical_sciences_se,field_science_psychology_median_salary,field_science_psychology_se,field_science_social_sciences_median_salary,field_science_social_sciences_se,field_engineering_median_salary,field_engineering_se,field_health_median_salary,field_health_se
3744,r001,All locations,All locations,,,1,119000,1000,110000,500,110000,1500,150000,3000,114000,3500,120000,500,101000,1500,101000,2000,137000,2000,110000,1500
3744,r002,All locations -> New England,All locations,New England,,2,126000,3500,120000,2000,120000,2000,155000,10500,119000,8500,125000,4000,110000,3000,117000,5000,146000,4000,125000,10000
3744,r003,All locations -> New England -> Connecticut,All locations,New England,Connecticut,3,120000,5000,116000,6500,112000,8500,135000,27000,134000,31000,109000,10000,118000,12500,117000,7500,140000,8500,85000,14500
3744,r004,All locations -> New England -> Maine,All locations,New England,Maine,3,85000,6500,83000,6000,75000,9500,,,,,92000,10500,103000,9000,71000,9000,,,S,S
3744,r005,All locations -> New England -> Massachusetts,All locations,New England,Massachusetts,3,133000,3000,129000,3000,124000,4000,160000,12500,124000,14500,130000,5500,111000,4500,125000,6000,148000,2000,149000,8500
3744,r006,All locations -> New England -> New Hampshire,All locations,New England,New Hampshire,3,119000,12000,113000,12500,100000,23500,S,S,S,S,124000,12500,105000,21000,88000,16000,130000,7500,89000,3500
3744,r007,All locations -> New England -> Rhode Island,All locations,New England,Rhode Island,3,106000,4000,107000,4500,102000,6500,,,106000,23000,109000,6000,107000,24000,111000,17500,100000,22000,110000,2500
3744,r008,All locations -> New England -> Vermont,All locations,New England,Vermont,3,104000,4000,102000,10500,99000,21500,,,104000,8500,73000,12000,143000,30500,93000,17000,134000,5000,,
3744,r009,All locations -> Middle Atlantic,All locations,Middle Atlantic,,2,122000,3000,120000,500,119000,2500,160000,6500,140000,7500,120000,4500,104000,2500,109000,3500,133000,5000,126000,9500
3744,r010,All locations -> Middle Atlantic -> New Jersey,All locations,Middle Atlantic,New Jersey,3,136000,4500,134000,5000,140000,10000,159000,11500,150000,17500,138000,8500,109000,13000,119000,7000,144000,6000,135000,4000
3744,r011,All locations -> Middle Atlantic -> New York,All locations,Middle Atlantic,New York,3,125000,3500,120000,2000,109000,5000,180000,10000,157000,7000,124000,5000,105000,3000,117000,6500,135000,5500,138000,15500
3744,r012,All locations -> Middle Atlantic -> Pennsylvania,All locations,Middle Atlantic,Pennsylvania,3,110000,3500,108000,3000,119000,5000,139000,11500,119000,8000,108000,6000,100000,4000,100000,4000,124000,5000,110000,7500
3744,r013,All locations -> East North Central,All locations,East North Central,,2,105000,1500,100000,500,100000,2500,115000,7500,95000,6000,105000,4000,100000,2500,92000,2500,123000,3000,100000,4000
3744,r014,All locations -> East North Central -> Illinois,All locations,East North Central,Illinois,3,115000,4500,109000,2500,109000,3500,129000,11000,89000,8000,114000,9500,108000,6500,99000,3500,129000,3000,100000,9000
3744,r015,All locations -> East North Central -> Indiana,All locations,East North Central,Indiana,3,99000,3000,96000,4000,104000,7500,99000,2500,95000,7000,92000,15000,86000,4500,85000,5500,114000,10500,82000,7000
3744,r016,All locations -> East North Central -> Michigan,All locations,East North Central,Michigan,3,109000,2500,100000,2000,94000,6000,115000,12500,99000,17500,110000,10000,107000,6000,89000,6500,120000,4500,97000,3000
3744,r017,All locations -> East North Central -> Ohio,All locations,East North Central,Ohio,3,105000,3000,100000,1000,101000,3500,114000,15000,104000,13500,101000,4500,99000,3000,87000,6500,120000,5000,108000,12500
3744,r018,All locations -> East North Central -> Wisconsin,All locations,East North Central,Wisconsin,3,97000,3500,92000,3500,95000,5000,134000,28000,71000,12500,90000,3500,95000,7500,82000,14000,109000,5000,85000,5500
3744,r019,All locations -> West North Central,All locations,West North Central,,2,100000,1000,95000,1500,100000,3000,113000,10500,89000,5500,99000,3000,93000,3500,85000,3500,119000,3000,100000,3500
