table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12573,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,6460,8675,8740,34.3,0.7
12573,r002,R&D and R&D plant -> Energy supply (271),R&D and R&D plant,Energy supply (271),,,,,2,6370,8604,8681,35.1,0.9
12573,r003,R&D and R&D plant -> Energy supply (271) -> Department of Energy,R&D and R&D plant,Energy supply (271),Department of Energy,,,,3,6259,8483,8583,35.5,1.2
12573,r004,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,,,4,5570,7794,7952,39.9,2.0
12573,r005,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Energy efficiency and renewable energy,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Energy efficiency and renewable energy,,5,2012,4354,4354,116.4,0.0
12573,r006,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Fossil energy and carbon management<sup>b</sup>,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Fossil energy and carbon management<sup>b</sup>,,5,1846,1862,1846,0.9,-0.9
12573,r007,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Nuclear energy,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Nuclear energy,,5,1442,1308,1454,-9.3,11.2
12573,r008,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Electricity delivery,R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,Electricity delivery,,5,167,167,190,0.0,13.8
12573,r009,"R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Energy programs -> Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,Energy supply (271),Department of Energy,Energy programs,"Cybersecurity, Energy Security, and Emergency Response",,5,103,103,108,0.0,4.9
12573,r010,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Advanced Research Projects Agency-Energy (ARPA-E),R&D and R&D plant,Energy supply (271),Department of Energy,Advanced Research Projects Agency-Energy (ARPA-E),,,4,470,470,450,0.0,-4.3
12573,r011,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Clean Energy Demonstration,R&D and R&D plant,Energy supply (271),Department of Energy,Clean Energy Demonstration,,,4,217,217,179,0.0,-17.5
12573,r012,R&D and R&D plant -> Energy supply (271) -> Department of Energy -> Bonneville Power Administration Fund,R&D and R&D plant,Energy supply (271),Department of Energy,Bonneville Power Administration Fund,,,4,2,2,2,0.0,0.0
12573,r013,R&D and R&D plant -> Energy supply (271) -> Tennessee Valley Authority,R&D and R&D plant,Energy supply (271),Tennessee Valley Authority,,,,3,111,121,98,9.0,-19.0
