table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5544,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,1712,1704,1989,-0.4,16.7
5544,r002,R&D and R&D plant -> Air transportation (402),R&D and R&D plant,Air transportation (402),,,,2,1152,1140,1306,-1.0,14.5
5544,r003,R&D and R&D plant -> Air transportation (402) -> Federal Aviation Administration (DOT),R&D and R&D plant,Air transportation (402),Federal Aviation Administration (DOT),,,3,534,479,547,-10.3,14.4
5544,r004,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,,,3,,,,,
5544,r005,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,,4,595,632,723,6.2,14.4
5544,r006,R&D and R&D plant -> Air transportation (402) -> Transportation Security Administration (DHS),R&D and R&D plant,Air transportation (402),Transportation Security Administration (DHS),,,3,23,30,36,28.9,20.3
5544,r007,R&D and R&D plant -> Ground transportation (401) (DOT),R&D and R&D plant,Ground transportation (401) (DOT),,,,2,522,512,615,-1.9,20.1
5544,r008,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Highway Administration,R&D and R&D plant,Ground transportation (401) (DOT),Federal Highway Administration,,,3,380,376,420,-1.1,11.7
5544,r009,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Motor Carrier Safety Administration,R&D and R&D plant,Ground transportation (401) (DOT),Federal Motor Carrier Safety Administration,,,3,9,9,9,0.0,0.0
5544,r010,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Railroad Administration,R&D and R&D plant,Ground transportation (401) (DOT),Federal Railroad Administration,,,3,45,45,55,0.0,22.2
5544,r011,R&D and R&D plant -> Ground transportation (401) (DOT) -> Federal Transit Administration,R&D and R&D plant,Ground transportation (401) (DOT),Federal Transit Administration,,,3,33,30,60,-9.1,100.0
5544,r012,R&D and R&D plant -> Ground transportation (401) (DOT) -> National Highway Traffic Safety Administration,R&D and R&D plant,Ground transportation (401) (DOT),National Highway Traffic Safety Administration,,,3,55,52,71,-5.5,36.5
5544,r013,R&D and R&D plant -> Water transportation (403),R&D and R&D plant,Water transportation (403),,,,2,-1,10,7,1100.0,-30.0
5544,r014,R&D and R&D plant -> Water transportation (403) -> Coast Guard (DHS),R&D and R&D plant,Water transportation (403),Coast Guard (DHS),,,3,-1,10,7,1100.0,-30.0
5544,r015,R&D and R&D plant -> Other transportation (407) (DOT)<sup>a</sup>,R&D and R&D plant,Other transportation (407) (DOT)<sup>a</sup>,,,,2,39,42,61,-7.7,45.2
5544,r016,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,1674,1672,1951,-0.1,16.7
5544,r017,R&D and R&D plant -> R&D -> Air transportation (402),R&D and R&D plant,R&D,Air transportation (402),,,3,1117,1113,1273,-0.3,14.4
5544,r018,R&D and R&D plant -> R&D -> Air transportation (402) -> Federal Aviation Administration (DOT),R&D and R&D plant,R&D,Air transportation (402),Federal Aviation Administration (DOT),,4,499,452,514,-9.4,13.9
5544,r019,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,,4,,,,,
5544,r020,R&D and R&D plant -> R&D -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,R&D,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,5,595,632,723,6.2,14.4
5544,r021,R&D and R&D plant -> R&D -> Air transportation (402) -> Transportation Security Administration (DHS),R&D and R&D plant,R&D,Air transportation (402),Transportation Security Administration (DHS),,4,23,30,36,28.9,20.3
5544,r022,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT),R&D and R&D plant,R&D,Ground transportation (401) (DOT),,,3,519,507,610,-2.3,20.3
5544,r023,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Highway Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Highway Administration,,4,378,373,417,-1.3,11.8
5544,r024,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Motor Carrier Safety Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Motor Carrier Safety Administration,,4,9,9,9,0.0,0.0
5544,r025,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Railroad Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Railroad Administration,,4,44,43,53,-2.3,23.3
5544,r026,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> Federal Transit Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),Federal Transit Administration,,4,33,30,60,-9.1,100.0
5544,r027,R&D and R&D plant -> R&D -> Ground transportation (401) (DOT) -> National Highway Traffic Safety Administration,R&D and R&D plant,R&D,Ground transportation (401) (DOT),National Highway Traffic Safety Administration,,4,55,52,71,-5.5,36.5
5544,r028,R&D and R&D plant -> R&D -> Water transportation (403),R&D and R&D plant,R&D,Water transportation (403),,,3,-1,10,7,1100.0,-30.0
5544,r029,R&D and R&D plant -> R&D -> Water transportation (403) -> Coast Guard (DHS),R&D and R&D plant,R&D,Water transportation (403),Coast Guard (DHS),,4,-1,10,7,1100.0,-30.0
5544,r030,R&D and R&D plant -> R&D -> Other transportation (407) (DOT)<sup>a</sup>,R&D and R&D plant,R&D,Other transportation (407) (DOT)<sup>a</sup>,,,3,39,42,61,7.7,45.2
