table_id,row_id,directorate,field_of_degree,median_salary
12410,r001,Biological Sciences (BIO),Total,105000
12410,r002,,Agricultural sciences and natural resources,92000
12410,r003,,"Bioinformatics, biostatistics, and computational biology",140000
12410,r004,,Biochemistry,115000
12410,r005,,Neurosciences and neurobiology,107000
12410,r006,,Cell molecular biology,113000
12410,r007,,Microbiology,113000
12410,r008,,Other biological sciences,100000
12410,r009,Computer and Information Science and Engineering (CISE),Total,150000
12410,r010,,Computer engineering,150000
12410,r011,,Computer science,150000
12410,r012,,Computer and information sciences,125000
12410,r013,,Information science and systems,124000
12410,r014,STEM Education (EDU),Educational psychology,88000
12410,r015,Engineering (ENG),Total,130000
12410,r016,,Electrical engineering,150000
12410,r017,,Mechanical engineering,121000
12410,r018,,Bioengineering and biomedical engineering,126000
12410,r019,,Civil engineering,110000
12410,r020,,Materials science engineering,135000
12410,r021,,Chemical engineering,135000
12410,r022,,Other engineering,125000
12410,r023,Geosciences (GEO),Total,97000
12410,r024,,Earth sciences,98000
12410,r025,,Atmospheric sciences,100000
12410,r026,,Environmental science,88000
12410,r027,,Ocean sciences,97000
12410,r028,Mathematical and Physical Sciences (MPS),Total,117000
12410,r029,,Chemistry,115000
12410,r030,,Mathematics and statistics,100000
12410,r031,,Physics and astronomy,120000
12410,r032,,Materials sciences,130000
12410,r033,"Social, Behavioral and Economic Sciences (SBE)",Total,97000
12410,r034,,Psychology,98000
12410,r035,,Economics,120000
12410,r036,,Political science,98000
12410,r037,,Sociology,90000
12410,r038,,Other social sciences,82000
