table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_2019_all_companies,field_2019_1_4_employees,field_2019_5_9_employees,field_2020_all_companies,field_2020_1_4_employees,field_2020_5_9_employees,field_2021_all_companies,field_2021_1_4_employees,field_2021_5_9_employees,field_2022_all_companies,field_2022_1_4_employees,field_2022_5_9_employees
12463,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    7,247,880 ', '&nbsp;']","['    3,217,255 ', '&nbsp;']","['    4,030,625 ', '&nbsp;']","['7,522,839', '&nbsp;']","['3,623,592', '&nbsp;']","['3,899,247', '&nbsp;']","['8,131,847', '&nbsp;']","['3,659,817', '&nbsp;']","['4,472,030', '&nbsp;']","['7,616,415', '&nbsp;']","['3,573,847', '&nbsp;']","['4,042,568', '&nbsp;']"
12463,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    891,188 ', '&nbsp;']","['    415,797 ', '&nbsp;']","['    475,391 ', '&nbsp;']","['822,687', '&nbsp;']","['359,533', '&nbsp;']","['463,154', '&nbsp;']","['990,325', '&nbsp;']","['415,218', '&nbsp;']","['575,107', '&nbsp;']","['907,975', '&nbsp;']","['298,997', '&nbsp;']","['608,978', '&nbsp;']"
12463,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    6,315 ', '&nbsp;']","['    4,218 ', '&nbsp;']","['    2,096 ', '&nbsp;']","['20,378', 'r']","['16,061', 'r']","['4,317', 'r']","['19,097', 'r']","['7,987', '&nbsp;']","['11,109', 'r']","['18,222', '&nbsp;']","['6,932', 'r']","['11,289', 'r']"
12463,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    236 ', '&nbsp;']","['    236 ', '&nbsp;']","['    0 ', '&nbsp;']","['472', 'r']","['472', 'r']","['0', '&nbsp;']","['7,096', 'r']","['7,096', 'r']","['0', '&nbsp;']","['9,268', 'r']","['1,264', 'r']","['8,005', 'r']"
12463,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    4,065 ', '&nbsp;']","['    0 ', '&nbsp;']","['    4,065 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['138', '&nbsp;']","['138', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12463,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['912', 'r']","['0', '&nbsp;']","['912', 'r']"
12463,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    555 ', '&nbsp;']","['    141 ', '&nbsp;']","['    414 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12463,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['739', '&nbsp;']","['0', '&nbsp;']","['739', '&nbsp;']","['202', '&nbsp;']","['202', '&nbsp;']","['0', '&nbsp;']"
12463,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    345,503 ', '&nbsp;']","['    163,854 ', '&nbsp;']","['    181,649 ', '&nbsp;']","['201,214', '&nbsp;']","['96,869', '&nbsp;']","['104,345', '&nbsp;']","['224,348', '&nbsp;']","['113,915', '&nbsp;']","['110,433', '&nbsp;']","['269,478', '&nbsp;']","['105,857', '&nbsp;']","['163,621', '&nbsp;']"
12463,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    259,782 ', '&nbsp;']","['    110,653 ', '&nbsp;']","['    149,129 ', '&nbsp;']","['104,539', '&nbsp;']","['64,689', '&nbsp;']","['39,850', '&nbsp;']","['178,387', '&nbsp;']","['93,401', '&nbsp;']","['84,986', '&nbsp;']","['219,793', '&nbsp;']","['80,128', '&nbsp;']","['139,665', '&nbsp;']"
12463,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    85,721 ', '&nbsp;']","['    53,201 ', '&nbsp;']","['    32,520 ', '&nbsp;']","['96,675', '&nbsp;']","['32,181', '&nbsp;']","['64,495', '&nbsp;']","['45,962', '&nbsp;']","['20,514', '&nbsp;']","['25,447', '&nbsp;']","['49,685', '&nbsp;']","['25,730', '&nbsp;']","['23,956', '&nbsp;']"
12463,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    6,397 ', '&nbsp;']","['    3,340 ', '&nbsp;']","['    3,057 ', '&nbsp;']","['23,004', '&nbsp;']","['18,051', '&nbsp;']","['4,953', '&nbsp;']","['6,700', '&nbsp;']","['2,703', 'r']","['3,997', '&nbsp;']","['14,698', '&nbsp;']","['6,552', '&nbsp;']","['8,145', 'r']"
12463,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    12,945 ', '&nbsp;']","['    216 ', '&nbsp;']","['    12,729 ', '&nbsp;']","['133', '&nbsp;']","['133', '&nbsp;']","['0', '&nbsp;']","['3,935', 'r']","['3,485', 'r']","['450', '&nbsp;']","['3,642', '&nbsp;']","['183', '&nbsp;']","['3,459', '&nbsp;']"
12463,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    2,568 ', '&nbsp;']","['    2,568 ', '&nbsp;']","['    0 ', '&nbsp;']","['9,299', 'r']","['9,299', 'r']","['0', '&nbsp;']","['2,240', '&nbsp;']","['591', '&nbsp;']","['1,648', 'r']","['3,983', '&nbsp;']","['2,645', '&nbsp;']","['1,338', '&nbsp;']"
12463,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    20,594 ', '&nbsp;']","['    9,950 ', '&nbsp;']","['    10,644 ', '&nbsp;']","['59,474', 'r']","['387', '&nbsp;']","['59,087', 'r']","['16,827', 'r']","['10,196', 'r']","['6,631', 'r']","['46,559', 'r']","['10,043', 'r']","['36,516', 'r']"
12463,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    33,020 ', '&nbsp;']","['    23,556 ', '&nbsp;']","['    9,464 ', '&nbsp;']","['94,664', '&nbsp;']","['37,612', 'r']","['57,052', '&nbsp;']","['85,202', '&nbsp;']","['34,750', '&nbsp;']","['50,452', '&nbsp;']","['55,687', '&nbsp;']","['21,179', '&nbsp;']","['34,508', '&nbsp;']"
12463,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    279,725 ', '&nbsp;']","['    146,657 ', '&nbsp;']","['    133,068 ', '&nbsp;']","['237,090', '&nbsp;']","['101,714', '&nbsp;']","['135,376', '&nbsp;']","['372,243', '&nbsp;']","['109,934', '&nbsp;']","['262,308', '&nbsp;']","['198,193', '&nbsp;']","['74,439', '&nbsp;']","['123,754', '&nbsp;']"
12463,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    44,841 ', '&nbsp;']","['    26,337 ', '&nbsp;']","['    18,504 ', '&nbsp;']","['40,558', '&nbsp;']","['24,002', '&nbsp;']","['16,556', '&nbsp;']","['124,080', '&nbsp;']","['35,134', '&nbsp;']","['88,946', 'r']","['52,464', '&nbsp;']","['24,163', '&nbsp;']","['28,300', '&nbsp;']"
12463,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    205,358 ', '&nbsp;']","['    115,084 ', '&nbsp;']","['    90,274 ', '&nbsp;']","['175,504', '&nbsp;']","['67,481', '&nbsp;']","['108,022', '&nbsp;']","['194,535', '&nbsp;']","['51,119', '&nbsp;']","['143,416', '&nbsp;']","['111,441', '&nbsp;']","['37,485', '&nbsp;']","['73,956', '&nbsp;']"
12463,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    29,526 ', '&nbsp;']","['    5,235 ', '&nbsp;']","['    24,291 ', '&nbsp;']","['21,029', '&nbsp;']","['10,231', '&nbsp;']","['10,798', '&nbsp;']","['53,628', '&nbsp;']","['23,681', '&nbsp;']","['29,947', 'r']","['34,289', '&nbsp;']","['12,791', '&nbsp;']","['21,498', '&nbsp;']"
12463,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    13,243 ', '&nbsp;']","['    8,404 ', '&nbsp;']","['    4,839 ', '&nbsp;']","['32,026', 'r']","['27,642', 'r']","['4,383', '&nbsp;']","['42,416', '&nbsp;']","['8,593', '&nbsp;']","['33,824', '&nbsp;']","['17,504', '&nbsp;']","['6,195', '&nbsp;']","['11,309', '&nbsp;']"
12463,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    31,730 ', '&nbsp;']","['    24,976 ', '&nbsp;']","['    6,754 ', '&nbsp;']","['40,780', '&nbsp;']","['12,035', '&nbsp;']","['28,745', '&nbsp;']","['36,232', '&nbsp;']","['21,551', '&nbsp;']","['14,681', '&nbsp;']","['44,175', '&nbsp;']","['12,672', '&nbsp;']","['31,503', '&nbsp;']"
