table_id,row_id,_b_capitalization_thresholds_b_full_path,_b_capitalization_thresholds_b_level_1,_b_capitalization_thresholds_b_level_2,_b_capitalization_thresholds_b_hierarchy_depth,field_all_institutions,field_highest_degree_granted_doctorate,field_highest_degree_granted_nondoctorate,field_institutional_control_public,field_institutional_control_private
12647,r001,Equipment,Equipment,,1,,,,,
12647,r002,Equipment -> Do not capitalize,Equipment,Do not capitalize,2,12,5,7,8,4
12647,r003,Equipment -> 500,Equipment,500,2,3,2,1,1,2
12647,r004,"Equipment -> 1,000",Equipment,"1,000",2,13,9,4,2,11
12647,r005,"Equipment -> 1,500",Equipment,"1,500",2,1,1,0,0,1
12647,r006,"Equipment -> 2,000",Equipment,"2,000",2,8,4,4,3,5
12647,r007,"Equipment -> 2,500",Equipment,"2,500",2,6,4,2,1,5
12647,r008,"Equipment -> 3,000",Equipment,"3,000",2,10,9,1,1,9
12647,r009,"Equipment -> 5,000",Equipment,"5,000",2,548,422,126,377,171
12647,r010,"Equipment -> 7,500",Equipment,"7,500",2,1,1,0,0,1
12647,r011,"Equipment -> 10,000",Equipment,"10,000",2,16,10,6,4,12
12647,r012,"Equipment -> 15,000",Equipment,"15,000",2,1,0,1,0,1
12647,r013,"Equipment -> 25,000",Equipment,"25,000",2,10,2,8,2,8
12647,r014,"Equipment -> 50,000",Equipment,"50,000",2,1,1,0,0,1
12647,r015,"Equipment -> 100,000",Equipment,"100,000",2,1,0,1,1,0
12647,r016,"Equipment -> 250,000",Equipment,"250,000",2,4,2,2,4,0
12647,r017,Software,Software,,1,,,,,
12647,r018,Software -> Do not capitalize,Software,Do not capitalize,2,100,69,31,63,37
12647,r019,Software -> 500,Software,500,2,2,1,1,1,1
12647,r020,"Software -> 1,000",Software,"1,000",2,12,7,5,3,9
12647,r021,"Software -> 1,500",Software,"1,500",2,1,1,0,0,1
12647,r022,"Software -> 2,000",Software,"2,000",2,5,2,3,1,4
12647,r023,"Software -> 2,500",Software,"2,500",2,2,1,1,0,2
12647,r024,"Software -> 3,000",Software,"3,000",2,8,6,2,1,7
12647,r025,"Software -> 5,000",Software,"5,000",2,284,206,78,162,122
12647,r026,"Software -> 7,500",Software,"7,500",2,1,1,0,0,1
12647,r027,"Software -> 10,000",Software,"10,000",2,19,10,9,7,12
12647,r028,"Software -> 15,000",Software,"15,000",2,1,0,1,0,1
12647,r029,"Software -> 20,000",Software,"20,000",2,1,0,1,0,1
12647,r030,"Software -> 25,000",Software,"25,000",2,14,7,7,4,10
12647,r031,"Software -> 50,000",Software,"50,000",2,11,11,0,5,6
12647,r032,"Software -> 75,000",Software,"75,000",2,2,2,0,1,1
12647,r033,"Software -> 100,000",Software,"100,000",2,97,83,14,89,8
12647,r034,"Software -> 140,000",Software,"140,000",2,1,1,0,1,0
12647,r035,"Software -> 200,000",Software,"200,000",2,3,3,0,3,0
12647,r036,"Software -> 250,000",Software,"250,000",2,19,17,2,16,3
12647,r037,"Software -> 300,000",Software,"300,000",2,1,1,0,0,1
12647,r038,"Software -> 400,000",Software,"400,000",2,3,3,0,3,0
12647,r039,"Software -> 500,000",Software,"500,000",2,19,17,2,16,3
12647,r040,"Software -> 1,000,000",Software,"1,000,000",2,24,19,5,23,1
12647,r041,"Software -> 4,000,000",Software,"4,000,000",2,2,2,0,2,0
12647,r042,"Software -> 5,000,000",Software,"5,000,000",2,1,1,0,1,0
