table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10431,r001,RDT&E total budget authority,RDT&E total budget authority,,,,1,--,118705,139656,118741,17.6,-15.0
10431,r002,R&D budget authority within RDT&E accounts<sup>a</sup>,R&D budget authority within RDT&E accounts<sup>a</sup>,,,,1,--,75730,91243,93861,20.5,2.9
10431,r003,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup>,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,,,2,--,118705,139656,118741,17.6,-15.0
10431,r004,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,,3,1,2653,2919,2480,10.0,-15.0
10431,r005,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Defense agencies,4,,876,927,761,5.8,-17.9
10431,r006,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Department of the Air Force,4,,505,612,584,21.2,-4.6
10431,r007,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Space Force,4,,0,55,0,-,-100.0
10431,r008,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Department of the Army,4,,590,635,497,7.7,-21.7
10431,r009,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Department of the Navy,4,,681,689,637,1.1,-7.5
10431,r010,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,,3,2,6800,7801,6018,14.7,-22.9
10431,r011,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Defense agencies,4,,2155,2386,2403,10.7,0.7
10431,r012,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Department of the Air Force,4,,1591,1744,1433,9.7,-17.8
10431,r013,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Space Force,4,,290,360,206,24.2,-42.8
10431,r014,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Department of the Army,4,,1521,1823,948,19.8,-48.0
