table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
6554,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['492,956', '']","['32,239', '']","['74,031', '']","['386,686', '']"
6554,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['285,674', '']","['22,701', '']","['45,769', '']","['217,203', '']"
6554,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,180', '']","['226', '']","['801', '']","['3,152', '']"
6554,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,082', '']","['96', '']","['228', '']","['757', '']"
6554,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['904', '']","['74', '']","['128', '']","['703', '']"
6554,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['186', '']","['26', '']","['22', '']","['138', '']"
6554,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,064', '']","['131 - 133', 'i']","['271 - 273', '']","['659', '']"
6554,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['420', 'i']","['24', 'i']","['70', 'i']","['325', '']"
6554,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,306', '']","['237', '']","['425', '']","['644', '']"
6554,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['97,063', '']","['13,869', '']","['19,120', '']","['64,075', '']"
6554,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,360', '']","['261', '']","['736', '']","['1,362', '']"
6554,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,172', '']","['191', '']","['293', '']","['688', '']"
6554,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,822 - 1,846', '']","['469', '']","['656', '']","['696 - 722', '']"
6554,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['87,619', '']","['12,766', '']","['16,713', '']","['58,139', '']"
6554,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,760', '']","['104', '']","['460', '']","['2,196', '']"
6554,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,305 - 1,333', '']","['77', '']","['261', '']","['966 - 995', '']"
6554,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,856', '']","['156', '']","['445', '']","['2,254', '']"
6554,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,508', 'i']","['172', 'i']","['250', 'i']","['1,086', 'i']"
6554,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['665', '']","['51', '']","['117', '']","['497', '']"
6554,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,885', '']","['179', '']","['608', '']","['2,099', '']"
6554,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['15,184', '']","['704', '']","['1,696', '']","['12,784', '']"
6554,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,921', '']","['124', '']","['243', '']","['1,554', '']"
6554,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,459', '']","['106', '']","['395', '']","['3,958', '']"
6554,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,301', '']","['47', '']","['142', 'i']","['1,112', '']"
6554,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7,503', '']","['426', '']","['916', '']","['6,160', '']"
6554,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['86,729', '']","['2,175', '']","['11,587', '']","['72,967', '']"
6554,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['12,595', '']","['355', '']","['1,410', '']","['10,830', '']"
6554,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['35,183', 'i']","['776', '']","['3,876', 'i']","['30,531', 'i']"
6554,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['17,562', '']","['660', '']","['2,950', '']","['13,952', '']"
6554,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['3,342', '']","['124', 'i']","['975', 'i']","['2,242', 'i']"
6554,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['9,662', '']","['187', '']","['1,340', '']","['8,136', '']"
6554,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['4,558', '']","['350', '']","['634', '']","['3,574', '']"
6554,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['21,388', '']","['383', 'i']","['3,352', '']","['17,654', '']"
6554,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['5,263', '']","['370', '']","['713', '']","['4,179', '']"
6554,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['45,375', '']","['3,486', 'i']","['7,332', 'i']","['34,557', 'i']"
6554,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['24,117', '']","['1,324 - 1,388', '']","['4,498 - 4,563', 'i']","['18,230', 'i']"
6554,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['18,358', 'i']","['2,041', 'i']","['2,543', 'i']","['13,774', '']"
6554,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['16,891', 'i']","['2,034', 'i']","['2,517', 'i']","['12,339', 'i']"
6554,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,467', '']","['7', '']","['25', '']","['1,435', '']"
6554,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['35', '']","['*', '']","['0 - 11', '']","['24 - 36', '']"
6554,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,865', '']","['58 - 122', 'i']","['215 - 291', '']","['2,516 - 2,529', '']"
6554,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['409', '']","['40', '']","['73', '']","['296', '']"
6554,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['18,596', '']","['675 - 693', '']","['1,873 - 1,891', '']","['16,031', '']"
6554,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['16,014', '']","['480', '']","['1,560', '']","['13,973', '']"
6554,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['2,582', '']","['195 - 212', '']","['313 - 330', '']","['2,058', '']"
6554,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['207,283', '']","['9,538', '']","['28,262', '']","['169,483', '']"
6554,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['2,717', '']","['248', '']","['633', '']","['1,837', '']"
6554,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['275', '']","['38', '']","['79', '']","['158', '']"
6554,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,191', '']","['99', '']","['140', '']","['952', 'i']"
6554,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['3,131 - 15,818', 'i']","['23', '']","['2,777 - 3,677', 'i']","['42 - 13,018', 'i']"
6554,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['9,890', 'i']","['218', 'i']","['899', 'i']","['8,774', 'i']"
6554,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['110,227', '']","['3,816', '']","['8,690', '']","['97,721', '']"
6554,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['33,019', '']","['1,112', '']","['1,821', '']","['30,087', '']"
6554,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['61', '']","['1', '']","['2', '']","['58', '']"
6554,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['32,958', '']","['1,111', '']","['1,818', '']","['30,029', '']"
6554,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['3,733', '']","['266', '']","['1,567', 'i']","['1,899', '']"
6554,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['30,558', '']","['1,727', '']","['2,806', '']","['26,024', '']"
6554,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['42,917', '']","['711', '']","['2,495', '']","['39,710', '']"
6554,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['8,917', '']","['289', '']","['1,223', '']","['7,405', '']"
6554,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['1,371', '']","['270', '']","['415', '']","['686', '']"
